osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,bridge,junction,tunnel
512628632,Calle Toledo,residential,False,True,136.639,"LINESTRING (-2.4238162 39.4016032, -2.4234784 39.4010792, -2.4231071 39.4005033)",,,,,
802037467,,trunk,False,False,336.33500000000004,"LINESTRING (-2.4238162 39.4016032, -2.423888 39.401462, -2.4240242 39.4012777, -2.4241901 39.4011365, -2.4245074 39.4009134, -2.4266592 39.3995685)",2,N-310,,,
"[802037466, 802037467, 334159206]",,trunk,False,True,124.676,"LINESTRING (-2.4238162 39.4016032, -2.4235542 39.4022768, -2.4235164 39.4023739, -2.4234168 39.4026303, -2.4234056 39.402659, -2.4233986 39.402677)",2,N-310,yes,,
512628631,Calle Escobares,residential,True,False,58.168,"LINESTRING (-2.4266592 39.3995685, -2.4259941 39.399666)",,,,,
"[512571268, 380754405, 512571269]",,residential,False,False,101.958,"LINESTRING (-2.4266592 39.3995685, -2.4268354 39.400078, -2.426929 39.4003226, -2.4269773 39.4004518)",,,yes,,
802037467,,trunk,False,True,336.33500000000004,"LINESTRING (-2.4266592 39.3995685, -2.4245074 39.4009134, -2.4241901 39.4011365, -2.4240242 39.4012777, -2.423888 39.401462, -2.4238162 39.4016032)",2,N-310,,,
86595086,Calle Canto Blanco,residential,False,True,123.984,"LINESTRING (-2.4269773 39.4004518, -2.4270748 39.4002221, -2.4272091 39.400065, -2.4276498 39.3997432, -2.4279107 39.3996644)",,,,,
233090589,,residential,False,True,55.837,"LINESTRING (-2.4269773 39.4004518, -2.4268457 39.4004983, -2.4268148 39.4005399, -2.4266755 39.4008649)",,,,,
512571267,Calle Arrabal,residential,False,False,83.083,"LINESTRING (-2.4269773 39.4004518, -2.4270007 39.4005371, -2.4270964 39.4008942, -2.4272073 39.4011768)",,,,,
"[380754405, 512571268, 512571269]",,residential,False,True,101.958,"LINESTRING (-2.4269773 39.4004518, -2.426929 39.4003226, -2.4268354 39.400078, -2.4266592 39.3995685)",,,yes,,
202158764,Plaza Mayor,residential,True,False,9.274,"LINESTRING (-2.429183 39.4037909, -2.4292455 39.4038589)",,,,,
512571260,Calle Boteros,residential,False,True,79.245,"LINESTRING (-2.429183 39.4037909, -2.4285022 39.4042717)",,,,,
398692487,Calle del Carmen,residential,False,True,78.894,"LINESTRING (-2.4254637 39.4058806, -2.4245934 39.4061069)",,,,,
512571265,Calle La Feria,residential,True,False,73.526,"LINESTRING (-2.428017 39.4024937, -2.4284955 39.4030419)",,,,,
512628626,Calle La Feria,residential,False,False,19.031,"LINESTRING (-2.428017 39.4024937, -2.4279071 39.4023451)",,,,,
233090574,Calle San Nicolás,residential,False,False,155.433,"LINESTRING (-2.428017 39.4024937, -2.4290572 39.402195, -2.4297325 39.4020546)",,,,,
828205627,Calle Las Nieves,residential,False,True,71.011,"LINESTRING (-2.4256846 39.4058846, -2.4259655 39.4064852)",,,,,
86595070,Calle Maestro Benito Moreno,residential,False,False,59.293,"LINESTRING (-2.423918 39.4049014, -2.4236312 39.4044164)",,,,,
86595070,Calle Maestro Benito Moreno,residential,False,True,31.583,"LINESTRING (-2.423918 39.4049014, -2.4240651 39.4051617)",,,,,
273384947,Calle Corregidor Francisco Zabala,residential,False,False,95.427,"LINESTRING (-2.423918 39.4049014, -2.4228971 39.4052394)",,,,,
273384947,Calle Corregidor Francisco Zabala,residential,False,True,98.342,"LINESTRING (-2.423918 39.4049014, -2.4249604 39.4045361)",,,,,
398692474,Calle Carriona,residential,False,False,7.234,"LINESTRING (-2.4247967 39.4079555, -2.4247545 39.4078992)",,,,,
398692478,Calle San Cristobal,residential,False,True,60.394,"LINESTRING (-2.4247967 39.4079555, -2.4241384 39.408146)",,,,,
398692482,Calle Santa Quiteria,residential,False,False,43.142,"LINESTRING (-2.4247967 39.4079555, -2.4249344 39.4079193, -2.4252793 39.407849)",,,,,
334159206,,trunk,False,False,160.509,"LINESTRING (-2.4228353 39.4040533, -2.4233986 39.402677)",2,N-310,,,
334159206,,trunk,False,True,76.28,"LINESTRING (-2.4228353 39.4040533, -2.4225565 39.4047046)",2,N-310,,,
512628620,Calle Rús,residential,False,False,59.439,"LINESTRING (-2.4228353 39.4040533, -2.4222048 39.4042733)",,,,,
398692474,Calle Carriona,residential,False,True,71.216,"LINESTRING (-2.4236959 39.4065171, -2.424123 39.407066)",,,,,
398692487,Calle del Carmen,residential,False,False,89.779,"LINESTRING (-2.4236959 39.4065171, -2.4242514 39.406234, -2.4245934 39.4061069)",,,,,
398692487,Calle del Carmen,residential,False,True,32.049,"LINESTRING (-2.4236959 39.4065171, -2.4235921 39.4065783, -2.4234058 39.4066982)",,,,,
445565218,Calle Cuesta Lerín,residential,True,False,86.58,"LINESTRING (-2.4236959 39.4065171, -2.4237252 39.4064361, -2.42329 39.4058284)",,,,,
86595065,Calle Boteros,residential,True,False,72.062,"LINESTRING (-2.4259113 39.4057047, -2.4265132 39.4054601, -2.4266653 39.4054252)",,,,,
202158755,Calle Cruz Cerrada,residential,False,False,46.669,"LINESTRING (-2.431188 39.404054, -2.4316538 39.4042699)",,,,,
