osmid,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,ref,bridge,tunnel
20604837,Drury Street,residential,False,False,194.127,"LINESTRING (-79.0716156 38.1454103, -79.0713576 38.1457965, -79.071329 38.145862, -79.071306 38.145914, -79.0712947 38.1459664, -79.071293 38.145997, -79.071303 38.146108, -79.071326 38.146248, -79.071341 38.1463337, -79.0714021 38.146439, -79.071433 38.1464758, -79.0714685 38.146506, -79.0714983 38.1465255, -79.071574 38.146569, -79.071623 38.146587, -79.0716892 38.1466033, -79.071746 38.146611, -79.071819 38.146612, -79.072077 38.146598, -79.0721458 38.146599)",,,,,
1207222594,Church Street,residential,False,False,35.34199999999999,"LINESTRING (-79.0749071 38.1460805, -79.0749923 38.1461061, -79.0750093 38.1461113, -79.0750309 38.1461174, -79.075062 38.1461268, -79.0750779 38.1461317, -79.0750934 38.146137, -79.0751166 38.1461452, -79.0751394 38.1461544, -79.075162 38.146165, -79.0751846 38.1461773, -79.075202 38.1461877, -79.0752197 38.1461987, -79.0752351 38.1462098, -79.0752456 38.1462195, -79.0752561 38.1462311)",2,25 mph,,,
"[1208171332, 837253983]",Middlebrook Avenue,secondary,False,False,123.87900000000003,"LINESTRING (-79.0749071 38.1460805, -79.074879 38.1461371, -79.0748569 38.1461876, -79.0748095 38.1462981, -79.0747573 38.1464387, -79.074739 38.1464825, -79.0747267 38.1465096, -79.0747084 38.1465455, -79.0746889 38.1465811, -79.0746711 38.1466089, -79.0746568 38.1466269, -79.0746492 38.1466364, -79.0746246 38.1466637, -79.0746013 38.1466848, -79.0745776 38.1467049, -79.0745248 38.1467454, -79.0744369 38.1468101, -79.0744222 38.1468204, -79.0743049 38.1469023, -79.0742402 38.1469453, -79.0742055 38.1469654, -79.0741991 38.1469687, -79.0741627 38.1469871)","['4', '2']",25 mph,,,
"[1207222584, 20610004]",Lushbaugh Street,residential,False,True,55.745999999999995,"LINESTRING (-79.0752561 38.1462311, -79.0753513 38.1462219, -79.0753706 38.1462204, -79.0754846 38.1462105, -79.0758894 38.1461739)",2,25 mph,,,
1207222594,Church Street,residential,False,True,35.342,"LINESTRING (-79.0752561 38.1462311, -79.0752456 38.1462195, -79.0752351 38.1462098, -79.0752197 38.1461987, -79.075202 38.1461877, -79.0751846 38.1461773, -79.075162 38.146165, -79.0751394 38.1461544, -79.0751166 38.1461452, -79.0750934 38.146137, -79.0750779 38.1461317, -79.075062 38.1461268, -79.0750309 38.1461174, -79.0750093 38.1461113, -79.0749923 38.1461061, -79.0749071 38.1460805)",2,25 mph,,,
"[20610177, 1207498146]",Church Street,residential,False,False,108.747,"LINESTRING (-79.0752561 38.1462311, -79.0752663 38.1462442, -79.0752741 38.146256, -79.0752829 38.1462694, -79.0752912 38.1462843, -79.0752985 38.1462995, -79.0753034 38.1463112, -79.0753082 38.1463239, -79.0753123 38.1463392, -79.0753154 38.1463528, -79.0753207 38.146384, -79.0753268 38.1464257, -79.075334 38.1464754, -79.0753962 38.1469046, -79.0754334 38.1471609, -79.075438 38.147194)",2,25 mph,,,
20608349,Kalorama Street,residential,False,True,67.657,"LINESTRING (-79.071033 38.148532, -79.070916 38.148556, -79.070874 38.14856, -79.070847 38.14856, -79.070805 38.148555, -79.070778 38.148549, -79.070765 38.148545, -79.070529 38.148446, -79.070363 38.148381, -79.07032 38.148368)",,,,,
496794416,East Johnson Street,primary,False,False,80.096,"LINESTRING (-79.071033 38.148532, -79.070944 38.1485, -79.070891 38.148473, -79.070811 38.148413, -79.070579 38.148209, -79.0703881 38.1480307)",2,,US 11 BUS;US 250,,
915356290,East Johnson Street,primary,False,True,34.010999999999996,"LINESTRING (-79.071033 38.148532, -79.0711274 38.1485499, -79.0714178 38.1485727)",2,,US 11 BUS;US 250,,
20608349,Kalorama Street,residential,False,False,67.65700000000001,"LINESTRING (-79.07032 38.148368, -79.070363 38.148381, -79.070529 38.148446, -79.070765 38.148545, -79.070778 38.148549, -79.070805 38.148555, -79.070847 38.14856, -79.070874 38.14856, -79.070916 38.148556, -79.071033 38.148532)",,,,,
651977382,Kalorama Street,residential,True,False,174.04299999999998,"LINESTRING (-79.07032 38.148368, -79.070264 38.148356, -79.068336 38.148457)",,,,,
"[1208171332, 837253983]",Middlebrook Avenue,secondary,False,True,123.87900000000002,"LINESTRING (-79.0741627 38.1469871, -79.0741991 38.1469687, -79.0742055 38.1469654, -79.0742402 38.1469453, -79.0743049 38.1469023, -79.0744222 38.1468204, -79.0744369 38.1468101, -79.0745248 38.1467454, -79.0745776 38.1467049, -79.0746013 38.1466848, -79.0746246 38.1466637, -79.0746492 38.1466364, -79.0746568 38.1466269, -79.0746711 38.1466089, -79.0746889 38.1465811, -79.0747084 38.1465455, -79.0747267 38.1465096, -79.074739 38.1464825, -79.0747573 38.1464387, -79.0748095 38.1462981, -79.0748569 38.1461876, -79.074879 38.1461371, -79.0749071 38.1460805)","['4', '2']",25 mph,,,
915356289,South Lewis Street,secondary,False,False,28.04,"LINESTRING (-79.0741627 38.1469871, -79.0741939 38.1470329, -79.0743143 38.1472093)",2,25 mph,,,
20610864,Byers Street,unclassified,False,True,213.29299999999995,"LINESTRING (-79.0743143 38.1472093, -79.073819 38.14741, -79.073807 38.147417, -79.073796 38.147425, -79.073766 38.14745, -79.0737428 38.1474681, -79.0737189 38.1474868, -79.0736402 38.1475479, -79.072908 38.147863, -79.072884 38.147876, -79.072877 38.147881, -79.072859 38.147898, -79.072846 38.147918, -79.072843 38.147926, -79.072839 38.147941, -79.072838 38.147948, -79.072838 38.147956, -79.0728805 38.1483176, -79.0729004 38.1484665)",,25 mph,,,
915356289,South Lewis Street,secondary,False,True,28.04,"LINESTRING (-79.0743143 38.1472093, -79.0741939 38.1470329, -79.0741627 38.1469871)",2,25 mph,,,
1208171333,South Lewis Street,secondary,False,False,12.074,"LINESTRING (-79.0743143 38.1472093, -79.0743716 38.1472915, -79.0743807 38.1473045)",2,25 mph,,,
