osmid,oneway,ref,name,highway,reversed,length,maxspeed,geometry,junction,bridge
575707632,True,60,Dawson Highway,trunk,False,8.426,,"LINESTRING (151.2552082 -23.8464928, 151.2552791 -23.8464536)",,
208684371,True,58,Glenlyon Street,primary,False,34.433,60,"LINESTRING (151.2552082 -23.8464928, 151.2551617 -23.846421, 151.2550354 -23.8462265)",,
139667381,False,,Ormonde Street,residential,True,36.68,50,"LINESTRING (151.2519622 -23.8458363, 151.2518372 -23.8460426, 151.2517472 -23.846088)",,
139816278,False,,Side Street,residential,False,173.83599999999998,50,"LINESTRING (151.2519622 -23.8458363, 151.2521131 -23.845904, 151.2523261 -23.8459995, 151.252586 -23.846152, 151.2531757 -23.8465063, 151.2534178 -23.8466517)",,
139667382,False,,View Street,residential,True,184.725,50,"LINESTRING (151.2526709 -23.8475184, 151.2517472 -23.846088)",,
374784893,False,,Railway Street,tertiary,False,122.71,50,"LINESTRING (151.2526709 -23.8475184, 151.2534178 -23.8466517)",,
139667382,False,,View Street,residential,False,184.725,50,"LINESTRING (151.2517472 -23.846088, 151.2526709 -23.8475184)",,
139667381,False,,Ormonde Street,residential,False,36.68,50,"LINESTRING (151.2517472 -23.846088, 151.2518372 -23.8460426, 151.2519622 -23.8458363)",,
374784893,False,,Railway Street,tertiary,True,122.71,50,"LINESTRING (151.2534178 -23.8466517, 151.2526709 -23.8475184)",,
139816278,False,,Side Street,residential,True,173.836,50,"LINESTRING (151.2534178 -23.8466517, 151.2531757 -23.8465063, 151.252586 -23.846152, 151.2523261 -23.8459995, 151.2521131 -23.845904, 151.2519622 -23.8458363)",,
374784893,False,,Railway Street,tertiary,False,188.16099999999997,50,"LINESTRING (151.2534178 -23.8466517, 151.2540363 -23.8458854, 151.2540655 -23.8458351, 151.2540825 -23.845753, 151.254083 -23.8456308, 151.2541205 -23.8454541, 151.2542081 -23.8453727, 151.2543072 -23.8453011, 151.2543197 -23.8452932, 151.2543704 -23.8452668)",,
575707634,True,58,Glenlyon Street,primary,False,10.953,,"LINESTRING (151.2552639 -23.8465771, 151.2552082 -23.8464928)",,
789822297,True,60,Dawson Highway,trunk,False,52.635,60,"LINESTRING (151.2552639 -23.8465771, 151.2552097 -23.8466097, 151.2548317 -23.8468375)",,
139819720,True,58,Glenlyon Street,primary,False,40.382,60,"LINESTRING (151.2554684 -23.8468884, 151.2552992 -23.8466308, 151.2552639 -23.8465771)",,
139819726,True,60,Glenlyon Street,primary_link,False,71.495,60,"LINESTRING (151.2554684 -23.8468884, 151.2553259 -23.8467859, 151.2552147 -23.8467539, 151.2551968 -23.8467488, 151.2550851 -23.8467413, 151.2549242 -23.8468029, 151.2548317 -23.8468375)",,
139819725,True,58,Glenlyon Street,primary_link,False,53.781,60,"LINESTRING (151.2548969 -23.8466778, 151.254984 -23.8465442, 151.2550159 -23.8464897, 151.2550293 -23.8464439, 151.255041 -23.8464041, 151.2550354 -23.8462265)",,
733226134,True,60,Dawson Highway,trunk,False,37.756,60,"LINESTRING (151.2548969 -23.8466778, 151.2551535 -23.8465253, 151.2552082 -23.8464928)",,
404530062,True,58,Glenlyon Street,primary,False,11.278,,"LINESTRING (151.2552791 -23.8464536, 151.2553406 -23.846538)",,
139947121,True,,Bramston Street,tertiary,False,118.266,50,"LINESTRING (151.2552791 -23.8464536, 151.255397 -23.8463914, 151.2562817 -23.8459148)",,
575707633,True,60,Dawson Highway,trunk,False,8.93,,"LINESTRING (151.2553406 -23.846538, 151.2552639 -23.8465771)",,
772240677,False,,Gladstone Port Access Road,tertiary,False,13.631,60,"LINESTRING (151.254489 -23.8452097, 151.2543704 -23.8452668)",,
772240677,False,,Gladstone Port Access Road,tertiary,True,38.85,60,"LINESTRING (151.254489 -23.8452097, 151.2545676 -23.845184, 151.2546569 -23.8451548, 151.2548561 -23.8451159)",,
"[772240678, 733226135]",True,58,Glenlyon Street,primary,False,160.194,60,"LINESTRING (151.254489 -23.8452097, 151.2546221 -23.8453904, 151.2548032 -23.8456581, 151.2548807 -23.8458263, 151.2552343 -23.846383, 151.2552791 -23.8464536)",,
208684371,True,58,Glenlyon Street,primary,False,126.88300000000001,60,"LINESTRING (151.2550354 -23.8462265, 151.2547341 -23.845704, 151.2545297 -23.8454315, 151.2543704 -23.8452668)",,
772240677,False,,Gladstone Port Access Road,tertiary,True,13.631,60,"LINESTRING (151.2543704 -23.8452668, 151.254489 -23.8452097)",,
