osmid,oneway,lanes,name,highway,reversed,length,maxspeed,geometry,ref,junction
702928750,True,4,Avenida Justo Arosemena,tertiary,False,75.748,,"LINESTRING (-79.5352358 8.9684405, -79.5348998 8.9690354)",,
589716804,True,,Calle 34 Este,residential,False,123.76,,"LINESTRING (-79.5355073 8.9702327, -79.5345276 8.9696829)",,
619834153,True,3,Avenida Cuba,tertiary,False,42.017,,"LINESTRING (-79.5355073 8.9702327, -79.5356976 8.9699049)",,
28878053,True,4,Avenida Cuba,tertiary,False,51.292,,"LINESTRING (-79.5329043 8.9747407, -79.5331402 8.9743426)",,
860209443,True,2,Calle 42,secondary,False,116.499,,"LINESTRING (-79.5329043 8.9747407, -79.5318744 8.9744901)",,
28878456,True,,Calle 41,residential,False,123.559,,"LINESTRING (-79.5321526 8.9738105, -79.5331402 8.9743426)",,
386989162,True,4,Avenida Justo Arosemena,tertiary,False,81.51800000000001,40,"LINESTRING (-79.5321526 8.9738105, -79.5320329 8.9740963, -79.5319184 8.9743747, -79.5318744 8.9744901)",,
28878053,True,4,Avenida Cuba,tertiary,False,74.639,,"LINESTRING (-79.5334742 8.9737779, -79.5338078 8.9731931)",,
28878111,True,,Calle 40 Este,residential,False,123.582,,"LINESTRING (-79.5334742 8.9737779, -79.5332085 8.9736253, -79.5329587 8.9734808, -79.532501 8.9732201)",,
28878111,True,,Calle 40 Este,residential,False,121.197,,"LINESTRING (-79.532501 8.9732201, -79.5315418 8.9726813)",,
386989162,True,4,Avenida Justo Arosemena,tertiary,False,75.988,40,"LINESTRING (-79.532501 8.9732201, -79.5321526 8.9738105)",,
28878111,True,,Calle 40 Este,residential,False,87.293,,"LINESTRING (-79.5305775 8.9721051, -79.5298767 8.9717348)",,
561329246,False,,Avenida 5a Sur,residential,True,73.372,,"LINESTRING (-79.5305775 8.9721051, -79.530907 8.9715311)",,
561329248,False,,Avenida 5a Sur,residential,False,76.062,,"LINESTRING (-79.5305775 8.9721051, -79.5302128 8.9726866)",,
28878111,True,,Calle 40 Este,residential,False,123.785,,"LINESTRING (-79.5315418 8.9726813, -79.5305775 8.9721051)",,
28878113,True,,Calle Republica De Bolivia,residential,False,74.706,40,"LINESTRING (-79.5315418 8.9726813, -79.531202 8.9732633)",,
380227016,False,,Calle Republica De Bolivia,residential,True,121.399,,"LINESTRING (-79.5306424 8.9742048, -79.531202 8.9732633)",,
561329249,False,,Avenida 5a Sur,residential,True,86.523,,"LINESTRING (-79.5298105 8.9733556, -79.5302128 8.9726866)",,
860209444,True,3,Avenida Balboa,secondary,False,78.686,60,"LINESTRING (-79.530413 8.9705585, -79.530549 8.9702871, -79.5306627 8.9700921, -79.5307785 8.9699534)",,
561329247,False,,Avenida 5a Sur,residential,False,74.802,,"LINESTRING (-79.5312261 8.9709368, -79.530907 8.9715311)",,
28878128,True,,Calle 38,residential,False,98.80600000000001,,"LINESTRING (-79.5312261 8.9709368, -79.5308495 8.9707409, -79.530413 8.9705585)",,
28878128,True,,Calle 38,residential,False,117.047,,"LINESTRING (-79.5331633 8.972037, -79.5322474 8.9714989)",,
386989162,True,4,Avenida Justo Arosemena,tertiary,False,75.915,40,"LINESTRING (-79.5331633 8.972037, -79.5328485 8.9726448)",,
28878129,True,,Calle 38,residential,False,122.933,,"LINESTRING (-79.5351148 8.9731631, -79.5341565 8.9725919)",,
619834152,True,3,Avenida Perú,secondary,False,76.084,,"LINESTRING (-79.5351148 8.9731631, -79.5347787 8.9737614)",,
28878128,True,,Calle 38,residential,False,125.329,,"LINESTRING (-79.5341565 8.9725919, -79.5331633 8.972037)",,
619834153,True,3,Avenida Cuba,tertiary,False,74.576,,"LINESTRING (-79.5341565 8.9725919, -79.5344948 8.9720104)",,
28878053,True,4,Avenida Cuba,tertiary,False,77.044,,"LINESTRING (-79.5338078 8.9731931, -79.5341565 8.9725919)",,
28878137,True,,Calle 39 Este,residential,False,123.955,,"LINESTRING (-79.5338078 8.9731931, -79.5347787 8.9737614)",,
28878137,True,,Calle 39 Este,residential,False,121.732,,"LINESTRING (-79.5328485 8.9726448, -79.5338078 8.9731931)",,
386989162,True,4,Avenida Justo Arosemena,tertiary,False,74.491,40,"LINESTRING (-79.5328485 8.9726448, -79.532501 8.9732201)",,
28878137,True,,Calle 39 Este,residential,False,124.43,,"LINESTRING (-79.530907 8.9715311, -79.5318905 8.9720865)",,
561329246,False,,Avenida 5a Sur,residential,False,73.372,,"LINESTRING (-79.530907 8.9715311, -79.5305775 8.9721051)",,
561329247,False,,Avenida 5a Sur,residential,True,74.802,,"LINESTRING (-79.530907 8.9715311, -79.5312261 8.9709368)",,
619834152,True,3,Avenida Perú,secondary,False,65.081,,"LINESTRING (-79.5347787 8.9737614, -79.5344809 8.9742674)",,
28878113,True,,Calle Republica De Bolivia,residential,False,76.428,40,"LINESTRING (-79.5318905 8.9720865, -79.5315418 8.9726813)",,
28878137,True,,Calle 39 Este,residential,False,122.17,,"LINESTRING (-79.5318905 8.9720865, -79.5328485 8.9726448)",,
28878113,True,,Calle Republica De Bolivia,residential,False,76.195,40,"LINESTRING (-79.5322474 8.9714989, -79.5318905 8.9720865)",,
28878128,True,,Calle 38,residential,False,128.412,,"LINESTRING (-79.5322474 8.9714989, -79.5312261 8.9709368)",,
265035144,True,4,Avenida Justo Arosemena,tertiary,False,74.785,,"LINESTRING (-79.5334931 8.9714486, -79.5331633 8.972037)",,
