osmid,lanes,name,highway,width,oneway,reversed,length,geometry
9088185,2,Center Street,residential,13.4,False,False,89.498,"LINESTRING (-70.8995969 41.6363643, -70.8985298 41.6364728)"
9088185,2,Center Street,residential,13.4,False,True,89.561,"LINESTRING (-70.8995969 41.6363643, -70.9006653 41.6362588)"
9088047,2,Chestnut Street,residential,12.2,False,False,152.691,"LINESTRING (-70.8995969 41.6363643, -70.8996085 41.636431, -70.899834 41.637726)"
9088047,2,Chestnut Street,residential,12.2,False,True,99.203,"LINESTRING (-70.8995969 41.6363643, -70.8995851 41.6362958, -70.8994533 41.6355337, -70.899444 41.6354795)"
9087830,2,Main Street,secondary,9.8,False,True,67.233,"LINESTRING (-70.905231 41.637806, -70.905131 41.637206)"
9088995,2,Spring Street,residential,15.2,False,False,87.854,"LINESTRING (-70.905231 41.637806, -70.9043079 41.6381911)"
9087981,2,Main Street,secondary,10.4,False,False,163.725,"LINESTRING (-70.905231 41.637806, -70.9052349 41.6378244, -70.905315 41.638205, -70.9053461 41.6383975, -70.9053756 41.6385796, -70.905408 41.63878, -70.9054188 41.6388492, -70.905484 41.639266)"
9088419,2,Laurel Street,residential,12.2,False,True,123.729,"LINESTRING (-70.900317 41.63425, -70.900131 41.633146)"
9089112,2,South Street,residential,15.2,False,False,90.516,"LINESTRING (-70.900317 41.63425, -70.899246 41.634398)"
9089112,2,South Street,residential,15.2,False,True,89.781,"LINESTRING (-70.900317 41.63425, -70.901379 41.634102)"
9088419,2,Laurel Street,residential,12.2,False,False,123.906,"LINESTRING (-70.900317 41.63425, -70.9003325 41.6343518, -70.9004921 41.6353566)"
9088549,2,Pease Street,residential,9.1,False,True,64.596,"LINESTRING (-70.905484 41.639266, -70.906247 41.639155)"
9087981,2,Main Street,secondary,10.4,False,False,112.74600000000001,"LINESTRING (-70.905484 41.639266, -70.905528 41.639636, -70.905587 41.639956, -70.905614 41.640122, -70.905667 41.640269)"
9087981,2,Main Street,secondary,10.4,False,True,163.72500000000002,"LINESTRING (-70.905484 41.639266, -70.9054188 41.6388492, -70.905408 41.63878, -70.9053756 41.6385796, -70.9053461 41.6383975, -70.905315 41.638205, -70.9052349 41.6378244, -70.905231 41.637806)"
9088511,2,Middle Street,residential,10.7,False,False,103.119,"LINESTRING (-70.906247 41.639155, -70.906572 41.64005)"
9088549,2,Pease Street,residential,9.1,False,False,64.596,"LINESTRING (-70.906247 41.639155, -70.905484 41.639266)"
9087969,2,Middle Street,residential,15.2,False,True,234.679,"LINESTRING (-70.906247 41.639155, -70.9061435 41.6387587, -70.9060345 41.6383413, -70.905965 41.638075, -70.9058669 41.6376064, -70.9058324 41.6374418, -70.905756 41.637077)"
9088047,2,Chestnut Street,residential,12.2,False,False,107.125,"LINESTRING (-70.900072 41.639066, -70.9002526 41.6400199)"
