osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,maxspeed,junction
585421398,Northeast 13th Avenue,residential,False,False,98.944,"LINESTRING (-80.17296 25.903641, -80.173001 25.904454, -80.172974 25.904526)",,,,
585421398,Northeast 13th Avenue,residential,False,True,101.399,"LINESTRING (-80.17296 25.903641, -80.1729337 25.9031971, -80.172906 25.9027304)",,,,
"[1049611147, 1049611148]",Northeast 139th Street,residential,False,True,163.352,"LINESTRING (-80.17296 25.903641, -80.1734502 25.9036212, -80.1740452 25.9035999, -80.1744606 25.9035842, -80.1745917 25.9035793)",,,,
1080779294,Northeast 11th Avenue,residential,False,False,85.108,"LINESTRING (-80.176936 25.902563, -80.1769722 25.9033277)",,,,
146992189,Northeast 138th Street,residential,False,False,68.62100000000001,"LINESTRING (-80.176936 25.902563, -80.1766822 25.9025756, -80.1764956 25.9025849, -80.176251 25.902597)",,,,
146992189,Northeast 138th Street,residential,False,True,200.714,"LINESTRING (-80.176936 25.902563, -80.1771719 25.9025541, -80.1789409 25.9024875)",,,,
"[1024908840, 1080779294, 1024908838]",Northeast 11th Avenue,residential,False,True,64.777,"LINESTRING (-80.176936 25.902563, -80.1769399 25.9023099, -80.1769424 25.9021446, -80.1769429 25.9021115, -80.176943 25.902104, -80.1769449 25.9019805)",,,,
856231493,Northeast 140th Street,residential,False,True,202.143,"LINESTRING (-80.1770198 25.9043899, -80.1790388 25.9043096)",,,,
1024908839,Northeast 11th Avenue,residential,False,False,83.467,"LINESTRING (-80.1770198 25.9043899, -80.1770636 25.9051395)",,,,
1024908839,Northeast 11th Avenue,residential,False,True,81.868,"LINESTRING (-80.1770198 25.9043899, -80.176991 25.9036541)",,,,
856231493,Northeast 140th Street,residential,False,False,202.098,"LINESTRING (-80.1770198 25.9043899, -80.1754366 25.9044488, -80.175001 25.904465)",,,,
1034711653,Northeast 142nd Street,residential,False,False,200.662,"LINESTRING (-80.1771167 25.9062022, -80.175112 25.906272)",,,,
1034711653,Northeast 142nd Street,residential,False,True,201.276,"LINESTRING (-80.1771167 25.9062022, -80.1791272 25.9061249)",,,,
1080779283,Northeast 11th Avenue,residential,False,False,100.051,"LINESTRING (-80.1771167 25.9062022, -80.1771582 25.9071012)",,,,
1080779283,Northeast 11th Avenue,residential,False,True,84.059,"LINESTRING (-80.1771167 25.9062022, -80.1770816 25.9054469)",,,,
192598292,Northeast 143rd Street,tertiary,False,False,201.359,"LINESTRING (-80.1771582 25.9071012, -80.1791699 25.9070317)",2,,,
192598292,Northeast 143rd Street,tertiary,False,True,200.935,"LINESTRING (-80.1771582 25.9071012, -80.1751511 25.9071785)",2,,,
1080779283,Northeast 11th Avenue,residential,False,True,100.051,"LINESTRING (-80.1771582 25.9071012, -80.1771167 25.9062022)",,,,
11151268,Northeast 138th Street,residential,False,False,201.263,"LINESTRING (-80.1749164 25.9026551, -80.172906 25.9027304)",,,,
11168866,Northeast 12th Avenue,tertiary,False,False,67.939,"LINESTRING (-80.1749164 25.9026551, -80.174921 25.9027367, -80.1749311 25.9029151, -80.1749404 25.9030779, -80.1749425 25.9031159, -80.174951 25.9032653)",2,,,
11168866,Northeast 12th Avenue,tertiary,False,True,67.666,"LINESTRING (-80.1749164 25.9026551, -80.174911 25.9025091, -80.1749048 25.9023396, -80.1748993 25.9021883, -80.1748941 25.9020469)",2,,,
11151268,Northeast 138th Street,residential,False,True,201.263,"LINESTRING (-80.172906 25.9027304, -80.1749164 25.9026551)",,,,
585421398,Northeast 13th Avenue,residential,False,True,68.026,"LINESTRING (-80.172906 25.9027304, -80.1728766 25.9021192)",,,,
11151268,Northeast 138th Street,residential,False,False,199.915,"LINESTRING (-80.172906 25.9027304, -80.172801 25.9027343, -80.1710413 25.9027991, -80.170909 25.902804)",,,,
585421398,Northeast 13th Avenue,residential,False,False,101.399,"LINESTRING (-80.172906 25.9027304, -80.1729337 25.9031971, -80.17296 25.903641)",,,,
856231491,Northeast 12th Avenue,tertiary,False,False,100.874,"LINESTRING (-80.175112 25.906272, -80.1751511 25.9071785)",2,,30 mph,
856231491,Northeast 12th Avenue,tertiary,False,True,99.672,"LINESTRING (-80.175112 25.906272, -80.175057 25.905377)",2,,30 mph,
1034711653,Northeast 142nd Street,residential,False,True,200.662,"LINESTRING (-80.175112 25.906272, -80.1771167 25.9062022)",,,,
1034711653,Northeast 142nd Street,residential,False,False,234.536,"LINESTRING (-80.175112 25.906272, -80.1733223 25.9063413, -80.1727693 25.9063627)",,,,
11163631,Northeast 140th Street,residential,False,False,197.638,"LINESTRING (-80.172974 25.904526, -80.172871 25.904549, -80.171003 25.904623)",,,,
11163631,Northeast 140th Street,residential,False,True,75.002,"LINESTRING (-80.172974 25.904526, -80.1732006 25.9047224, -80.173514 25.904994)",,,,
585421398,Northeast 13th Avenue,residential,False,True,98.944,"LINESTRING (-80.172974 25.904526, -80.173001 25.904454, -80.17296 25.903641)",,,,
856231490,Northeast 140th Street,residential,False,False,56.213,"LINESTRING (-80.175001 25.904465, -80.1744393 25.9044817)",,,,
856231491,Northeast 12th Avenue,tertiary,False,False,101.564,"LINESTRING (-80.175001 25.904465, -80.175057 25.905377)",2,,30 mph,
856231493,Northeast 140th Street,residential,False,True,202.098,"LINESTRING (-80.175001 25.904465, -80.1754366 25.9044488, -80.1770198 25.9043899)",,,,
"[1049611138, 1049611140]",Northeast 12th Avenue,tertiary,False,True,61.913,"LINESTRING (-80.175001 25.904465, -80.1749932 25.9042511, -80.1749862 25.9040605, -80.1749806 25.9039085)",2,,,
585421398,Northeast 13th Avenue,residential,False,False,51.921,"LINESTRING (-80.1728392 25.9013429, -80.1728616 25.9018094)",,,,
"[11143026, 11169516]","['Northeast 136th Terrace', 'Northeast 136th Street']",residential,False,True,204.529,"LINESTRING (-80.1728392 25.9013429, -80.1732316 25.9013301, -80.1734738 25.9013222, -80.1735989 25.9013188, -80.1737883 25.9014041, -80.173936 25.901427, -80.1748571 25.9013752)",,,,
