osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,junction
30174724,True,2,A15,Bourges Boulevard,primary,30 mph,False,27.229,"LINESTRING (-0.2477287 52.5745438, -0.247762 52.5746447, -0.2478599 52.5747736)",
"[654501072, 881615964]",True,"['1', '2']",,Station Road,unclassified,30 mph,False,34.0,"LINESTRING (-0.2477287 52.5745438, -0.2478307 52.5746014, -0.2478798 52.5746143, -0.2479334 52.5746216, -0.2479823 52.5746195, -0.2480492 52.574615, -0.2480847 52.5746108, -0.2481757 52.5745815)",
4304585,True,1,,Mayors Walk,tertiary,30 mph,False,27.612000000000002,"LINESTRING (-0.2495252 52.576441, -0.2497174 52.5764573, -0.2499319 52.5764542)",
440532409,True,2,A15,,primary,30 mph,False,15.304,"LINESTRING (-0.2495252 52.576441, -0.2495773 52.5764742, -0.2496118 52.576515, -0.2496257 52.5765601)",roundabout
"[4272217, 55895625, 55895628]",True,3,,Crescent Bridge Roundabout,primary,30 mph,False,80.502,"LINESTRING (-0.2471826 52.5736202, -0.2471167 52.5735714, -0.2470241 52.5735001, -0.2469994 52.5734804, -0.2469594 52.5734318, -0.2469368 52.57339, -0.2469146 52.5732819, -0.246916 52.5731923, -0.2469319 52.5730912, -0.2469478 52.5730396, -0.2469691 52.5730073, -0.2470328 52.5729621)",roundabout
4272217,True,3,,Crescent Bridge Roundabout,primary,30 mph,False,9.264,"LINESTRING (-0.2470328 52.5729621, -0.2470823 52.5729406, -0.2471516 52.5729213)",roundabout
4316307,False,,,Wentworth Street,unclassified,30 mph,False,110.063,"LINESTRING (-0.2436723 52.5702423, -0.2436791 52.5703072, -0.2436793 52.5704678, -0.2436797 52.5708237, -0.24368 52.5710886, -0.2436569 52.5712313)",
"[234502914, 372511075, 626772861, 626772862]",True,2,A15,Bourges Boulevard,primary,30 mph,False,154.36700000000002,"LINESTRING (-0.2436723 52.5702423, -0.2435193 52.5702395, -0.2431793 52.5702423, -0.2428422 52.5702495, -0.2427157 52.5702536, -0.2425121 52.5702604, -0.2424156 52.5702679, -0.2422669 52.5702843, -0.2420297 52.5703089, -0.2417218 52.5703336, -0.2415959 52.570342, -0.2413996 52.570351)",
4272953,True,2,A15,Rivergate,primary,30 mph,False,125.811,"LINESTRING (-0.2406501 52.5701034, -0.2406676 52.5699579, -0.2406498 52.5698517, -0.2406375 52.5697783, -0.2405827 52.5696191, -0.2404871 52.5694589, -0.24033 52.569164, -0.2403194 52.5690897, -0.2403349 52.5690028)",
618200286,True,3,,,primary,30 mph,False,22.649,"LINESTRING (-0.2406501 52.5701034, -0.240707 52.5700819, -0.2407725 52.570073, -0.240839 52.5700779, -0.2408991 52.5700959, -0.240946 52.570125)",roundabout
618200283,True,3,,,primary,30 mph,False,12.791,"LINESTRING (-0.2408725 52.5703017, -0.2408125 52.5703134, -0.2407494 52.5703132, -0.2406896 52.5703009)",roundabout
4272953,True,2,A15,Rivergate,primary,30 mph,False,21.875,"LINESTRING (-0.2403349 52.5690028, -0.2404144 52.5689064, -0.2405109 52.5688396)",
