osmid,name,highway,oneway,reversed,length,geometry,access,lanes,maxspeed
226002373,South 1st Street,residential,False,False,146.171,"LINESTRING (-115.147477 36.167694, -115.1480399 36.1668314, -115.148236 36.166531)",,,
226002373,South 1st Street,residential,False,True,146.886,"LINESTRING (-115.147477 36.167694, -115.1472866 36.167986, -115.1472127 36.1680995, -115.146715 36.168863)",,,
"[848246773, 848246774]",Lewis Avenue,residential,False,True,113.664,"LINESTRING (-115.147477 36.167694, -115.1478771 36.1678595, -115.1480754 36.1679415, -115.1483458 36.1680534, -115.148601 36.1681646)",,,
658515415,Lewis Avenue,residential,False,False,4.184,"LINESTRING (-115.146343 36.167208, -115.146302 36.1671901)",,,
658515415,Lewis Avenue,residential,False,True,8.958,"LINESTRING (-115.146343 36.167208, -115.146433 36.1672428)",,,
651364959,,busway,False,False,146.679,"LINESTRING (-115.146343 36.167208, -115.1465423 36.1669315, -115.1467972 36.1665548, -115.1471474 36.1660599)",no,,
651364959,,busway,False,True,146.913,"LINESTRING (-115.146343 36.167208, -115.1460609 36.1676612, -115.146018 36.1677684, -115.145916 36.1679384, -115.1457953 36.1681354, -115.145618 36.1683907)",no,,
625523013,Fremont Street,unclassified,False,True,10.27,"LINESTRING (-115.146303 36.1716753, -115.146404 36.1717187)",,,
14318522,Carson Avenue,unclassified,False,True,11.367,"LINESTRING (-115.147073 36.1705078, -115.147184 36.170557)",,,
"[999044601, 14310103]","['South 1st Street', 'Carson Avenue']","['unclassified', 'residential']",False,False,260.065,"LINESTRING (-115.147073 36.1705078, -115.1465508 36.1702846, -115.1464449 36.170239, -115.145955 36.170028, -115.1463192 36.1694697, -115.146715 36.168863)",,,
"[999044602, 1249454939, 1053837093]",South Main Street,secondary,True,False,147.07399999999998,"LINESTRING (-115.147073 36.1705078, -115.1467342 36.1710259, -115.1465337 36.1713277, -115.146303 36.1716753)",,"['3', '2']",30 mph
14314595,Bridger Avenue,tertiary,False,True,10.073,"LINESTRING (-115.147847 36.1693373, -115.147947 36.1693784)",,,
1018455929,Bridger Avenue,tertiary,False,False,114.487,"LINESTRING (-115.147847 36.1693373, -115.1472973 36.1691038, -115.1472131 36.169069, -115.1469308 36.1689522, -115.146715 36.168863)",,,
"[1018455930, 999044603, 999044605]",South Main Street,secondary,True,False,147.566,"LINESTRING (-115.147847 36.1693373, -115.1475024 36.1698682, -115.1472952 36.1701906, -115.1472171 36.1703066, -115.1471764 36.1703691, -115.147073 36.1705078)",,"['3', '2']",30 mph
14320769,Lewis Avenue,residential,False,True,10.948,"LINESTRING (-115.148601 36.1681646, -115.148712 36.1682054)",,,
"[1035941338, 848246772]",South Main Street,secondary,True,False,146.918,"LINESTRING (-115.148601 36.1681646, -115.1482546 36.1687033, -115.1480512 36.1690197, -115.147847 36.1693373)",,"['3', '2']",30 mph
"[848246773, 848246774]",Lewis Avenue,residential,False,False,113.66399999999999,"LINESTRING (-115.148601 36.1681646, -115.1483458 36.1680534, -115.1480754 36.1679415, -115.1478771 36.1678595, -115.147477 36.167694)",,,
625523015,South Main Street,secondary,False,True,53.914,"LINESTRING (-115.149395 36.1670187, -115.1496892 36.166596)",,,30 mph
674621859,South Main Street,secondary,False,False,61.497,"LINESTRING (-115.149395 36.1670187, -115.149079 36.1675094)",,,30 mph
674621860,Clark Avenue,tertiary,False,False,117.326,"LINESTRING (-115.149395 36.1670187, -115.148236 36.166531)",,,
423692807,South Main Street,secondary,False,True,146.759,"LINESTRING (-115.150178 36.1658704, -115.150931 36.1646989)",,,30 mph
14312503,Bonneville Avenue,secondary,False,False,117.821,"LINESTRING (-115.150178 36.1658704, -115.1496626 36.1656501, -115.1495899 36.165619, -115.149018 36.1653747)",,,30 mph
601617913,South Main Street,secondary,True,False,93.84499999999998,"LINESTRING (-115.150178 36.1658704, -115.1500665 36.1659464, -115.1496835 36.166534, -115.1496892 36.166596)",,2,30 mph
601618368,West Bonneville Avenue,secondary,True,False,259.055,"LINESTRING (-115.150178 36.1658704, -115.1502586 36.1659853, -115.1512778 36.1664118, -115.1520785 36.1667518, -115.1522595 36.1668254, -115.152399 36.1668752, -115.1525733 36.166925, -115.152698 36.1669531)",,2,30 mph
423692807,South Main Street,secondary,False,False,146.759,"LINESTRING (-115.150931 36.1646989, -115.150178 36.1658704)",,,30 mph
423692235,South Main Street,secondary,False,False,57.007,"LINESTRING (-115.150931 36.1646989, -115.1511433 36.1643447, -115.1512019 36.1642353)",,,30 mph
446966547,Garces Avenue,tertiary,False,True,118.229,"LINESTRING (-115.150931 36.1646989, -115.1503675 36.164459, -115.149766 36.164203)",,,30 mph
14320536,South Commerce Street,secondary,True,False,53.384,"LINESTRING (-115.1512019 36.1642353, -115.1513073 36.1641068, -115.1514065 36.1640267, -115.1515575 36.1639608, -115.151613 36.1639418, -115.1516383 36.1639266)",,2,30 mph
423692235,South Main Street,secondary,False,True,57.007,"LINESTRING (-115.1512019 36.1642353, -115.1511433 36.1643447, -115.150931 36.1646989)",,,30 mph
650444346,Gass Avenue,tertiary,False,False,75.719,"LINESTRING (-115.1512867 36.1633388, -115.15053 36.163038)",,,
226002322,South Main Street,secondary,True,False,42.937,"LINESTRING (-115.1512867 36.1633388, -115.1512343 36.163642, -115.1512344 36.163722)",,2,30 mph
674621860,Clark Avenue,tertiary,False,True,117.326,"LINESTRING (-115.148236 36.166531, -115.149395 36.1670187)",,,
14295418,Clark Avenue,tertiary,False,False,69.96400000000001,"LINESTRING (-115.148236 36.166531, -115.147759 36.1663208, -115.1477278 36.1662839, -115.1477105 36.1662634, -115.1476752 36.1661458)",,,
226002373,South 1st Street,residential,False,True,146.171,"LINESTRING (-115.148236 36.166531, -115.1480399 36.1668314, -115.147477 36.167694)",,,
"[674621861, 1008913279]",South 1st Street,residential,False,False,146.49,"LINESTRING (-115.148236 36.166531, -115.148549 36.1660683, -115.1488302 36.1656526, -115.149018 36.1653747)",,,
651269319,Clark Avenue,secondary,True,False,5.531,"LINESTRING (-115.1471474 36.1660599, -115.1472021 36.1660828)",,,
651364959,,busway,False,True,146.679,"LINESTRING (-115.1471474 36.1660599, -115.1467972 36.1665548, -115.1465423 36.1669315, -115.146343 36.167208)",no,,
651364960,,busway,False,True,144.61,"LINESTRING (-115.1471474 36.1660599, -115.1473591 36.1657438, -115.1474489 36.1655998, -115.1475388 36.1654168, -115.147626 36.1652566, -115.1477815 36.1650271, -115.147881 36.1649046)",no,,
843791992,South 3rd Street,tertiary,False,True,146.198,"LINESTRING (-115.145968 36.16555, -115.145206 36.166712)",,,
"[845014147, 226002324, 845014151]",South 3rd Street,tertiary,False,False,145.375,"LINESTRING (-115.145968 36.16555, -115.1463988 36.1648913, -115.1465517 36.164669, -115.146737 36.1643995)",,,
446966545,Clark Avenue,secondary,True,False,112.15299999999999,"LINESTRING (-115.145968 36.16555, -115.1464628 36.1657642, -115.1467094 36.1658708, -115.1470692 36.1660264)",,,
226002348,South 4th Street,tertiary,True,False,146.176,"LINESTRING (-115.1448504 36.1650753, -115.144794 36.1651586, -115.1447257 36.1652656, -115.1446136 36.1654369, -115.144089 36.1662373)",,3,
822081470,Clark Avenue,secondary,True,False,113.369,"LINESTRING (-115.1448504 36.1650753, -115.144966 36.165124, -115.1452509 36.165242, -115.14542 36.1653124, -115.145968 36.16555)",,3,
421284583,Clark Avenue,secondary,True,False,12.488,"LINESTRING (-115.143659 36.1645602, -115.143783 36.1646111)",,,
130776870,Symphony Park Avenue South,residential,True,False,126.57000000000001,"LINESTRING (-115.153551 36.1703269, -115.1534442 36.1702615, -115.1532036 36.1701136, -115.1530768 36.1700198, -115.1529444 36.1698707, -115.1528941 36.1698302, -115.1527997 36.1697541, -115.1526563 36.1696602, -115.1525528 36.1696109, -115.1524973 36.1695835)",,,25 mph
"[1109977873, 1037108531]",West Symphony Park Avenue,tertiary,False,False,19.189999999999998,"LINESTRING (-115.153551 36.1703269, -115.1536248 36.1703559, -115.153743 36.1704028)",,,35 mph
1018455929,Bridger Avenue,tertiary,False,False,105.616,"LINESTRING (-115.146715 36.168863, -115.145677 36.1684158)",,,
