osmid,name,highway,oneway,reversed,length,geometry,maxspeed,ref,bridge,lanes,tunnel
15514615,King Avenue,residential,False,False,97.219,"LINESTRING (-82.2922282 38.4085513, -82.2922357 38.4084889, -82.2922734 38.4076778)",,,,,
15518861,Main Street,tertiary,False,False,76.783,"LINESTRING (-82.2922282 38.4085513, -82.292703 38.4086, -82.292917 38.408641, -82.293091 38.408683)",25 mph,,,,
15518861,Main Street,tertiary,False,True,151.682,"LINESTRING (-82.2922282 38.4085513, -82.291945 38.4085304, -82.2917388 38.408526, -82.2914807 38.4085204, -82.2914296 38.4085194, -82.2911355 38.4085135, -82.2909514 38.4085098, -82.2905918 38.4085048, -82.2904891 38.4085021)",25 mph,,,,
15520951,Stowasser Avenue,residential,False,True,150.782,"LINESTRING (-82.2922282 38.4085513, -82.2922193 38.4086232, -82.2921281 38.4091634, -82.2921104 38.409268, -82.2920953 38.4093724, -82.292086 38.4094362, -82.2920738 38.4095403, -82.2920595 38.4096527, -82.2920474 38.4097929, -82.2920301 38.4098981)",,,,,
15514615,King Avenue,residential,False,True,97.219,"LINESTRING (-82.2922734 38.4076778, -82.2922357 38.4084889, -82.2922282 38.4085513)",,,,,
15517037,Nash Street,residential,False,False,40.254,"LINESTRING (-82.2922734 38.4076778, -82.2920459 38.40766, -82.2918131 38.4076474)",,,,,
"[15517037, 15517573]","['Newton Avenue', 'Nash Street']",residential,False,True,206.584,"LINESTRING (-82.2922734 38.4076778, -82.293419 38.407762, -82.2931129 38.4086277, -82.293091 38.408683)",,,,,
15514956,,residential,False,False,60.416999999999994,"LINESTRING (-82.2948452 38.4083129, -82.294818 38.4082967, -82.2943001 38.4079771)",,,,,
15519361,Musgrave Court,residential,True,False,55.425,"LINESTRING (-82.2948452 38.4083129, -82.2945553 38.408612, -82.2944604 38.4087098)",,,,,
15520854,Slaughter Street,residential,False,True,72.007,"LINESTRING (-82.2948452 38.4083129, -82.2948916 38.4083391, -82.295111 38.408478, -82.2954308 38.4086735, -82.2954949 38.408713)",,,,,
15514956,,residential,False,True,60.416999999999994,"LINESTRING (-82.2943001 38.4079771, -82.294818 38.4082967, -82.2948452 38.4083129)",,,,,
15516848,Farmdale Road,tertiary,False,False,60.19,"LINESTRING (-82.298596 38.412984, -82.298562 38.4129127, -82.298354 38.412477)",35 mph,CR 60/5,,,
15522672,West Lane,residential,False,False,84.434,"LINESTRING (-82.298596 38.412984, -82.2988222 38.412923, -82.2995055 38.412722)",,CR 60/80,,,
"[15516848, 464203833, 464203832, 791803404]",Farmdale Road,tertiary,False,False,376.2660000000001,"LINESTRING (-82.298354 38.412477, -82.2983167 38.412399, -82.29808 38.411904, -82.2978192 38.411376, -82.297629 38.410991, -82.297553 38.41089, -82.297471 38.410813, -82.297377 38.410755, -82.2971075 38.410646, -82.2958405 38.4102181, -82.2956521 38.4101492)","['35 mph', '25 mph']",CR 60/5,yes,,
15516848,Farmdale Road,tertiary,False,True,60.19,"LINESTRING (-82.298354 38.412477, -82.298562 38.4129127, -82.298596 38.412984)",35 mph,CR 60/5,,,
15518592,Farmdale Court,residential,False,False,94.719,"LINESTRING (-82.298354 38.412477, -82.298584 38.4124151, -82.299374 38.4121825)",,,,,
15517017,Water Street,residential,False,False,60.8,"LINESTRING (-82.2956521 38.4101492, -82.2957201 38.4100691, -82.2958408 38.4099421, -82.2960752 38.4097148)",,,,,
"[464203832, 464203833, 791803404, 15516848]",Farmdale Road,tertiary,False,True,376.2660000000001,"LINESTRING (-82.2956521 38.4101492, -82.2958405 38.4102181, -82.2971075 38.410646, -82.297377 38.410755, -82.297471 38.410813, -82.297553 38.41089, -82.297629 38.410991, -82.2978192 38.411376, -82.29808 38.411904, -82.2983167 38.412399, -82.298354 38.412477)","['35 mph', '25 mph']",CR 60/5,yes,,
