osmid,oneway,name,highway,reversed,length,geometry,lanes,maxspeed,access,ref
8922902,True,Elm Street,residential,False,146.48499999999999,"LINESTRING (-122.4221964 37.7812848, -122.4223976 37.7812592, -122.4226201 37.781231, -122.4227183 37.7812185, -122.4229719 37.7811863, -122.4232771 37.7811476, -122.4238421 37.7810758)",,,,
225806029,True,Franklin Street,secondary,False,53.037,"LINESTRING (-122.4221964 37.7812848, -122.4222753 37.7816749, -122.4222916 37.7817558)",4,25 mph,,
"[254759933, 1083936405]",True,Hyde Street,tertiary,False,102.32600000000001,"LINESTRING (-122.4151521 37.7797961, -122.4151174 37.7796325, -122.4150473 37.7792624, -122.4149921 37.7789792, -122.4149774 37.7789285, -122.4149555 37.7788907)",3,20 mph,,
"[563926241, 563926243, 33789566]",True,Fulton Street,residential,False,152.937,"LINESTRING (-122.4151521 37.7797961, -122.4152741 37.779844, -122.4153067 37.7798397, -122.4156067 37.7798006, -122.4156936 37.7797982, -122.4158067 37.7798132, -122.4159609 37.77981, -122.416055 37.7797931, -122.4161911 37.7797335, -122.4163237 37.7797039, -122.4166246 37.7796632, -122.4166614 37.7796583, -122.4168136 37.7795846)",,,,
26988030,False,Larkin Street,secondary,False,102.833,"LINESTRING (-122.4168136 37.7795846, -122.416843 37.7797297, -122.4168647 37.7798372, -122.4169623 37.7803195, -122.4169767 37.7803898, -122.4169835 37.7804332, -122.4169901 37.7804986)",3,20 mph,,
26988030,False,Larkin Street,secondary,True,102.388,"LINESTRING (-122.4168136 37.7795846, -122.41678 37.7794185, -122.4166893 37.7789994, -122.4166454 37.7787938, -122.4166194 37.7786767)",3,20 mph,,
"[563926240, 563926242, 33789581]",True,Fulton Street,residential,False,153.20600000000002,"LINESTRING (-122.4168136 37.7795846, -122.4166423 37.7795483, -122.4166005 37.7795532, -122.4162757 37.7795919, -122.4161455 37.7795999, -122.4160198 37.7795794, -122.4159122 37.7795834, -122.4157604 37.7796096, -122.415648 37.7796593, -122.4155883 37.779676, -122.4152827 37.7797151, -122.4152477 37.7797197, -122.4151521 37.7797961)",,,,
8915796,False,Fulton Street,tertiary,False,146.627,"LINESTRING (-122.4217245 37.7789593, -122.421846 37.7789438, -122.4232683 37.7787616, -122.4233714 37.7787484)",2,,,
154648296,True,Franklin Street,secondary,False,105.00200000000001,"LINESTRING (-122.4217245 37.7789593, -122.4217425 37.7790508, -122.4217599 37.7791363, -122.4218187 37.7794299, -122.4218963 37.7798163, -122.4219112 37.779892)",3,25 mph,,
8915796,False,Fulton Street,tertiary,True,146.47799999999998,"LINESTRING (-122.4250171 37.7785401, -122.4249191 37.7785525, -122.4248894 37.7785563, -122.4234812 37.7787345, -122.4233714 37.7787484)",2,,,
27167935,False,Octavia Street,residential,False,52.06400000000001,"LINESTRING (-122.4250171 37.7785401, -122.425004 37.7784751, -122.4249975 37.778443, -122.424924 37.7780777)",,,,
1020490223,False,Mission Street,secondary,False,45.338,"LINESTRING (-122.4151466 37.7758929, -122.415511 37.7756043)",4,,,
88572874,False,Mission Street,secondary,True,53.477000000000004,"LINESTRING (-122.4151466 37.7758929, -122.4149403 37.7760563, -122.414828 37.7761449, -122.4147169 37.7762334)",4,,,
154647382,True,Franklin Street,secondary,False,52.034,"LINESTRING (-122.4208808 37.7747716, -122.4209037 37.7748838, -122.420959 37.7751574, -122.4209749 37.7752336)",3,25 mph,,
8916930,False,Jessie Street,residential,False,66.6,"LINESTRING (-122.4164474 37.7756999, -122.4169784 37.7752726)",2,,,
933908414,True,10th Street,secondary,False,65.773,"LINESTRING (-122.4164474 37.7756999, -122.4159234 37.7752776)",4,25 mph,,
8916930,False,Jessie Street,residential,True,66.6,"LINESTRING (-122.4169784 37.7752726, -122.4164474 37.7756999)",2,,,
"[619568403, 530038011, 88572943]",True,9th Street,secondary,False,122.707,"LINESTRING (-122.4153262 37.776714, -122.4157454 37.7770445, -122.416133 37.7773521, -122.4161901 37.777397, -122.4162654 37.7774619, -122.416297 37.7774891, -122.4163079 37.7774985)",4,25 mph,,
543843588,True,10th Street,secondary,False,9.953,"LINESTRING (-122.4165267 37.7757638, -122.4164474 37.7756999)",4,25 mph,,
8916932,True,Jessie Street,residential,False,149.319,"LINESTRING (-122.4165267 37.7757638, -122.4156861 37.7764292, -122.415442 37.7766224, -122.4153262 37.776714)",,,,
921631727,True,Leavenworth Street,secondary,False,104.964,"LINESTRING (-122.4138822 37.7818704, -122.4138987 37.7819531, -122.4140451 37.7826781, -122.4140553 37.7827294, -122.4140702 37.7828026)",2,20 mph,,
8922396,False,Dale Place,residential,True,52.912,"LINESTRING (-122.4147017 37.7817657, -122.4146813 37.7816649, -122.4146092 37.7812955)",,,no,
473325694,True,Golden Gate Avenue,secondary,False,72.955,"LINESTRING (-122.4147017 37.7817657, -122.4139903 37.7818566, -122.4138822 37.7818704)",2,20 mph,,
473325694,True,Golden Gate Avenue,secondary,False,73.507,"LINESTRING (-122.4155274 37.7816602, -122.4147017 37.7817657)",2,20 mph,,
473325693,True,Hyde Street,tertiary,False,105.145,"LINESTRING (-122.4155274 37.7816602, -122.4153827 37.7809424, -122.4153564 37.7808119, -122.4153391 37.7807264)",3,20 mph,,
"[254759928, 473325692]",True,Golden Gate Avenue,secondary,False,146.501,"LINESTRING (-122.4171732 37.7814508, -122.4161176 37.7815851, -122.4155274 37.7816602)",2,20 mph,,
254759936,True,Larkin Street,secondary,False,105.101,"LINESTRING (-122.4171732 37.7814508, -122.4171908 37.7815403, -122.4172195 37.7816821, -122.4172458 37.7818153, -122.41736 37.7823844)",3,20 mph,,
446233234,False,Polk Street,tertiary,False,104.97800000000001,"LINESTRING (-122.4188105 37.7812425, -122.4188363 37.7813318, -122.4188389 37.7813461, -122.4188915 37.781609, -122.4189114 37.7817066, -122.419005 37.7821738)",3,20 mph,,
446233235,True,Golden Gate Avenue,secondary,False,145.744,"LINESTRING (-122.4188105 37.7812425, -122.4183864 37.7812965, -122.4172745 37.7814379, -122.4171732 37.7814508)",2,20 mph,,
771483453,False,Polk Street,secondary,True,52.444,"LINESTRING (-122.4188105 37.7812425, -122.4187871 37.7811612, -122.4187502 37.7809901, -122.4187496 37.780965, -122.4187545 37.7809418, -122.4187539 37.7809204, -122.4187253 37.7807775)",3,20 mph,,
1128354343,True,Golden Gate Avenue,secondary,False,7.462,"LINESTRING (-122.4205848 37.781017, -122.420501 37.7810278)",3,25 mph,,
527829942,True,Van Ness Avenue,trunk,False,106.0,"LINESTRING (-122.4205848 37.781017, -122.4205651 37.7809407, -122.4204686 37.7804577, -122.4204112 37.7801687, -122.4203796 37.7800782)",2,25 mph,,US 101
225806029,True,Franklin Street,secondary,False,51.944,"LINESTRING (-122.4221032 37.7808235, -122.4221219 37.7809159, -122.4221964 37.7812848)",4,25 mph,,
225806032,True,Golden Gate Avenue,secondary,False,135.166,"LINESTRING (-122.4221032 37.7808235, -122.4219774 37.7808395, -122.4207344 37.7809976, -122.420656 37.7810076, -122.4205848 37.781017)",2,30 mph,,
"[26988072, 417087498]",True,Oak Street,unclassified,False,138.27799999999996,"LINESTRING (-122.4194205 37.7754257, -122.4195262 37.7754147, -122.419836 37.7753759, -122.4204299 37.7753017, -122.4206061 37.7752797, -122.4206202 37.7752779, -122.4207672 37.7752595, -122.4208618 37.7752477, -122.4209749 37.7752336)",,,,
