osmid,oneway,lanes,name,highway,reversed,length,geometry,bridge,maxspeed,tunnel
130165194,True,2,West 2nd Street,primary,False,79.563,"LINESTRING (-80.2475606 36.0958473, -80.2474735 36.0958567, -80.246781 36.0959316, -80.2466829 36.0959422)",,,
"[766330926, 766330927]",True,"['3', '2']",Marshall Street North,primary,False,250.25799999999998,"LINESTRING (-80.2479405 36.0980769, -80.2479253 36.0979875, -80.247834 36.0974515, -80.2477252 36.0968131, -80.2477028 36.0966816, -80.2476752 36.0965197, -80.2475692 36.0958975, -80.2475606 36.0958473)",,,
851405127,False,2,West 4th Street,secondary,False,79.21100000000001,"LINESTRING (-80.2479405 36.0980769, -80.2478131 36.0980909, -80.247177 36.0981607, -80.2470669 36.0981728)",,,
851405127,False,2,West 4th Street,secondary,True,77.664,"LINESTRING (-80.2479405 36.0980769, -80.2480537 36.0980653, -80.2487023 36.0979986, -80.248798 36.0979888)",,,
"[130165146, 766330925]",True,"['3', '2']",Marshall Street North,primary,False,167.21699999999998,"LINESTRING (-80.2482 36.099566, -80.2481916 36.0995036, -80.2480047 36.0984414, -80.247956 36.0981649, -80.2479405 36.0980769)",,,
851405129,False,,West 5th Street,secondary,True,78.69200000000001,"LINESTRING (-80.2482 36.099566, -80.2482865 36.0995554, -80.2486893 36.0995061, -80.248753 36.0994983, -80.2489857 36.0994698, -80.249066 36.09946)",,,
851459368,False,,West 5th Street,secondary,False,80.998,"LINESTRING (-80.2482 36.099566, -80.2481165 36.0995761, -80.2474479 36.0996569, -80.2473084 36.0996738)",,,
16545382,False,,West 6th Street,tertiary,True,59.241,"LINESTRING (-80.248673 36.1010517, -80.2487547 36.1010377, -80.2492014 36.100961, -80.249318 36.100941)",,,
"[766357729, 766357730, 766357731]",True,"['4', '3']",Marshall Street North,primary,False,171.00799999999998,"LINESTRING (-80.248673 36.1010517, -80.248641 36.1009643, -80.2484507 36.1005174, -80.2483953 36.1003659, -80.2483352 36.1001838, -80.2482958 36.1000401, -80.2482642 36.099908, -80.248237 36.099772, -80.2482088 36.0996306, -80.2482 36.099566)",,,
851451860,False,,West 6th Street,tertiary,False,97.99900000000001,"LINESTRING (-80.248673 36.1010517, -80.2485922 36.1010618, -80.2476843 36.1011755, -80.2475951 36.1011867)",,,
130165168,True,2,North Main Street,primary,False,90.857,"LINESTRING (-80.2446992 36.1028353, -80.244717 36.1029009, -80.2447834 36.1031453, -80.2449319 36.1036304)",,,
766357737,False,,West 7th Street,unclassified,True,74.007,"LINESTRING (-80.2446992 36.1028353, -80.2447907 36.1028368, -80.2454274 36.1028469, -80.2455228 36.1028484)",,,
