osmid,oneway,lanes,highway,reversed,length,geometry,ref,name,access,bridge
17169403,True,1,motorway_link,False,388.59299999999996,"LINESTRING (-71.8797618 41.8430339, -71.8797787 41.8430038, -71.8797932 41.8429757, -71.8798056 41.8429491, -71.8798159 41.8429235, -71.8798209 41.8429092, -71.8798225 41.8429047, -71.8798298 41.8428797, -71.8798356 41.8428546, -71.87984 41.8428287, -71.8798432 41.8428016, -71.8798454 41.8427729, -71.8798467 41.8427421, -71.8798474 41.8427, -71.8798477 41.8426154, -71.8798458 41.84255, -71.8798418 41.8424856, -71.8798359 41.8424223, -71.8798282 41.8423602, -71.8798188 41.8422993, -71.8798077 41.8422398, -71.8797916 41.8421673, -71.8797772 41.8421109, -71.8797572 41.8420426, -71.8797399 41.8419897, -71.8797166 41.8419259, -71.8796966 41.8418765, -71.8796699 41.8418166, -71.8796418 41.8417591, -71.8796128 41.8417041, -71.8795775 41.8416419, -71.8795365 41.841575, -71.8794971 41.8415149, -71.8794507 41.8414485, -71.8783883 41.840009, -71.8783742 41.8399922, -71.8783574 41.8399752, -71.8783385 41.8399584, -71.8783133 41.8399382, -71.8782874 41.8399191, -71.8782574 41.8398987, -71.878227 41.8398793, -71.8781951 41.8398604)",,,,
406090140,True,2,primary,False,52.494,"LINESTRING (-71.8797618 41.8430339, -71.8797696 41.8430513, -71.8797776 41.8430656, -71.8797872 41.8430794, -71.8797968 41.8430906, -71.8798083 41.8431017, -71.8798219 41.8431126, -71.8798378 41.8431236, -71.8798564 41.8431346, -71.8798827 41.8431479, -71.8801198 41.8432593, -71.8802494 41.8433202)",CT 101,Hartford Pike,,
"[619030508, 1180350239]",False,"['5', '6']",primary,False,173.70300000000003,"LINESTRING (-71.8797618 41.8430339, -71.879458 41.8428911, -71.8788587 41.8426094, -71.8785897 41.842483, -71.8785279 41.8424532, -71.8784652 41.8424222, -71.8784103 41.8423941, -71.8783538 41.8423643, -71.8782851 41.8423266, -71.8782234 41.8422915, -71.8781657 41.8422574, -71.8780189 41.8421679)",CT 101,Hartford Pike,,
406090134,False,4,primary,False,84.958,"LINESTRING (-71.8780189 41.8421679, -71.8778104 41.842039, -71.8774276 41.8417997, -71.8772286 41.841681)",CT 101,Hartford Pike,,
"[17169409, 1180350231]",True,"['1', '2']",motorway_link,False,489.281,"LINESTRING (-71.8780189 41.8421679, -71.8780071 41.8422507, -71.87799 41.8423764, -71.8779663 41.8425613, -71.8779575 41.8426374, -71.8779515 41.8427063, -71.8779489 41.842758, -71.8779487 41.8428084, -71.8779509 41.8428588, -71.8779559 41.8429108, -71.877964 41.8429658, -71.8779753 41.8430252, -71.8779902 41.8430906, -71.8780111 41.8431721, -71.8780181 41.8431974, -71.8780285 41.84323, -71.8780402 41.8432616, -71.8780533 41.8432928, -71.8780717 41.8433323, -71.8780882 41.843365, -71.8781112 41.843408, -71.8782189 41.8436013, -71.878798 41.8446596, -71.8788268 41.8447138, -71.8788543 41.8447678, -71.8788765 41.8448141, -71.8788969 41.8448604, -71.8789095 41.8448913, -71.8789211 41.844922, -71.87895 41.8450035, -71.8789709 41.8450702, -71.8789893 41.8451377, -71.8790115 41.8452295, -71.8792076 41.8460815, -71.8792223 41.8461415, -71.8792356 41.8461898, -71.8792475 41.8462274, -71.8792608 41.846264, -71.8792757 41.8462996, -71.8792926 41.8463343, -71.8793117 41.8463679, -71.8793327 41.8463993)",,,,
"[619030508, 1180350239]",False,"['5', '6']",primary,True,173.703,"LINESTRING (-71.8780189 41.8421679, -71.8781657 41.8422574, -71.8782234 41.8422915, -71.8782851 41.8423266, -71.8783538 41.8423643, -71.8784103 41.8423941, -71.8784652 41.8424222, -71.8785279 41.8424532, -71.8785897 41.842483, -71.8788587 41.8426094, -71.879458 41.8428911, -71.8797618 41.8430339)",CT 101,Hartford Pike,,
17173065,False,,residential,False,86.804,"LINESTRING (-71.8778948 41.8463237, -71.8781552 41.8462572, -71.87847 41.8461416, -71.8788551 41.8460136)",,Town Farm Road No. 1,,
17178089,False,,secondary,True,503.1360000000001,"LINESTRING (-71.8778948 41.8463237, -71.8778306 41.8461024, -71.8777181 41.8457967, -71.8776662 41.8456601, -71.8776206 41.8455234, -71.8775775 41.8453824, -71.8775368 41.845239, -71.8773433 41.844545, -71.8772704 41.8442558, -71.8772376 41.8441115, -71.8772084 41.843968, -71.8770506 41.8429732, -71.8770188 41.8427728, -71.8769666 41.8424438, -71.8769526 41.8423696, -71.8769388 41.8423139, -71.8769024 41.8421918, -71.876821 41.8418762)",CT 12,Putnam Pike,,
17174137,False,,residential,False,159.773,"LINESTRING (-71.8822363 41.8441811, -71.8820882 41.8443474, -71.8818784 41.8444516, -71.8818114 41.8444794, -71.8815748 41.8445776, -71.8813835 41.844657, -71.8811574 41.8447629, -71.8808836 41.8448924, -71.8806786 41.8450001)",,Town Farm Road,,
238810830,True,,residential,False,261.471,"LINESTRING (-71.8822363 41.8441811, -71.8823457 41.8441104, -71.8823988 41.8440762, -71.8825854 41.843842, -71.8826367 41.8437037, -71.8826426 41.8436879, -71.8828789 41.843051, -71.8829585 41.8428365, -71.8829674 41.8427811, -71.8829722 41.8427168, -71.8829645 41.8426461, -71.8827611 41.8419785)",,Killingly Commons Drive,yes,
