osmid,oneway,lanes,name,highway,reversed,length,geometry,ref,maxspeed,access
616024467,True,1,East Chester Street,unclassified,False,51.653,"LINESTRING (-88.2408211 40.1160928, -88.2407613 40.1160638, -88.2405849 40.1160186, -88.2404362 40.1159835, -88.2403529 40.1159639, -88.2402451 40.1159629)",,,
5327311,False,,South Locust Street,unclassified,False,56.089,"LINESTRING (-88.238729 40.115353, -88.238812 40.115348, -88.23891 40.115341, -88.238957 40.115324, -88.23898 40.115309, -88.239004 40.115276, -88.2391068 40.1150231)",,,
234065275,False,,South First Street,tertiary,False,106.994,"LINESTRING (-88.238729 40.115353, -88.2387285 40.1152759, -88.238726 40.114876, -88.2387293 40.1146034, -88.2387319 40.1143908)",,,
729125686,False,,South First Street,tertiary,True,27.801000000000002,"LINESTRING (-88.238729 40.115353, -88.2387322 40.1155532, -88.238733 40.115603)",,,
5327311,False,,South Locust Street,unclassified,False,71.994,"LINESTRING (-88.2391068 40.1150231, -88.2393327 40.1144789, -88.239363 40.114406)",,,
5327311,False,,South Locust Street,unclassified,True,56.089,"LINESTRING (-88.2391068 40.1150231, -88.239004 40.115276, -88.23898 40.115309, -88.238957 40.115324, -88.23891 40.115341, -88.238812 40.115348, -88.238729 40.115353)",,,
5333529,False,,Bailey Street,unclassified,True,65.37100000000001,"LINESTRING (-88.2391068 40.1150231, -88.2393416 40.1150789, -88.2396054 40.1151416, -88.2398409 40.1151976)",,,
5327311,False,,South Locust Street,unclassified,False,71.58,"LINESTRING (-88.239363 40.114406, -88.2394015 40.1143153, -88.23962 40.113793)",,,
5327311,False,,South Locust Street,unclassified,True,71.994,"LINESTRING (-88.239363 40.114406, -88.2393327 40.1144789, -88.2391068 40.1150231)",,,
241126644,False,2,Logan Street,tertiary,False,53.879999999999995,"LINESTRING (-88.239363 40.114406, -88.2392724 40.1143896, -88.2391058 40.11439, -88.2388672 40.1143905, -88.2387319 40.1143908)",,,
241126644,False,2,Logan Street,tertiary,True,65.613,"LINESTRING (-88.239363 40.114406, -88.239476 40.1144285, -88.239524 40.11444, -88.2399045 40.1145361, -88.240098 40.114585)",,,
5327311,False,,South Locust Street,unclassified,False,72.268,"LINESTRING (-88.23962 40.113793, -88.239879 40.113174)",,,
5327311,False,,South Locust Street,unclassified,True,71.58,"LINESTRING (-88.23962 40.113793, -88.2394015 40.1143153, -88.239363 40.114406)",,,
5337613,False,,Willow Street,unclassified,False,80.559,"LINESTRING (-88.23962 40.113793, -88.2395259 40.1137686, -88.239185 40.11368, -88.2389194 40.1136199, -88.2388334 40.1136004, -88.238718 40.113572)",,,
