osmid,oneway,lanes,name,highway,reversed,length,geometry,ref,maxspeed,tunnel
454600585,False,2,3rd South Street,tertiary,False,130.23899999999998,"LINESTRING (-94.4561399 44.3103146, -94.4562478 44.3102614, -94.4568205 44.3099789, -94.45735 44.3097177, -94.4573843 44.3097008, -94.4574876 44.3096499)",,,
18020008,False,2,State Street,residential,False,14.85,"LINESTRING (-94.4617478 44.3118357, -94.4618524 44.3119463)",,,
18020643,False,2,South State Street,residential,False,128.704,"LINESTRING (-94.4617478 44.3118357, -94.4616872 44.311772, -94.4612998 44.3113651, -94.4608371 44.3108791)",,,
"[454437557, 454601118]",True,"['3', '2']",Center Street,tertiary,False,130.191,"LINESTRING (-94.4617478 44.3118357, -94.4616576 44.3118798, -94.4616473 44.3118848, -94.460857 44.3122719, -94.4605351 44.3124295, -94.4604917 44.3124507, -94.4603974 44.3124969)",CR 13,,
454601914,False,2,North State Street,residential,False,130.93499999999997,"LINESTRING (-94.4627733 44.3129201, -94.4628445 44.3129947, -94.4632342 44.3134027, -94.4636304 44.3138176, -94.4637018 44.3138923)",,,
454601914,False,2,North State Street,residential,True,130.742,"LINESTRING (-94.4627733 44.3129201, -94.4626976 44.3128401, -94.4619214 44.3120193, -94.4618524 44.3119463)",,,
454611439,False,,1st North Street,residential,False,131.118,"LINESTRING (-94.4627733 44.3129201, -94.4628681 44.3128728, -94.4640373 44.312307, -94.4641374 44.3122585)",,,
454611439,False,,1st North Street,residential,True,129.76399999999998,"LINESTRING (-94.4627733 44.3129201, -94.4626779 44.3129661, -94.4620927 44.3132485, -94.4615603 44.3135053, -94.4615149 44.3135272, -94.461421 44.3135725)",,,
454601914,False,2,North State Street,residential,False,131.304,"LINESTRING (-94.4637018 44.3138923, -94.4637756 44.3139701, -94.4640763 44.3142873, -94.4644652 44.3146975, -94.4646283 44.3148695)",,,
454601914,False,2,North State Street,residential,True,130.93499999999997,"LINESTRING (-94.4637018 44.3138923, -94.4636304 44.3138176, -94.4632342 44.3134027, -94.4628445 44.3129947, -94.4627733 44.3129201)",,,
454611428,False,,2nd North Street,residential,False,130.412,"LINESTRING (-94.4637018 44.3138923, -94.463792 44.3138477, -94.4643862 44.3135537, -94.465048 44.3132232)",,,
454611428,False,,2nd North Street,residential,True,129.911,"LINESTRING (-94.4637018 44.3138923, -94.463602 44.3139411, -94.4630204 44.3142257, -94.4624728 44.3144937, -94.4624435 44.314508, -94.462354 44.3145518)",,,
454601914,False,2,North State Street,residential,False,131.725,"LINESTRING (-94.4646283 44.3148695, -94.4655533 44.315852)",,,
18021126,False,,3rd North Street,residential,False,131.571,"LINESTRING (-94.4646283 44.3148695, -94.4647215 44.3148242, -94.464752 44.3148094, -94.4653037 44.3145415, -94.4659966 44.314205)",,,
18021215,False,2,3rd North Street,residential,True,130.146,"LINESTRING (-94.4646283 44.3148695, -94.4645389 44.3149133, -94.4645025 44.3149312, -94.4639561 44.3151991, -94.463378 44.3154825, -94.4632789 44.3155311)",,,
454601914,False,2,North State Street,residential,True,131.304,"LINESTRING (-94.4646283 44.3148695, -94.4644652 44.3146975, -94.4640763 44.3142873, -94.4637756 44.3139701, -94.4637018 44.3138923)",,,
454601914,False,2,North State Street,residential,True,131.725,"LINESTRING (-94.4655533 44.315852, -94.4646283 44.3148695)",,,
18021145,False,,4th North Street,residential,False,131.414,"LINESTRING (-94.4655533 44.315852, -94.4662336 44.3155202, -94.4669181 44.3151863)",,,
18021145,False,,4th North Street,residential,True,129.471,"LINESTRING (-94.4655533 44.315852, -94.4648771 44.3161836, -94.4643475 44.3164434, -94.4643047 44.3164644, -94.464211 44.3165103)",,,
454601914,False,2,North State Street,residential,False,131.472,"LINESTRING (-94.4655533 44.315852, -94.4664113 44.3167466, -94.4664883 44.3168269)",,,
18020140,False,2,5th North Street,tertiary,True,130.403,"LINESTRING (-94.4664883 44.3168269, -94.4663826 44.3168784, -94.4658054 44.3171597, -94.4652828 44.3174145, -94.4652443 44.3174333, -94.4651337 44.3174872)",,25 mph,
454410260,False,,North State Street,residential,False,130.699,"LINESTRING (-94.4664883 44.3168269, -94.4665632 44.3169064, -94.4666699 44.3170196, -94.4673371 44.3177276, -94.4674056 44.317802)",,,
