osmid,ref,name,highway,oneway,reversed,length,lanes,maxspeed,geometry
21324061,US 287 Business,West Front Avenue,secondary,False,False,208.297,,,"LINESTRING (-98.9189896 34.0292457, -98.920957 34.030168)"
21338594,,North Main Street,tertiary,False,False,74.063,,,"LINESTRING (-98.9189896 34.0292457, -98.918606 34.029831)"
21341854,US 287 Business,East Front Avenue,secondary,False,True,108.3,2,40 mph,"LINESTRING (-98.9189896 34.0292457, -98.9179486 34.0287937)"
637681645,,South Main Street,tertiary,False,True,95.96999999999998,,,"LINESTRING (-98.9189896 34.0292457, -98.919033 34.029181, -98.9191325 34.0290303, -98.9192348 34.0288931, -98.9194 34.028625, -98.9195008 34.0284945)"
21324061,US 287 Business,West Front Avenue,secondary,False,True,208.297,,,"LINESTRING (-98.920957 34.030168, -98.9189896 34.0292457)"
21339161,,North Wichita Street,residential,False,False,70.457,,,"LINESTRING (-98.920957 34.030168, -98.920597 34.030727)"
21331626,,East Roosevelt Avenue,residential,False,False,112.585,,,"LINESTRING (-98.91102 34.028707, -98.912097 34.029185)"
21338320,,North Wilson Street,residential,False,True,117.933,,,"LINESTRING (-98.91102 34.028707, -98.911633 34.027776)"
21331626,,East Roosevelt Avenue,residential,False,False,113.868,,,"LINESTRING (-98.912097 34.029185, -98.913182 34.029675)"
21331626,,East Roosevelt Avenue,residential,False,True,112.585,,,"LINESTRING (-98.912097 34.029185, -98.91102 34.028707)"
21334150,,North Dallas Street,residential,False,False,117.026,,,"LINESTRING (-98.912097 34.029185, -98.912696 34.028257)"
21331626,,East Roosevelt Avenue,residential,False,False,114.055,,,"LINESTRING (-98.913182 34.029675, -98.914268 34.030167)"
21331626,,East Roosevelt Avenue,residential,False,True,113.868,,,"LINESTRING (-98.913182 34.029675, -98.912097 34.029185)"
21337739,,Texas Street,residential,False,False,110.398,,,"LINESTRING (-98.913182 34.029675, -98.912607 34.030546)"
21331626,,East Roosevelt Avenue,residential,False,False,110.923,,,"LINESTRING (-98.914268 34.030167, -98.9153272 34.0306409)"
21331626,,East Roosevelt Avenue,residential,False,True,114.055,,,"LINESTRING (-98.914268 34.030167, -98.913182 34.029675)"
21342641,,North Illinois Street,residential,False,False,111.908,,,"LINESTRING (-98.914268 34.030167, -98.913692 34.031053)"
21342641,,North Illinois Street,residential,False,True,117.346,,,"LINESTRING (-98.914268 34.030167, -98.914354 34.030122, -98.914409 34.030066, -98.914874 34.029343, -98.914885 34.029264)"
21331626,,East Roosevelt Avenue,residential,False,False,113.831,,,"LINESTRING (-98.9153272 34.0306409, -98.916403 34.031144)"
21331626,,East Roosevelt Avenue,residential,False,True,110.923,,,"LINESTRING (-98.9153272 34.0306409, -98.914268 34.030167)"
21335389,,North Wilbarger Street,residential,False,False,112.654,,,"LINESTRING (-98.9153272 34.0306409, -98.9147478 34.031533)"
