osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,bridge,geometry,width,access
"[172225690, 47916315, 47916316, 666725130]",4,K 6,Am Stadtgraben,secondary,50,False,False,126.481,yes,"LINESTRING (7.6195581 51.958701, 7.6194908 51.9587968, 7.619403 51.9588972, 7.6193431 51.9589521, 7.6191312 51.9591222, 7.6189985 51.9592269, 7.618627 51.9595225, 7.6185438 51.9595887, 7.6184961 51.9596266)",,
"[35573632, 82325329, 5707704, 5707678]",,,"['Drubbel', 'Prinzipalmarkt']",residential,30,False,False,219.778,,"LINESTRING (7.6274926 51.9612272, 7.6275845 51.9612874, 7.6277787 51.9616003, 7.6278668 51.9617396, 7.627877 51.9617544, 7.6279913 51.9619283, 7.6281762 51.9622096, 7.6283819 51.9625384, 7.628404 51.9626082, 7.6284023 51.9626898, 7.62837 51.9629186, 7.6283165 51.9630827)",,
"[230028160, 40810794, 1151914795, 40846059, 171280014, 5967602, 5967607]",2,,"['Loerstraße', 'Klemensstraße', 'Windthorststraße']",residential,"['50', '30']",False,True,537.2389999999999,,"LINESTRING (7.6274926 51.9612272, 7.6275557 51.9611749, 7.6276291 51.9611141, 7.6277688 51.9609949, 7.6280541 51.9609734, 7.6284569 51.9609432, 7.6285627 51.9609354, 7.6287569 51.9609206, 7.6293176 51.9608771, 7.6295528 51.960831, 7.6297787 51.9607302, 7.6298636 51.9606845, 7.6299736 51.960625, 7.6300072 51.9606068, 7.6301129 51.9605491, 7.6303466 51.9603965, 7.6304907 51.9602756, 7.6305487 51.960208, 7.6305689 51.9601745, 7.6305917 51.9601233, 7.6305987 51.9600598, 7.6305825 51.9599901, 7.6305102 51.9598555, 7.6304479 51.9598055, 7.6303126 51.9597364, 7.6299285 51.9595504, 7.6297719 51.9594739, 7.6295432 51.9593774, 7.6294983 51.9593587, 7.6294862 51.9593537, 7.6293062 51.9592747, 7.6292116 51.9592317, 7.629164 51.9591979, 7.6291408 51.9591645, 7.6291332 51.9591367, 7.6291383 51.9591123, 7.6291533 51.9590844, 7.6292017 51.9590292, 7.6292408 51.9589846, 7.6295865 51.958569, 7.6296044 51.9585462, 7.6297464 51.9583653, 7.6298236 51.9582866, 7.629918 51.958201)",,
"[51724346, 1216274646]",,,Rothenburg,residential,30,False,True,115.34400000000001,,"LINESTRING (7.6274926 51.9612272, 7.6273852 51.9611632, 7.6270115 51.9609497, 7.6266727 51.9607931, 7.6265575 51.9607478, 7.6262966 51.9606796, 7.6261229 51.9606487)",,
34349254,,,Rothenburg,residential,30,False,True,137.11499999999998,,"LINESTRING (7.6261229 51.9606487, 7.6259696 51.9606492, 7.6255223 51.960651, 7.6250491 51.9606343, 7.6246884 51.9606213, 7.6245762 51.9606173, 7.6243424 51.9606125, 7.6241235 51.9606117)",,
"[51724346, 1216274646]",,,Rothenburg,residential,30,False,False,115.344,,"LINESTRING (7.6261229 51.9606487, 7.6262966 51.9606796, 7.6265575 51.9607478, 7.6266727 51.9607931, 7.6270115 51.9609497, 7.6273852 51.9611632, 7.6274926 51.9612272)",,
4985978,3,,Am Kreuztor,tertiary,30,False,False,39.940999999999995,,"LINESTRING (7.6237368 51.9659441, 7.62377 51.9660329, 7.6237735 51.9660422, 7.6237889 51.9661198, 7.6237836 51.9661822, 7.6237625 51.9662345, 7.6237187 51.9662925)",,
28745010,3,K 4,Bergstraße,secondary,30,False,False,31.469,,"LINESTRING (7.6237368 51.9659441, 7.6235884 51.9660052, 7.6233525 51.9660991)",,
"[666953648, 34388842]",3,,Schlaunstraße,residential,30,False,True,106.468,,"LINESTRING (7.6237368 51.9659441, 7.6237016 51.9658949, 7.6236293 51.9657926, 7.6235326 51.9656618, 7.6234119 51.9655274, 7.623164 51.9652186, 7.623114 51.9651573, 7.6230545 51.9650843)",,
"[666953649, 672550898]","['3', '2']",K 4,Bergstraße,secondary,30,False,True,100.684,,"LINESTRING (7.6237368 51.9659441, 7.6242274 51.9657147, 7.6242458 51.9657065, 7.6243795 51.9656494, 7.6245414 51.9655919, 7.6247458 51.9655216, 7.6248614 51.9654871, 7.6249733 51.9654623)",,
