osmid,oneway,highway,reversed,length,geometry,name,ref,lanes,maxspeed
17657029,True,residential,False,79.897,"LINESTRING (-76.6358313 38.2905113, -76.6357555 38.290665, -76.6356557 38.2911171, -76.6356351 38.2912106)",,,,
17677603,False,residential,True,107.29700000000001,"LINESTRING (-76.6358313 38.2905113, -76.6356643 38.2904703, -76.6354587 38.2904306, -76.6352845 38.2904024, -76.6351409 38.2903791, -76.6349217 38.2903424, -76.6347103 38.2903119, -76.6346329 38.290299)",Park Avenue,,,
17675526,True,secondary,False,67.473,"LINESTRING (-76.6356351 38.2912106, -76.6356036 38.2915932, -76.6356033 38.2918026, -76.6356033 38.2918166)",Washington Street,MD 5 Business,,
47576270,False,secondary,True,88.88300000000001,"LINESTRING (-76.6356351 38.2912106, -76.6354955 38.2912035, -76.6346193 38.2911532)",Fenwick Street,MD 5 Business,2,
114624569,False,secondary,True,31.231,"LINESTRING (-76.6356351 38.2912106, -76.6357927 38.2912132, -76.6359924 38.2912245)",Fenwick Street,MD 5 Business,,
17670445,False,residential,False,163.20599999999996,"LINESTRING (-76.635984 38.287283, -76.635949 38.287477, -76.63592 38.287703, -76.635845 38.288447, -76.635819 38.288654, -76.635793 38.288742)",Key Way,,,
17679268,False,residential,False,201.071,"LINESTRING (-76.635984 38.287283, -76.635855 38.28724, -76.635689 38.287198, -76.635544 38.287167, -76.63538 38.287142, -76.635117 38.287124, -76.635013 38.28713, -76.634973 38.28714, -76.634923 38.287162, -76.634876 38.2872, -76.634822 38.287261, -76.634772 38.287338, -76.634755 38.287405, -76.63474 38.287555, -76.634749 38.287805, -76.634774 38.288067)",Camalier Drive,,,
17679268,False,residential,True,135.70499999999998,"LINESTRING (-76.635984 38.287283, -76.636102 38.287322, -76.637271 38.287783, -76.6373371 38.287816, -76.637371 38.287833)",Camalier Drive,,,
47576270,False,secondary,False,121.032,"LINESTRING (-76.630566 38.290605, -76.6309 38.290688, -76.630926 38.290695, -76.631244 38.29076, -76.6317377 38.2908679, -76.6319016 38.2908964)",Fenwick Street,MD 5 Business,2,
17675251,False,residential,False,155.466,"LINESTRING (-76.6319016 38.2908964, -76.6320023 38.2905795, -76.632016 38.290521, -76.632206 38.28952)",Van Wert Lane,,,
47576270,False,secondary,False,96.085,"LINESTRING (-76.6319016 38.2908964, -76.6319848 38.2909086, -76.6320817 38.2909266, -76.6323301 38.2909681, -76.6324154 38.2909793, -76.6326768 38.2910178, -76.6327709 38.2910256, -76.6329848 38.2910474)",Fenwick Street,MD 5 Business,2,
47576270,False,secondary,True,121.03200000000001,"LINESTRING (-76.6319016 38.2908964, -76.6317377 38.2908679, -76.631244 38.29076, -76.630926 38.290695, -76.6309 38.290688, -76.630566 38.290605)",Fenwick Street,MD 5 Business,2,
17678007,False,residential,True,111.56,"LINESTRING (-76.6329848 38.2910474, -76.633014 38.290879, -76.633104 38.290462, -76.6332128 38.2900606)",Court House Drive,,,
47576270,False,secondary,False,143.145,"LINESTRING (-76.6329848 38.2910474, -76.6332836 38.2910726, -76.6339292 38.291112, -76.6345401 38.2911494, -76.6346193 38.2911532)",Fenwick Street,MD 5 Business,2,
47576270,False,secondary,True,96.08500000000001,"LINESTRING (-76.6329848 38.2910474, -76.6327709 38.2910256, -76.6326768 38.2910178, -76.6324154 38.2909793, -76.6323301 38.2909681, -76.6320817 38.2909266, -76.6319848 38.2909086, -76.6319016 38.2908964)",Fenwick Street,MD 5 Business,2,
17672451,False,residential,False,111.28200000000001,"LINESTRING (-76.6346193 38.2911532, -76.634624 38.2912, -76.634584 38.291224, -76.6344237 38.2912584, -76.634413 38.2913426, -76.6344077 38.2915699, -76.6340643 38.2919573)",Johnson Lane,,,
47576270,False,secondary,False,88.88300000000001,"LINESTRING (-76.6346193 38.2911532, -76.6354955 38.2912035, -76.6356351 38.2912106)",Fenwick Street,MD 5 Business,2,
47576270,False,secondary,True,143.145,"LINESTRING (-76.6346193 38.2911532, -76.6345401 38.2911494, -76.6339292 38.291112, -76.6332836 38.2910726, -76.6329848 38.2910474)",Fenwick Street,MD 5 Business,2,
45875767,False,residential,False,97.743,"LINESTRING (-76.6359924 38.2912245, -76.6361235 38.2912425, -76.6367138 38.2913381, -76.6367884 38.2913511, -76.6370889 38.2914031)",Fenwick Street,,,
49248145,True,residential,False,77.264,"LINESTRING (-76.6359924 38.2912245, -76.6360092 38.2911626, -76.6360313 38.2910808, -76.6361479 38.2906362, -76.6361541 38.2905423)",Washington Street,,,
114624569,False,secondary,False,31.231,"LINESTRING (-76.6359924 38.2912245, -76.6357927 38.2912132, -76.6356351 38.2912106)",Fenwick Street,MD 5 Business,,
