osmid,oneway,lanes,ref,highway,maxspeed,reversed,length,geometry,bridge,junction,name
23214040,True,3,I 705,motorway,60 mph,False,232.92200000000003,"LINESTRING (-122.4359059 47.2489875, -122.435899 47.2486456, -122.4358808 47.2484367, -122.435863 47.2482195, -122.4358332 47.2480038, -122.4357967 47.2478134, -122.435753 47.2476092, -122.4357118 47.2474235, -122.4356533 47.2471655, -122.435605 47.2469054)",,,
"[5022907, 5022908, 39940421, 23215255]",True,2,I 705,motorway,60 mph,False,670.899,"LINESTRING (-122.435605 47.2469054, -122.435467 47.2462901, -122.4354209 47.24608, -122.4353883 47.2459314, -122.4353519 47.2457522, -122.435266 47.2453385, -122.4351201 47.2445811, -122.435 47.2440392, -122.4349202 47.2437685, -122.4345075 47.2427689, -122.4340972 47.2418817, -122.4337265 47.241024)",yes,,
"[1026640515, 23215388]",True,2,,motorway_link,,False,364.12399999999997,"LINESTRING (-122.435605 47.2469054, -122.4355659 47.2464831, -122.4355264 47.2458624, -122.435492 47.245363, -122.435471 47.2450327, -122.4354498 47.2448233, -122.4354208 47.2446353, -122.4354031 47.2445316, -122.4353528 47.2443138, -122.4352811 47.2440483, -122.4352135 47.2438174, -122.4351888 47.2437577, -122.4351615 47.2437003, -122.4351308 47.2436568)",,spui,
"[23349372, 1195885943, 1072609103]",True,"['1', '2']",,motorway_link,,False,203.81400000000002,"LINESTRING (-122.4347235 47.2427272, -122.4346733 47.2426403, -122.4345137 47.24236, -122.4344063 47.2421624, -122.4342295 47.2418525, -122.4339788 47.2414356, -122.4337265 47.241024)",yes,spui,
613092593,True,2,WA 509,trunk,,False,28.427,"LINESTRING (-122.4346246 47.2432047, -122.4342521 47.2432422)",yes,,
613092612,True,,,motorway_link,,False,10.45,"LINESTRING (-122.4346246 47.2432047, -122.4346881 47.2432288, -122.4347471 47.2432484)",yes,spui,
"[613092613, 1195885942]",True,,,motorway_link,,False,57.516000000000005,"LINESTRING (-122.4346246 47.2432047, -122.4346586 47.2431804, -122.4346893 47.2431567, -122.4347163 47.2431321, -122.4347345 47.2431119, -122.4347496 47.2430897, -122.4347647 47.2430649, -122.4347808 47.2430277, -122.4347929 47.2429778, -122.4347941 47.242926, -122.4347844 47.2428686, -122.4347676 47.2428136, -122.4347235 47.2427272)",yes,spui,
23215172,True,2,,motorway_link,,False,63.739,"LINESTRING (-122.434058 47.2427946, -122.4341353 47.2428929, -122.4341901 47.2429525, -122.4342309 47.2429893, -122.4342813 47.2430284, -122.4343387 47.2430683, -122.4343958 47.2431014, -122.4344473 47.2431275, -122.4344887 47.2431482, -122.4345474 47.2431745, -122.4346246 47.2432047)",yes,spui,
23349373,True,1,,motorway_link,,False,69.7,"LINESTRING (-122.434058 47.2427946, -122.4340658 47.2428722, -122.4340595 47.2429281, -122.4340482 47.242989, -122.4340264 47.2430427, -122.4340102 47.243072, -122.4339892 47.2430977, -122.4339701 47.2431213, -122.4339493 47.2431425, -122.4339163 47.243171, -122.4338683 47.243201, -122.4337837 47.2432449, -122.4337185 47.2432742, -122.4336452 47.2433018)",yes,spui,
"[23349352, 1195885945]",True,,,motorway_link,,False,321.42499999999995,"LINESTRING (-122.434471 47.2437787, -122.4345132 47.243976, -122.4345393 47.244103, -122.4345737 47.2442561, -122.4346289 47.2444837, -122.4348043 47.245239, -122.4349209 47.2457533, -122.4351341 47.246634)",yes,spui,
