osmid,name,highway,maxspeed,oneway,reversed,length,geometry,ref,access,bridge
16489302,Johnson Street,residential,25 mph,False,False,66.629,"LINESTRING (-78.9492543 34.973129, -78.9491584 34.9732582, -78.9491191 34.9733014, -78.948836 34.97362)",,,
16489302,Johnson Street,residential,25 mph,False,False,77.619,"LINESTRING (-78.948836 34.97362, -78.948774 34.973691, -78.9484079 34.9740564, -78.9483582 34.9741059, -78.948301 34.974163)",,,
16489302,Johnson Street,residential,25 mph,False,True,66.629,"LINESTRING (-78.948836 34.97362, -78.9491191 34.9733014, -78.9491584 34.9732582, -78.9492543 34.973129)",,,
16504409,Trade Street,residential,,False,False,288.35,"LINESTRING (-78.948836 34.97362, -78.948694 34.97293, -78.948304 34.9725914, -78.9481215 34.972433, -78.9477069 34.972073, -78.9472286 34.9716577, -78.947108 34.971553)",,,
16489302,Johnson Street,residential,25 mph,False,True,77.619,"LINESTRING (-78.948301 34.974163, -78.9483582 34.9741059, -78.9484079 34.9740564, -78.948774 34.973691, -78.948836 34.97362)",,,
174530867,North Main Street,primary,25 mph,False,True,300.385,"LINESTRING (-78.948301 34.974163, -78.9481733 34.9740789, -78.9480704 34.9740111, -78.94797 34.973945, -78.9479469 34.9739277, -78.947608 34.973644, -78.9471006 34.9732223, -78.94672 34.972906, -78.946387 34.972594, -78.946288 34.972483, -78.946199 34.972367, -78.946076 34.972188)",SR1596,yes,
16489350,Stone Street,residential,,False,False,181.261,"LINESTRING (-78.944216 34.970242, -78.944246 34.97012, -78.944001 34.969394, -78.943769 34.968666)",,,
"[16489350, 16501519]","['East Patterson Street', 'Stone Street']",residential,,False,True,238.70999999999998,"LINESTRING (-78.944216 34.970242, -78.944064 34.971082, -78.945642 34.970974)",,,
16513506,McRae Street,residential,,False,True,105.777,"LINESTRING (-78.944216 34.970242, -78.944439 34.970196, -78.945351 34.970043)",,,
16489350,Stone Street,residential,,False,False,190.852,"LINESTRING (-78.943769 34.968666, -78.943384 34.967459, -78.9432596 34.9670014)",,,
16489350,Stone Street,residential,,False,True,181.261,"LINESTRING (-78.943769 34.968666, -78.944001 34.969394, -78.944246 34.97012, -78.944216 34.970242)",,,
16490655,River Road,residential,,False,False,229.862,"LINESTRING (-78.943769 34.968666, -78.94327 34.968784, -78.943188 34.968794, -78.943054 34.968799, -78.94297 34.968795, -78.942839 34.968778, -78.942695 34.968742, -78.94256 34.968688, -78.942438 34.968617, -78.9415906 34.9680181)",,,
16489350,Stone Street,residential,,False,False,38.287,"LINESTRING (-78.9432596 34.9670014, -78.94315 34.966669)",,,
16489350,Stone Street,residential,,False,True,190.852,"LINESTRING (-78.9432596 34.9670014, -78.943384 34.967459, -78.943769 34.968666)",,,
16501991,Russell Street,residential,,True,False,201.404,"LINESTRING (-78.9432596 34.9670014, -78.943357 34.9670569, -78.944731 34.968263, -78.944798 34.968296)",,,
16489350,Stone Street,residential,,False,True,38.287,"LINESTRING (-78.94315 34.966669, -78.9432596 34.9670014)",,,
16500535,Pinecrest Street,residential,,False,False,140.185,"LINESTRING (-78.94315 34.966669, -78.941661 34.966986)",,,
16489350,Stone Street,residential,,False,False,71.787,"LINESTRING (-78.94315 34.966669, -78.943096 34.966488, -78.942984 34.966038)",,,
16510893,Cameron Road,tertiary,,False,False,156.042,"LINESTRING (-78.942984 34.966038, -78.941326 34.966389)",,,
16489350,Stone Street,residential,,False,True,71.787,"LINESTRING (-78.942984 34.966038, -78.943096 34.966488, -78.94315 34.966669)",,,
16489685,Cross Street,residential,,False,False,66.101,"LINESTRING (-78.947572 34.968545, -78.946872 34.968701)",,,
16506704,Middle Street,residential,,False,True,90.921,"LINESTRING (-78.947572 34.968545, -78.947847 34.969331)",,,
"[16504852, 16489685]","['Railroad Street', 'Cross Street']",residential,,False,True,206.51000000000002,"LINESTRING (-78.947572 34.968545, -78.948052 34.968438, -78.948181 34.968409, -78.948465 34.969189, -78.947847 34.969331)",,,
16489685,Cross Street,residential,,False,False,52.111,"LINESTRING (-78.946872 34.968701, -78.9463185 34.9688189)",,,
16489685,Cross Street,residential,,False,True,66.101,"LINESTRING (-78.946872 34.968701, -78.947572 34.968545)",,,
16496045,William M Bill Luther Street,residential,,False,False,55.114,"LINESTRING (-78.946872 34.968701, -78.9467433 34.9683373, -78.946725 34.9682213)",,,
16502240,Ellison Street,residential,,False,True,91.526,"LINESTRING (-78.946872 34.968701, -78.946922 34.96886, -78.947141 34.969494)",,,
16489685,Cross Street,residential,,False,False,33.766,"LINESTRING (-78.9463185 34.9688189, -78.9459592 34.9688932)",,,
16489685,Cross Street,residential,,False,True,52.111,"LINESTRING (-78.9463185 34.9688189, -78.946872 34.968701)",,,
"[16514320, 16513302]","['Hamilton Street', 'Bynum Street']",residential,,False,False,405.122,"LINESTRING (-78.9463185 34.9688189, -78.946091 34.9682407, -78.9457482 34.9672594, -78.9454189 34.9662831, -78.9452731 34.9663132, -78.9446336 34.9664453, -78.944233 34.966528)",,,
16489685,Cross Street,residential,,False,False,86.427,"LINESTRING (-78.9459592 34.9688932, -78.945048 34.969109)",,,
16489685,Cross Street,residential,,False,True,33.766,"LINESTRING (-78.9459592 34.9688932, -78.9463185 34.9688189)",,,
16514879,Dewberry Street,residential,,False,False,100.08999999999999,"LINESTRING (-78.9459592 34.9688932, -78.9461826 34.9695114, -78.946259 34.969759)",,,
16489685,Cross Street,residential,,False,True,86.427,"LINESTRING (-78.945048 34.969109, -78.9459592 34.9688932)",,,
16493484,South Main Street,primary,25 mph,False,False,107.463,"LINESTRING (-78.945048 34.969109, -78.945351 34.970043)",SR1596,yes,
174530921,South Main Street,primary,35 mph,False,True,93.228,"LINESTRING (-78.945048 34.969109, -78.944798 34.968296)",SR1596,yes,
16490655,River Road,residential,,False,False,133.124,"LINESTRING (-78.9415906 34.9680181, -78.941383 34.967855, -78.940478 34.967243)",,,
16490655,River Road,residential,,False,True,229.86200000000002,"LINESTRING (-78.9415906 34.9680181, -78.942438 34.968617, -78.94256 34.968688, -78.942695 34.968742, -78.942839 34.968778, -78.94297 34.968795, -78.943054 34.968799, -78.943188 34.968794, -78.94327 34.968784, -78.943769 34.968666)",,,
16515898,Branch Street,residential,,False,False,127.53399999999999,"LINESTRING (-78.9415906 34.9680181, -78.9417909 34.9678748, -78.9418658 34.9677725, -78.9418663 34.9675834, -78.941661 34.966986)",,,
16500535,Pinecrest Street,residential,,False,True,111.521,"LINESTRING (-78.940478 34.967243, -78.941661 34.966986)",,,
16490655,River Road,residential,,False,True,133.124,"LINESTRING (-78.940478 34.967243, -78.941383 34.967855, -78.9415906 34.9680181)",,,
16512184,Lake Forest Road,residential,,False,True,95.41199999999999,"LINESTRING (-78.941174 34.974663, -78.941449 34.973919, -78.941396 34.973851)",,,
16493484,South Main Street,primary,25 mph,False,True,116.358,"LINESTRING (-78.946076 34.972188, -78.945978 34.972021, -78.945707 34.971189)",SR1596,yes,
16504416,Trade Street,residential,,False,True,116.904,"LINESTRING (-78.946076 34.972188, -78.946434 34.9719242, -78.94703 34.971485)",,,
174530867,North Main Street,primary,25 mph,False,False,300.38500000000005,"LINESTRING (-78.946076 34.972188, -78.946199 34.972367, -78.946288 34.972483, -78.946387 34.972594, -78.94672 34.972906, -78.9471006 34.9732223, -78.947608 34.973644, -78.9479469 34.9739277, -78.94797 34.973945, -78.9480704 34.9740111, -78.9481733 34.9740789, -78.948301 34.974163)",SR1596,yes,
"[16519433, 999965852, 999965853, 999965854, 999965855]",Lakeview Road,secondary,25 mph,False,False,204.157,"LINESTRING (-78.946076 34.972188, -78.9455654 34.9722315, -78.9455242 34.97223, -78.9452459 34.9722195, -78.945147 34.9722158, -78.9451198 34.9722148, -78.9449557 34.9722129, -78.9448954 34.9722122, -78.9447282 34.9722178, -78.9446071 34.9722307, -78.9444527 34.9722665, -78.944321 34.9723142, -78.944197 34.9723832, -78.9440788 34.9724675, -78.9439667 34.9725567)",,,yes
16493484,South Main Street,primary,25 mph,False,True,24.63,"LINESTRING (-78.945707 34.971189, -78.945642 34.970974)",SR1596,yes,
16493484,South Main Street,primary,25 mph,False,False,116.358,"LINESTRING (-78.945707 34.971189, -78.945978 34.972021, -78.946076 34.972188)",SR1596,yes,
16504842,West Patterson Street,residential,,False,False,169.658,"LINESTRING (-78.945707 34.971189, -78.9462421 34.9710711, -78.9464872 34.9710167, -78.94662 34.970986, -78.947521 34.970851)",,,
16493484,South Main Street,primary,25 mph,False,False,24.63,"LINESTRING (-78.945642 34.970974, -78.945707 34.971189)",SR1596,yes,
16493484,South Main Street,primary,25 mph,False,True,106.872,"LINESTRING (-78.945642 34.970974, -78.945536 34.9706143, -78.945528 34.970587, -78.945351 34.970043)",SR1596,yes,
"[16489350, 16501519]","['East Patterson Street', 'Stone Street']",residential,,False,False,238.70999999999998,"LINESTRING (-78.945642 34.970974, -78.944064 34.971082, -78.944216 34.970242)",,,
