osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,bridge,ref,junction,access
"[427701041, 427701029]",True,"['4', '3']",Thornton Parkway,secondary,35 mph,False,194.231,"LINESTRING (-104.9860949 39.8682302, -104.9855802 39.8682774, -104.985369 39.868307, -104.985155 39.868357, -104.984986 39.868411, -104.984841 39.868459, -104.9846714 39.86853, -104.984462 39.868623, -104.98421 39.868759, -104.984029 39.868874)",,,,
427698398,True,2,,motorway_link,,False,60.674,"LINESTRING (-104.9869142 39.8675693, -104.9869121 39.8678998, -104.986913 39.8680347, -104.9869169 39.8681149)",,,,
606283102,True,1,,motorway_link,,False,110.10799999999998,"LINESTRING (-104.9869142 39.8675693, -104.9868654 39.8677517, -104.9868448 39.8678067, -104.9868241 39.8678498, -104.9867982 39.8678932, -104.9867622 39.8679372, -104.9867259 39.867976, -104.9866833 39.8680114, -104.9866378 39.8680401, -104.9865797 39.8680718, -104.9864924 39.8681099, -104.9863679 39.8681543, -104.9860949 39.8682302)",,,,
606589406,True,2,,motorway_link,,False,50.583,"LINESTRING (-104.9888519 39.8678505, -104.9888395 39.8677757, -104.988813 39.867679, -104.9887898 39.8676058, -104.9887613 39.8675316, -104.9887077 39.8674104)",,,,
"[42965986, 16964682, 427698379, 628330288, 427698392]",True,3,Thornton Parkway,primary,40 mph,False,167.747,"LINESTRING (-104.9888519 39.8678505, -104.9885622 39.8678853, -104.9880354 39.8679568, -104.9875935 39.8680167, -104.9870748 39.8680919, -104.9869169 39.8681149)",yes,,,
312348711,True,2,,motorway_link,,False,15.668,"LINESTRING (-104.9888703 39.8679907, -104.9888519 39.8678505)",,,,
628330286,True,3,Thornton Parkway,primary,35 mph,False,42.947,"LINESTRING (-104.9888703 39.8679907, -104.9889875 39.8679737, -104.9891797 39.8679465, -104.9893633 39.8679137)",,,,
"[16959961, 606613123]",True,1,,motorway_link,,False,394.155,"LINESTRING (-104.98771 39.8717111, -104.9877783 39.8712055, -104.9879167 39.8703064, -104.9879552 39.8701094, -104.9879849 39.8700003, -104.9880244 39.8698702, -104.9880677 39.869751, -104.9881156 39.8696507, -104.9885716 39.8688706, -104.988648 39.8687427, -104.9887356 39.8685753, -104.9887789 39.868481, -104.9888051 39.8684167, -104.9888254 39.8683604, -104.9888433 39.8683078)",,,,
16960814,True,1,,motorway_link,,False,85.91499999999999,"LINESTRING (-104.9895283 39.8677594, -104.9892882 39.8677503, -104.9892353 39.8677433, -104.9891777 39.8677341, -104.9891235 39.8677222, -104.9890732 39.8677069, -104.989018 39.8676861, -104.988958 39.8676547, -104.9889047 39.8676201, -104.9888594 39.8675869, -104.9888207 39.8675534, -104.9887847 39.8675168, -104.9887579 39.8674836, -104.9887077 39.8674104)",,,,
628330287,True,3,Thornton Parkway,primary,40 mph,False,58.61,"LINESTRING (-104.9895283 39.8677594, -104.98897 39.8678343, -104.9888519 39.8678505)",,,,
16961702,True,,,motorway_link,,False,13.069,"LINESTRING (-104.9869169 39.8681149, -104.9869315 39.8682319)",,,,
628330281,True,2,Thornton Parkway,secondary,40 mph,False,71.315,"LINESTRING (-104.9869169 39.8681149, -104.9867645 39.868136, -104.9860949 39.8682302)",,,,
628330279,True,,,motorway_link,,False,48.525999999999996,"LINESTRING (-104.9869315 39.8682319, -104.9869456 39.8683462, -104.9869663 39.8686674)",,,,
"[427698372, 42965988, 628330284, 427698367]",True,"['4', '3']",Thornton Parkway,primary,35 mph,False,167.63799999999998,"LINESTRING (-104.9869315 39.8682319, -104.9870206 39.8682198, -104.9879213 39.8681015, -104.9880507 39.8680836, -104.9888703 39.8679907)",yes,,,
606589402,True,,,motorway_link,,False,528.2230000000001,"LINESTRING (-104.9869663 39.8686674, -104.987016 39.868971, -104.9871959 39.8699532, -104.9872366 39.870221, -104.9872744 39.8704742, -104.9872938 39.8706216, -104.9873234 39.8709171, -104.9873371 39.8711039, -104.9873444 39.8712399, -104.9873614 39.871664, -104.9873807 39.8723721, -104.9873865 39.8725201, -104.9873935 39.8726528, -104.9874368 39.873399)",,,,
16962257,True,1,,motorway_link,,False,90.552,"LINESTRING (-104.986155 39.868344, -104.986601 39.868341, -104.986697 39.868353, -104.986758 39.868371, -104.9867952 39.8683903, -104.98681 39.868398, -104.98687 39.8684503, -104.9869663 39.8686674)",,,,
628330282,True,3,Thornton Parkway,secondary,35 mph,False,67.43299999999999,"LINESTRING (-104.986155 39.868344, -104.9868081 39.8682489, -104.9869315 39.8682319)",,,,
"[427701009, 1064518413, 427701038]",True,"['4', '3', '2']",Thornton Parkway,secondary,35 mph,False,130.38000000000002,"LINESTRING (-104.9793713 39.870718, -104.9800676 39.8706798, -104.9802996 39.8706675, -104.9804088 39.8706575, -104.9805099 39.8706519, -104.9808934 39.8706197)",,,,
515982906,False,,Pearl Street,residential,25 mph,False,175.37,"LINESTRING (-104.9793713 39.870718, -104.9793719 39.8708088, -104.9793722 39.8708449, -104.979358 39.871564, -104.9793592 39.871617, -104.9793639 39.871664, -104.9793748 39.871772, -104.9794012 39.871887, -104.9794313 39.8719921, -104.979464 39.8720714, -104.9795258 39.872201, -104.9795701 39.8722701)",,,,
16964676,False,,Civic Center Drive,unclassified,,False,18.182,"LINESTRING (-104.984029 39.868874, -104.9842007 39.8689708)",,,,
"[427701040, 427701037]",True,"['3', '5']",Thornton Parkway,secondary,35 mph,False,261.24100000000004,"LINESTRING (-104.984029 39.868874, -104.983845 39.869008, -104.983741 39.869094, -104.983545 39.869267, -104.983457 39.869349, -104.983153 39.869633, -104.9829803 39.8697857, -104.9828953 39.8698542, -104.9828265 39.869904, -104.9827163 39.8699726, -104.9826244 39.8700223, -104.9823563 39.8701543, -104.9821619 39.8702355, -104.9820243 39.8702813, -104.981866 39.8703246, -104.9817277 39.8703583)",,,,
16964676,False,,Civic Center Drive,unclassified,,True,18.182,"LINESTRING (-104.9842007 39.8689708, -104.984029 39.868874)",,,,
"[427701008, 628330278]",True,3,Thornton Parkway,secondary,35 mph,False,183.12,"LINESTRING (-104.9842007 39.8689708, -104.984433 39.8688428, -104.9846023 39.8687558, -104.9847476 39.8686908, -104.984974 39.868588, -104.985106 39.868548, -104.985241 39.868513, -104.985503 39.868458, -104.9858614 39.8683953, -104.986155 39.868344)",,,,
755459008,False,,Civic Center Drive,unclassified,,False,237.58300000000006,"LINESTRING (-104.9842007 39.8689708, -104.9843192 39.8690351, -104.984489 39.869115, -104.984887 39.869243, -104.9850494 39.8692997, -104.985097 39.869318, -104.985236 39.869374, -104.9853608 39.8694474, -104.9854149 39.869494, -104.9854594 39.8695522, -104.9854908 39.869601, -104.9855248 39.8696661, -104.9855445 39.8697374, -104.9855438 39.8698766, -104.9855436 39.8700776, -104.9855374 39.8702419, -104.9855342 39.8704344, -104.9855354 39.8705322)",,,,
628139088,True,5,Thornton Parkway,secondary,40 mph,False,12.875,"LINESTRING (-104.9817277 39.8703583, -104.9815841 39.8703938)",,,,
628139097,True,3,Grant Street,secondary,35 mph,False,16.718,"LINESTRING (-104.9815841 39.8703938, -104.9815889 39.8705441)",,,,
"[427701024, 42965989]",True,3,Thornton Parkway,secondary,40 mph,False,136.883,"LINESTRING (-104.9815841 39.8703938, -104.981389 39.8704278, -104.9812187 39.8704518, -104.9810063 39.8704716, -104.9807087 39.8704915, -104.9800409 39.8705241, -104.9799922 39.8705274)",,,,
"[746556161, 427701033]",True,3,Thornton Parkway,secondary,35 mph,False,137.51600000000002,"LINESTRING (-104.9831483 39.869904, -104.9832725 39.8698055, -104.9834108 39.8696768, -104.9836941 39.869393, -104.9838032 39.869284, -104.9839148 39.869184, -104.9840599 39.8690677, -104.9842007 39.8689708)",,,,
