osmid,name,highway,oneway,reversed,length,bridge,geometry,maxspeed,lanes,access,ref,tunnel
335312221,Broad Boulevard,secondary,False,True,66.462,,"LINESTRING (-81.4817507 41.133643, -81.480965 41.133559)",,,,,
"[43101626, 653232676]",Broad Boulevard,secondary,False,False,24.547,yes,"LINESTRING (-81.4817507 41.133643, -81.4818913 41.1336592, -81.4820409 41.1336739)",,,,,
43101623,East Portage Trail,secondary,False,False,49.686,yes,"LINESTRING (-81.480918 41.1362248, -81.4803249 41.1362135)",25 mph,,,,
"[43102188, 21384823]",,motorway_link,True,False,251.848,yes,"LINESTRING (-81.480918 41.1362248, -81.4809349 41.136158, -81.480993 41.135928, -81.481131 41.135517, -81.4812028 41.13511, -81.4812972 41.1344959, -81.481315 41.133986)",,,,,
"[21421319, 43101623]","['Portage Trail', 'East Portage Trail']",secondary,False,"[False, True]",161.45200000000003,yes,"LINESTRING (-81.480918 41.1362248, -81.4811309 41.1362289, -81.4812379 41.1362309, -81.4816399 41.1362386, -81.4818709 41.136243, -81.482179 41.1362489, -81.4822524 41.1362503, -81.482611 41.136271, -81.482741 41.1362824, -81.4827781 41.1362856, -81.4828432 41.1362878)",25 mph,4,,,
43101623,East Portage Trail,secondary,False,True,49.686,yes,"LINESTRING (-81.4803249 41.1362135, -81.480918 41.1362248)",25 mph,,,,
"[268212673, 21390922]",East Portage Trail,tertiary,False,False,136.349,yes,"LINESTRING (-81.4803249 41.1362135, -81.480156 41.1362103, -81.480078 41.1362088, -81.4799877 41.1362071, -81.4795881 41.1361995, -81.479526 41.1361983, -81.4794641 41.1361971, -81.479229 41.136198, -81.478971 41.136194, -81.4788192 41.1361968, -81.4786972 41.136199)",25 mph,,,,
"[268212673, 21390922]",East Portage Trail,tertiary,False,True,136.349,yes,"LINESTRING (-81.4786972 41.136199, -81.4788192 41.1361968, -81.478971 41.136194, -81.479229 41.136198, -81.4794641 41.1361971, -81.479526 41.1361983, -81.4795881 41.1361995, -81.4799877 41.1362071, -81.480078 41.1362088, -81.480156 41.1362103, -81.4803249 41.1362135)",25 mph,,,,
21433929,Munroe Falls Avenue,tertiary,False,False,124.75299999999999,,"LINESTRING (-81.4786972 41.136199, -81.4787027 41.1362927, -81.478717 41.136534, -81.47871 41.136674, -81.4787 41.136721, -81.4786627 41.1368019, -81.478636 41.13686, -81.478607 41.1369165, -81.478588 41.136953, -81.478415 41.13728)",35 mph,,,,
259861463,East Portage Trail,tertiary,False,False,121.27000000000001,,"LINESTRING (-81.4786972 41.136199, -81.4785933 41.1361984, -81.4784245 41.1361975, -81.4784067 41.1361974, -81.4784002 41.1361974, -81.4782469 41.1361965, -81.4781547 41.136196, -81.4780988 41.1361957, -81.4778808 41.1361945, -81.4777034 41.1361935, -81.4775362 41.1361926, -81.4772492 41.136191)",35 mph,3,,,
270485516,Newberry Street,tertiary,False,True,46.622,,"LINESTRING (-81.4786972 41.136199, -81.4787031 41.1361032, -81.478711 41.135974, -81.4787133 41.1358856, -81.478716 41.13578)",35 mph,,,,
21391057,Stone Street,residential,False,False,121.21000000000001,,"LINESTRING (-81.4772492 41.136191, -81.4772477 41.1362778, -81.477245 41.136428, -81.4772444 41.1364674, -81.477242 41.136615, -81.4772422 41.1366268, -81.4772429 41.136666, -81.4772445 41.1367519, -81.4772446 41.1367567, -81.4772466 41.1368631, -81.477248 41.136941, -81.477248 41.1369738, -81.477248 41.137281)",,,,,
21391057,Stone Street,residential,False,True,45.382999999999996,,"LINESTRING (-81.4772492 41.136191, -81.4772518 41.136114, -81.477263 41.135783)",,,,,
259861463,East Portage Trail,tertiary,False,True,121.27,,"LINESTRING (-81.4772492 41.136191, -81.4775362 41.1361926, -81.4777034 41.1361935, -81.4778808 41.1361945, -81.4780988 41.1361957, -81.4781547 41.136196, -81.4782469 41.1361965, -81.4784002 41.1361974, -81.4784067 41.1361974, -81.4784245 41.1361975, -81.4785933 41.1361984, -81.4786972 41.136199)",35 mph,3,,,
21391057,Stone Street,residential,False,False,145.56300000000002,,"LINESTRING (-81.477688 41.13359, -81.4776814 41.1336211, -81.4776652 41.1336966, -81.4776433 41.1337992, -81.4776269 41.133876, -81.4776028 41.1339884, -81.4775799 41.1340954, -81.4775571 41.1342023, -81.4775353 41.1343043, -81.4775295 41.1343316, -81.4775268 41.1343441, -81.4774922 41.1345065, -81.4774865 41.1345332, -81.47746 41.134657, -81.4774351 41.1348286, -81.477427 41.134884)",,,,,
21391057,Stone Street,residential,False,False,100.95400000000001,,"LINESTRING (-81.477427 41.134884, -81.4774051 41.1349718, -81.477379 41.135076, -81.477362 41.1351803, -81.477341 41.135309, -81.4773088 41.1354668, -81.477303 41.135495, -81.4772994 41.1355209, -81.4772702 41.1357309, -81.477263 41.135783)",,,,,
