osmid,oneway,lanes,name,highway,reversed,length,geometry,maxspeed,width,ref,access,junction
16996521,False,2,Ouray Avenue,residential,False,147.09400000000002,"LINESTRING (-108.5695272 39.071387, -108.5694079 39.0713869, -108.5686764 39.0713866, -108.5679851 39.0713863, -108.5679619 39.0713863, -108.5678233 39.0713862)",,,,,
117882079,False,2,North 2nd Street,residential,True,117.066,"LINESTRING (-108.5695272 39.071387, -108.5695272 39.0712932, -108.5695272 39.071279, -108.5695271 39.0710589, -108.5695271 39.0710255, -108.5695271 39.0708004, -108.5695271 39.0707829, -108.569527 39.0704728, -108.569527 39.070459, -108.569527 39.0703342)",25 mph,32',,,
16996521,False,2,Ouray Avenue,residential,False,145.074,"LINESTRING (-108.5678233 39.0713862, -108.5677119 39.0713862, -108.567691 39.0713862, -108.5666102 39.0713857, -108.5662991 39.0713855, -108.5662662 39.0713855, -108.5661428 39.0713855)",,,,,
16996521,False,2,Ouray Avenue,residential,True,147.09400000000002,"LINESTRING (-108.5678233 39.0713862, -108.5679619 39.0713863, -108.5679851 39.0713863, -108.5686764 39.0713866, -108.5694079 39.0713869, -108.5695272 39.071387)",,,,,
230896203,False,2,North 3rd Street,residential,True,116.711,"LINESTRING (-108.5678233 39.0713862, -108.5678232 39.071292, -108.5678232 39.0712739, -108.5678228 39.0710351, -108.5678227 39.070971, -108.5678226 39.0709108, -108.5678222 39.0706595, -108.5678219 39.0704756, -108.567822 39.0704405, -108.5678217 39.0703366)",25 mph,,,,
16996521,False,2,Ouray Avenue,residential,False,146.861,"LINESTRING (-108.5661428 39.0713855, -108.5660156 39.0713854, -108.5659786 39.0713854, -108.5646067 39.0713848, -108.5645715 39.0713848, -108.5644416 39.0713847)",,,,,
16996521,False,2,Ouray Avenue,residential,True,145.07399999999998,"LINESTRING (-108.5661428 39.0713855, -108.5662662 39.0713855, -108.5662991 39.0713855, -108.5666102 39.0713857, -108.567691 39.0713862, -108.5677119 39.0713862, -108.5678233 39.0713862)",,,,,
"[230297712, 633627516]",True,2,North 4th Street,tertiary,False,116.288,"LINESTRING (-108.5661428 39.0713855, -108.5661425 39.0712909, -108.5661415 39.0709045, -108.5661412 39.0707975, -108.5661407 39.070597, -108.5661404 39.0704671, -108.5661403 39.0704418, -108.56614 39.0703397)",30 mph,,,,
16996521,False,2,Ouray Avenue,residential,False,146.05700000000002,"LINESTRING (-108.5644416 39.0713847, -108.5643225 39.0713846, -108.5642942 39.0713846, -108.5639784 39.0713845, -108.5638309 39.0713844, -108.5633589 39.0713842, -108.5630445 39.071384, -108.5628895 39.0713839, -108.5628754 39.0713839, -108.5627497 39.0713839)",,,,,
16996521,False,2,Ouray Avenue,residential,True,146.861,"LINESTRING (-108.5644416 39.0713847, -108.5645715 39.0713848, -108.5646067 39.0713848, -108.5659786 39.0713854, -108.5660156 39.0713854, -108.5661428 39.0713855)",,,,,
16996521,False,2,Ouray Avenue,residential,False,144.70200000000003,"LINESTRING (-108.5627497 39.0713839, -108.5626255 39.0713838, -108.5626019 39.0713838, -108.5617039 39.0713834, -108.5611862 39.0713831, -108.5611702 39.0713831, -108.5610735 39.0713831)",,,,,
16996521,False,2,Ouray Avenue,residential,True,146.05700000000002,"LINESTRING (-108.5627497 39.0713839, -108.5628754 39.0713839, -108.5628895 39.0713839, -108.5630445 39.071384, -108.5633589 39.0713842, -108.5638309 39.0713844, -108.5639784 39.0713845, -108.5642942 39.0713846, -108.5643225 39.0713846, -108.5644416 39.0713847)",,,,,
633629351,False,2,North 6th Street,residential,True,116.822,"LINESTRING (-108.5627497 39.0713839, -108.5627499 39.0712886, -108.5627509 39.0709045, -108.5627521 39.0704727, -108.5627521 39.0704488, -108.5627524 39.0703333)",,,,,
16996521,False,2,Ouray Avenue,residential,True,9.79,"LINESTRING (-108.5609601 39.071383, -108.5610735 39.0713831)",,,,,
231156798,False,2,Ouray Avenue,residential,False,138.539,"LINESTRING (-108.5609601 39.071383, -108.5608537 39.0713829, -108.5608205 39.0713829, -108.5603226 39.0713823, -108.559479 39.0713814, -108.5593553 39.0713813)",,9.9,,,
17000702,False,2,North 8th Street,residential,True,117.811,"LINESTRING (-108.5593553 39.0713813, -108.5593556 39.0712808, -108.5593556 39.0712654, -108.5593567 39.0708983, -108.5593579 39.070449, -108.559358 39.0704282, -108.5593583 39.0703218)",30 mph,,,,
231156798,False,2,Ouray Avenue,residential,True,138.53900000000002,"LINESTRING (-108.5593553 39.0713813, -108.559479 39.0713814, -108.5603226 39.0713823, -108.5608205 39.0713829, -108.5608537 39.0713829, -108.5609601 39.071383)",,9.9,,,
476368698,False,2,South Avenue,unclassified,False,145.117,"LINESTRING (-108.5678217 39.0634311, -108.5661409 39.0634255)",,,,,
"[231159081, 16996726]",False,2,"['South Avenue', 'South 2nd Street']",unclassified,True,195.086,"LINESTRING (-108.5678217 39.0634311, -108.5688763 39.0634393, -108.5689195 39.0634451, -108.5689492 39.063454, -108.5689894 39.0634728, -108.5690338 39.0635037, -108.5690858 39.0635466, -108.5694616 39.0638861, -108.5694898 39.0639148, -108.5695023 39.0639332, -108.5695119 39.0639526, -108.5695127 39.0641156, -108.5695129 39.0641624)",,33',,,
231159080,False,2,South 3rd Street,unclassified,True,108.03,"LINESTRING (-108.5678217 39.0634311, -108.5678191 39.0635309, -108.5678204 39.0639182, -108.5678217 39.0643051, -108.5678227 39.0644026)",,,,,
476368698,False,2,South Avenue,unclassified,True,145.117,"LINESTRING (-108.5661409 39.0634255, -108.5678217 39.0634311)",,,,,
231158413,False,2,South 4th Street,unclassified,True,107.987,"LINESTRING (-108.5661409 39.0634255, -108.5661411 39.0635197, -108.5661411 39.063534, -108.5661416 39.0639136, -108.5661422 39.0642769, -108.5661422 39.0643006, -108.5661334 39.0643964)",,,,,
231158423,False,2,South 4th Street,unclassified,False,56.410000000000004,"LINESTRING (-108.5661409 39.0634255, -108.5661413 39.0633152, -108.5661429 39.0629182)",,"35'8""",,,
476368698,False,2,South Avenue,unclassified,False,140.56900000000002,"LINESTRING (-108.5661409 39.0634255, -108.564652 39.0634205, -108.5646333 39.0634189, -108.5645129 39.06342)",,,,,
476368698,False,2,South Avenue,unclassified,True,140.56900000000002,"LINESTRING (-108.5645129 39.06342, -108.5646333 39.0634189, -108.564652 39.0634205, -108.5661409 39.0634255)",,,,,
"[231154720, 1135257927]",False,2,South 6th Street,unclassified,True,106.191,"LINESTRING (-108.5627463 39.063435, -108.5627462 39.0635233, -108.5627461 39.0635441, -108.5627454 39.0639059, -108.5627446 39.0643044, -108.5627445 39.0643211, -108.5627444 39.06439)",,32',,,
460461572,False,2,South Avenue,unclassified,False,149.41500000000002,"LINESTRING (-108.5627463 39.063435, -108.562623 39.0634349, -108.5619644 39.0634343, -108.5611754 39.0634336, -108.5610157 39.0634334)",,,,,
"[480290449, 476368671, 480290431]",False,2,South Avenue,unclassified,True,141.361,"LINESTRING (-108.5627463 39.063435, -108.5628771 39.0634351, -108.5636056 39.0634358, -108.5636914 39.0634359, -108.5642227 39.0634364, -108.5642604 39.0634364, -108.5643836 39.0634365)",,,,,
231522885,False,2,South 7th Street,tertiary,True,105.925,"LINESTRING (-108.5610157 39.0634334, -108.5610156 39.0635281, -108.5610177 39.0639053, -108.5610192 39.0642724, -108.5610193 39.0642968, -108.5610196 39.064386)",,,,,
460461572,False,2,South Avenue,unclassified,True,149.41500000000002,"LINESTRING (-108.5610157 39.0634334, -108.5611754 39.0634336, -108.5619644 39.0634343, -108.562623 39.0634349, -108.5627463 39.063435)",,,,,
476368695,False,2,South Avenue,unclassified,False,143.101,"LINESTRING (-108.5610157 39.0634334, -108.560864 39.0634333, -108.5603279 39.0634328, -108.5594918 39.063437, -108.5593584 39.0634319)",,,,,
16999196,False,2,South 8th Street,residential,True,106.082,"LINESTRING (-108.5593584 39.0634319, -108.5593585 39.0635177, -108.5593608 39.0639013, -108.5593624 39.0642917, -108.5593628 39.0643859)",30 mph,10,,,
476368695,False,2,South Avenue,unclassified,True,143.10100000000003,"LINESTRING (-108.5593584 39.0634319, -108.5594918 39.063437, -108.5603279 39.0634328, -108.560864 39.0634333, -108.5610157 39.0634334)",,,,,
"[16996771, 1133247915]",False,2,South 6th Street,"['unclassified', 'tertiary']",False,113.63099999999999,"LINESTRING (-108.5627453 39.0673596, -108.5627453 39.0672632, -108.562745 39.0671924, -108.5627453 39.0668041, -108.5627447 39.0666917, -108.5627445 39.0665113, -108.562745 39.0664456, -108.562745 39.0664368, -108.5627452 39.0664189, -108.5627457 39.0663377)",,"[""32'"", ""21'""]",,,
231158426,False,2,Main Street,tertiary,False,114.88200000000002,"LINESTRING (-108.5627453 39.0673596, -108.562624 39.0673587, -108.5625988 39.0673585, -108.5622909 39.0673571, -108.5621803 39.0673551, -108.5620715 39.0673473, -108.561903 39.0673199, -108.5617988 39.0672967, -108.5617269 39.0672894, -108.5616494 39.0672868, -108.5614237 39.0672835)",,,,,
231158426,False,2,Main Street,tertiary,True,147.153,"LINESTRING (-108.5627453 39.0673596, -108.562868 39.0673606, -108.5629084 39.0673608, -108.5632106 39.0673596, -108.56334 39.0673538, -108.563466 39.0673391, -108.5635972 39.0673164, -108.5636931 39.067299, -108.5638139 39.0672822, -108.5639588 39.0672727, -108.5642895 39.0672727, -108.5643212 39.0672729, -108.5644399 39.0672736)",,,,,
"[375241361, 631422517]",False,"['3', '2']",North 6th Street,unclassified,False,105.582,"LINESTRING (-108.5627453 39.0673596, -108.562745 39.0674359, -108.5627453 39.0674649, -108.5627452 39.0678231, -108.5627483 39.0679415, -108.5627479 39.0681937, -108.5627479 39.0682124, -108.5627478 39.0683091)",,21',,,
