osmid,lanes,name,highway,width,oneway,reversed,length,geometry,ref,maxspeed
9177587,2,Chole Court,residential,12.2,False,True,175.606,"LINESTRING (-70.3073342 41.7006445, -70.307445 41.700676, -70.307596 41.700746, -70.307768 41.700811, -70.307882 41.700849, -70.30797 41.700873, -70.308062 41.700894, -70.308155 41.700901, -70.30826 41.700894, -70.308388 41.700879, -70.308507 41.700856, -70.308628 41.700832, -70.308732 41.700815, -70.308839 41.700812, -70.308937 41.700817, -70.309019 41.700832, -70.309148 41.700844, -70.30923 41.700843, -70.309354 41.700824)",,
"[9178553, 1171624900]",1,"['Pine Lane Barnstable Harbor', 'Pine Lane']",residential,12.2,False,False,221.48600000000002,"LINESTRING (-70.3073342 41.7006445, -70.3072932 41.7006882, -70.3071822 41.7008348, -70.3070377 41.7010664, -70.3068359 41.7014603, -70.3065872 41.7019382, -70.3063135 41.702395, -70.3062993 41.702416, -70.3062654 41.7024662)",,
9178553,1,Pine Lane,residential,12.2,False,True,169.669,"LINESTRING (-70.3073342 41.7006445, -70.3075097 41.7003969, -70.3077517 41.7000509, -70.3079635 41.6997663, -70.308306 41.6993023)",,
9177794,2,Hyannis Road,secondary,12.2,False,True,130.352,"LINESTRING (-70.3002284 41.7002324, -70.3009462 41.6991898)",,
9180275,1,Bow Lane,residential,6.1,False,True,257.58,"LINESTRING (-70.3002284 41.7002324, -70.3001757 41.7002192, -70.300127 41.700207, -70.300079 41.700193, -70.29994 41.700133, -70.299799 41.700074, -70.299639 41.7, -70.299588 41.69996, -70.299554 41.699898, -70.299531 41.699832, -70.299511 41.699747, -70.299502 41.699654, -70.299494 41.699544, -70.299514 41.699446, -70.299548 41.699358, -70.299623 41.699272, -70.299688 41.699222, -70.299769 41.699205, -70.299829 41.699185, -70.299953 41.69916, -70.300096 41.699127, -70.300244 41.699103, -70.300406 41.699094, -70.300584 41.699102, -70.300737 41.69912, -70.300822 41.699145, -70.3009462 41.6991898)",,
9177794,2,Hyannis Road,secondary,12.2,False,False,18.369999999999997,"LINESTRING (-70.3002284 41.7002324, -70.3001998 41.7002796, -70.3001861 41.7003154, -70.300182 41.7003915)",,
9177794,2,Hyannis Road,secondary,12.2,False,False,130.352,"LINESTRING (-70.3009462 41.6991898, -70.3002284 41.7002324)",,
9180275,1,Bow Lane,residential,6.1,False,False,257.58,"LINESTRING (-70.3009462 41.6991898, -70.300822 41.699145, -70.300737 41.69912, -70.300584 41.699102, -70.300406 41.699094, -70.300244 41.699103, -70.300096 41.699127, -70.299953 41.69916, -70.299829 41.699185, -70.299769 41.699205, -70.299688 41.699222, -70.299623 41.699272, -70.299548 41.699358, -70.299514 41.699446, -70.299494 41.699544, -70.299502 41.699654, -70.299511 41.699747, -70.299531 41.699832, -70.299554 41.699898, -70.299588 41.69996, -70.299639 41.7, -70.299799 41.700074, -70.29994 41.700133, -70.300079 41.700193, -70.300127 41.700207, -70.3001757 41.7002192, -70.3002284 41.7002324)",,
9177725,2,Main Street,primary,12.2,False,False,62.507999999999996,"LINESTRING (-70.3008974 41.7005667, -70.3003288 41.7004274, -70.300182 41.7003915)",MA 6A,25 mph
"[9179893, 889471715, 9177725]",2,Main Street,primary,"['14.0', '12.2']",False,True,410.48,"LINESTRING (-70.3008974 41.7005667, -70.3009964 41.7005918, -70.3010189 41.7005975, -70.301345 41.7006794, -70.3016069 41.7007532, -70.301766 41.70079, -70.30182 41.700809, -70.301902 41.700838, -70.3019578 41.7008605, -70.302006 41.70088, -70.302129 41.70094, -70.3021627 41.7009583, -70.3022597 41.7010108, -70.3023392 41.7010538, -70.3024657 41.7011202, -70.3025214 41.7011494, -70.3026634 41.7012239, -70.3027013 41.7012438, -70.3027916 41.7012912, -70.3028811 41.7013359, -70.3031738 41.701482, -70.3032805 41.7015334, -70.3036156 41.7016949, -70.3036944 41.7017303, -70.303757 41.701758, -70.303911 41.701818, -70.3040119 41.7018529, -70.304067 41.701872, -70.30415 41.701893, -70.3042378 41.701912, -70.3043027 41.7019265, -70.304332 41.701933, -70.3044282 41.7019524, -70.3047597 41.7019939, -70.3048634 41.7020057, -70.3049035 41.7020121, -70.3050495 41.7020351, -70.3051144 41.7020466, -70.3052166 41.7020694, -70.3053306 41.7020965)",MA 6A,25 mph
9179797,2,Windsor Way,residential,12.2,False,True,199.989,"LINESTRING (-70.3008974 41.7005667, -70.3009131 41.7005196, -70.3009737 41.700351, -70.3010206 41.7002489, -70.3010797 41.7001589, -70.3011673 41.7000631, -70.301324 41.699956, -70.3014176 41.6999017, -70.3015315 41.6998565, -70.3016411 41.6998144, -70.3017161 41.6997587, -70.302094 41.6992757, -70.3021151 41.6992182, -70.30212 41.6991577, -70.3021174 41.6991005)",,
9178553,1,Pine Lane,residential,12.2,False,True,29.37,"LINESTRING (-70.308306 41.6993023, -70.308366 41.699042)",,
9178553,1,Pine Lane,residential,12.2,False,False,169.669,"LINESTRING (-70.308306 41.6993023, -70.3079635 41.6997663, -70.3077517 41.7000509, -70.3075097 41.7003969, -70.3073342 41.7006445)",,
9180268,1,Main Street,primary,12.2,False,False,87.89099999999999,"LINESTRING (-70.3062654 41.7024662, -70.306069 41.702383, -70.3057748 41.7022593, -70.3055709 41.7021766, -70.3054173 41.7021242, -70.3053306 41.7020965)",MA 6A,
