osmid,highway,oneway,reversed,length,geometry,name,lanes,ref,maxspeed
15203636,residential,False,False,45.81,"LINESTRING (-97.7480672 31.4313356, -97.7477969 31.4314719, -97.7476316 31.4315013)",,,,
15209194,residential,False,False,212.357,"LINESTRING (-97.7480672 31.4313356, -97.748458 31.431823, -97.748539 31.431983, -97.7485271 31.4326147, -97.7485202 31.4329809, -97.7485187 31.4331278)",South 8th Street,,,
15203636,residential,False,False,200.00400000000002,"LINESTRING (-97.7476316 31.4315013, -97.7476065 31.4315697, -97.7475024 31.431854, -97.747378 31.4322313, -97.7473018 31.4323858, -97.7472669 31.4324094, -97.7471894 31.4324619, -97.7470185 31.4325507, -97.7469805 31.4326051, -97.7469637 31.4326292, -97.7469517 31.4327398, -97.7469395 31.4328202, -97.7468996 31.4331111)",,,,
15203636,residential,False,True,45.81,"LINESTRING (-97.7476316 31.4315013, -97.7477969 31.4314719, -97.7480672 31.4313356)",,,,
15209163,residential,False,True,49.156,"LINESTRING (-97.7468996 31.4331111, -97.7463815 31.4331111)",Bridge Street,,,
15203636,residential,False,True,200.004,"LINESTRING (-97.7468996 31.4331111, -97.7469395 31.4328202, -97.7469517 31.4327398, -97.7469637 31.4326292, -97.7469805 31.4326051, -97.7470185 31.4325507, -97.7471894 31.4324619, -97.7472669 31.4324094, -97.7473018 31.4323858, -97.747378 31.4322313, -97.7475024 31.431854, -97.7476065 31.4315697, -97.7476316 31.4315013)",,,,
15209163,residential,False,False,153.632,"LINESTRING (-97.7468996 31.4331111, -97.7473171 31.4331206, -97.7485187 31.4331278)",Bridge Street,,,
15206892,residential,False,False,17.925,"LINESTRING (-97.747687 31.437827, -97.7475 31.43785)",,,,
15209876,residential,False,False,41.094,"LINESTRING (-97.747687 31.437827, -97.747439 31.43813)",North 8th Street,,,
15209876,residential,False,True,196.40699999999998,"LINESTRING (-97.747687 31.437827, -97.7484568 31.4370153, -97.7484785 31.4366032, -97.7484903 31.4362937)",North 8th Street,,,
15206892,residential,False,True,17.925,"LINESTRING (-97.7475 31.43785, -97.747687 31.437827)",,,,
15208887,residential,False,False,31.668,"LINESTRING (-97.7475 31.43785, -97.747439 31.43813)",North 9th Street,,,
15208887,residential,False,True,137.434,"LINESTRING (-97.7475 31.43785, -97.7475952 31.4366167)",North 9th Street,,,
15208065,residential,False,False,76.062,"LINESTRING (-97.7436321 31.4395852, -97.7428305 31.4395721)",Mills Street,,,
15208065,residential,False,True,49.379,"LINESTRING (-97.7436321 31.4395852, -97.7441525 31.439577)",Mills Street,,,
143829021,trunk,False,True,30.408,"LINESTRING (-97.7408418 31.4348804, -97.7405213 31.4348793)",East Main Street,4,US 84;TX 36 Business,
15207716,residential,False,False,148.189,"LINESTRING (-97.7408418 31.4348804, -97.7408481 31.4353343, -97.7408602 31.436213)",North 16th Street,,,
143829021,trunk,False,False,142.10000000000002,"LINESTRING (-97.7408418 31.4348804, -97.7410719 31.434882, -97.7414 31.4348842, -97.7423395 31.4348905)",East Main Street,4,US 84;TX 36 Business,
15209690,residential,False,False,80.324,"LINESTRING (-97.7408602 31.436213, -97.7417065 31.4361926)",Saunders Street,,,
15209690,residential,False,True,62.91,"LINESTRING (-97.7408602 31.436213, -97.7401977 31.4362369)",Saunders Street,,,
15207716,residential,False,True,148.189,"LINESTRING (-97.7408602 31.436213, -97.7408481 31.4353343, -97.7408418 31.4348804)",North 16th Street,,,
15207790,residential,False,False,112.643,"LINESTRING (-97.7409888 31.4313961, -97.7409814 31.4324091)",Andrews Street,2,,30 mph
15210299,residential,False,False,69.808,"LINESTRING (-97.7409888 31.4313961, -97.7402531 31.431404)",Pidcoke Street,2,,30 mph
15210299,residential,False,True,105.247,"LINESTRING (-97.7409888 31.4313961, -97.742098 31.431385)",Pidcoke Street,2,,30 mph
15207790,residential,False,False,77.924,"LINESTRING (-97.7409814 31.4324091, -97.7409685 31.4331098)",Andrews Street,2,,30 mph
15207790,residential,False,True,112.643,"LINESTRING (-97.7409814 31.4324091, -97.7409888 31.4313961)",Andrews Street,2,,30 mph
15207836,residential,False,False,133.437,"LINESTRING (-97.7409814 31.4324091, -97.7423878 31.4324059)",Pleasant Street,2,,30 mph
15207790,residential,False,True,77.924,"LINESTRING (-97.7409685 31.4331098, -97.7409814 31.4324091)",Andrews Street,2,,30 mph
646985933,residential,False,False,134.84,"LINESTRING (-97.7409685 31.4331098, -97.7423897 31.433113)",Bridge Street,2,,30 mph
646985933,residential,False,True,69.308,"LINESTRING (-97.7409685 31.4331098, -97.740238 31.4331124)",Bridge Street,2,,30 mph
15207836,residential,False,False,176.805,"LINESTRING (-97.7423878 31.4324059, -97.7442513 31.4324075)",Pleasant Street,2,,30 mph
15207836,residential,False,True,133.437,"LINESTRING (-97.7423878 31.4324059, -97.7409814 31.4324091)",Pleasant Street,2,,30 mph
15208288,residential,False,False,78.626,"LINESTRING (-97.7423878 31.4324059, -97.7423897 31.433113)",South 14th Street,2,,30 mph
15208288,residential,False,True,113.697,"LINESTRING (-97.7423878 31.4324059, -97.7423878 31.4313834)",South 14th Street,2,,30 mph
15207836,residential,False,True,176.805,"LINESTRING (-97.7442513 31.4324075, -97.7423878 31.4324059)",Pleasant Street,2,,30 mph
15210042,residential,False,False,63.104,"LINESTRING (-97.7442513 31.4324075, -97.7442476 31.432975)",South Lutterloh Avenue,2,,30 mph
15210042,residential,False,True,45.313,"LINESTRING (-97.7442513 31.4324075, -97.7442625 31.4320001)",South Lutterloh Avenue,2,,30 mph
15207837,residential,False,False,106.577,"LINESTRING (-97.7453042 31.4321582, -97.7464275 31.4321605)",Pleasant Street,,,
15209148,residential,False,False,92.42,"LINESTRING (-97.7453042 31.4321582, -97.7452936 31.4329893)",Fennimore Street,2,,30 mph
15209148,residential,False,True,15.323,"LINESTRING (-97.7453042 31.4321582, -97.7453055 31.4320204)",Fennimore Street,2,,30 mph
15207837,residential,False,True,106.577,"LINESTRING (-97.7464275 31.4321605, -97.7453042 31.4321582)",Pleasant Street,,,
15208295,residential,False,False,105.792,"LINESTRING (-97.7464275 31.4321605, -97.7463815 31.4331111)",South 10th Street,2,,30 mph
"[15210301, 15208295]",residential,False,"[False, True]",167.647,"LINESTRING (-97.7464275 31.4321605, -97.7464669 31.4316426, -97.7453082 31.4316359)","['South 10th Street', 'Pidcoke Street']",2,,30 mph
15207838,residential,False,False,98.984,"LINESTRING (-97.7442625 31.4320001, -97.7453055 31.4320204)",Pleasant Street,,,
