osmid,oneway,lanes,name,highway,reversed,length,geometry,access,maxspeed,ref,bridge,tunnel,junction
633128634,False,4,North 9th Street,primary,False,50.592,"LINESTRING (-77.4358292 37.5387185, -77.4355592 37.5390102, -77.4354904 37.5390857)",,,,,,
"[1215215954, 294874895]",False,2,Bank Street,residential,True,96.333,"LINESTRING (-77.4358292 37.5387185, -77.4357511 37.5386722, -77.4354536 37.5384958, -77.4350211 37.5382392, -77.4349884 37.5382198, -77.4349543 37.5381996)",no,,,,,
6038068,False,2,North 12th Street,residential,True,69.559,"LINESTRING (-77.4333367 37.5372217, -77.4333853 37.5371723, -77.4337563 37.5367944, -77.4338215 37.5367282)",,25 mph,,,,
"[1121026531, 1121157508]",False,2,Bank Street,residential,True,76.429,"LINESTRING (-77.4333367 37.5372217, -77.4332556 37.5371739, -77.4331904 37.5371382, -77.4330024 37.5370309, -77.4327774 37.5369024, -77.43275 37.5368829, -77.4326661 37.5368366, -77.4326352 37.5368183)",,25 mph,,,,
572933869,False,,Bank Street,secondary,False,10.982,"LINESTRING (-77.4312276 37.536184, -77.4313368 37.5362315)",,25 mph,,,,
94668200,False,,East Franklin Street,secondary,True,109.99499999999999,"LINESTRING (-77.4312276 37.536184, -77.4311576 37.5361538, -77.4311064 37.5361318, -77.4302658 37.5357702, -77.4301311 37.5357123)",,25 mph,,,,
"[572933864, 572933870]",True,2,North 14th Street,primary,False,267.087,"LINESTRING (-77.4312276 37.536184, -77.4311473 37.536248, -77.4308786 37.5364619, -77.4304594 37.5367811, -77.4304219 37.5368101, -77.430239 37.5369498, -77.4300616 37.5370952, -77.4298945 37.5372515, -77.4298632 37.5372836, -77.4297891 37.5373595, -77.4296718 37.537484, -77.4295478 37.5376202, -77.4294467 37.5377491, -77.4293583 37.5378644, -77.4293267 37.5379064, -77.42926 37.537995)",,25 mph,,,,
6035508,False,,East Franklin Street,residential,False,102.775,"LINESTRING (-77.4301311 37.5357123, -77.4299851 37.535637, -77.4297943 37.5355385, -77.4291582 37.5352033)",,,,,,
6036781,False,,North 15th Street,primary,True,134.309,"LINESTRING (-77.4301311 37.5357123, -77.4301981 37.5355517, -77.4302276 37.5353518, -77.4302249 37.5353106, -77.4301981 37.5349072, -77.430241 37.5347179, -77.4302695 37.5346814, -77.430304 37.5346371, -77.4303736 37.5345479)",,,,,,
94668200,False,,East Franklin Street,secondary,False,109.995,"LINESTRING (-77.4301311 37.5357123, -77.4302658 37.5357702, -77.4311064 37.5361318, -77.4311576 37.5361538, -77.4312276 37.536184)",,25 mph,,,,
