osmid,oneway,highway,reversed,length,geometry,ref,name,lanes
14725154,True,unclassified,False,55.11500000000001,"LINESTRING (-98.388845 34.604756, -98.388794 34.604846, -98.3887737 34.6048969, -98.3887637 34.6050563, -98.388764 34.6051321, -98.3888028 34.6052346)",,,
14733403,False,secondary,True,38.342999999999996,"LINESTRING (-98.388845 34.604756, -98.388879 34.604865, -98.388974 34.605003, -98.3890466 34.6050461)",US 281 Business,Southwest 1st Street,
14740212,False,secondary,False,74.862,"LINESTRING (-98.3896243 34.6051885, -98.389878 34.605183, -98.3904421 34.6051754)",US 281 Business,Southwest C Avenue,
14740212,False,secondary,True,56.986,"LINESTRING (-98.3896243 34.6051885, -98.38931 34.605175, -98.389191 34.605131, -98.3890466 34.6050461)",US 281 Business,Southwest C Avenue,
911415935,False,primary,False,8.417,"LINESTRING (-98.3862591 34.6088511, -98.386168 34.6088407)",,East Gore Boulevard,
911717090,True,primary,False,102.249,"LINESTRING (-98.3862591 34.6088511, -98.386617 34.608976, -98.386891 34.609077, -98.386938 34.609095, -98.387086 34.609126, -98.3873082 34.6091475)",,Southwest Gore Boulevard,
14740560,False,tertiary,True,33.949,"LINESTRING (-98.3873082 34.6091475, -98.3873248 34.6088425)",,North Railroad Street,
14740560,False,tertiary,False,233.43699999999995,"LINESTRING (-98.3873082 34.6091475, -98.3873088 34.6096902, -98.3872968 34.6102884, -98.3872274 34.6108287, -98.3872193 34.6112437)",,North Railroad Street,
911717090,True,primary,False,141.044,"LINESTRING (-98.3873082 34.6091475, -98.388385 34.609144, -98.3888489 34.6091607)",,Southwest Gore Boulevard,
424983943,False,residential,True,55.743,"LINESTRING (-98.3888489 34.6091607, -98.3888459 34.6086594)",,Northwest 1st Street,
