osmid,oneway,lanes,name,highway,maxspeed,width,reversed,length,bridge,geometry,ref,access
"[56408729, 86295762, 86295763, 8616047]",False,"['3', '2']","['John F. Kennedy Street', 'North Harvard Street']",secondary,25 mph,"['22.0', '19.8']",True,177.67600000000002,yes,"LINESTRING (-71.1224552 42.3698047, -71.122545 42.3697042, -71.1225651 42.3696815, -71.1229182 42.369286, -71.1231994 42.3689584, -71.1234695 42.3686436, -71.1234913 42.3686171, -71.1235086 42.3685953, -71.1235279 42.3685701, -71.1235452 42.3685463, -71.1235733 42.3685098, -71.1235967 42.3684819, -71.1236179 42.3684577)",,
"[138788996, 947089814]",False,4,Memorial Drive,primary,,30.2,True,359.161,,"LINESTRING (-71.1224552 42.3698047, -71.1224058 42.3697935, -71.1223607 42.3697836, -71.1223177 42.3697744, -71.122279 42.3697666, -71.1222501 42.3697608, -71.1222241 42.3697562, -71.1221895 42.3697508, -71.1221516 42.369745, -71.1221143 42.3697399, -71.1220768 42.3697354, -71.1220334 42.3697306, -71.1219996 42.3697271, -71.1219657 42.3697244, -71.1219218 42.3697204, -71.1218854 42.3697184, -71.1218432 42.3697159, -71.121775 42.3697136, -71.1217111 42.3697123, -71.121644 42.3697134, -71.1215663 42.3697148, -71.1214095 42.3697207, -71.1212386 42.3697331, -71.1205248 42.369805, -71.1204367 42.3698131, -71.1203572 42.3698193, -71.1202772 42.3698239, -71.1201988 42.369828, -71.1201115 42.3698316, -71.1200304 42.369834, -71.1199463 42.3698352, -71.1198646 42.3698358, -71.1197833 42.3698354, -71.1197058 42.369834, -71.1196219 42.3698305, -71.1195388 42.3698264, -71.1194583 42.3698217, -71.1193709 42.3698158, -71.1192878 42.3698096, -71.11921 42.3698023, -71.119126 42.3697927, -71.119045 42.3697832, -71.1189652 42.3697727, -71.1188868 42.3697617, -71.1188075 42.3697494, -71.1187304 42.3697366, -71.1186464 42.3697215, -71.1185646 42.3697059, -71.118486 42.3696893, -71.1184083 42.3696722, -71.1183281 42.3696528, -71.1182488 42.3696323, -71.1181945 42.3696164, -71.1181455 42.3696011)",US 3;MA 2,
138789002,False,4,Memorial Drive,primary,35 mph,30.2,True,172.14299999999997,,"LINESTRING (-71.1172831 42.3691584, -71.1172518 42.369131, -71.117223 42.3691045, -71.1171847 42.3690693, -71.1171559 42.3690457, -71.1170996 42.3689913, -71.1170451 42.3689373, -71.1170066 42.3688947, -71.1169689 42.3688503, -71.1169335 42.3688068, -71.1169026 42.3687644, -71.1168286 42.3686594, -71.1167567 42.3685543, -71.1166866 42.3684414, -71.1166269 42.3683344, -71.1165601 42.3682141, -71.116505 42.3681071, -71.1164472 42.3679881, -71.1164008 42.367885, -71.1163563 42.3677829)",US 3;MA 2,
524658932,False,4,Memorial Drive,primary,,30.2,False,86.835,,"LINESTRING (-71.1172831 42.3691584, -71.1173073 42.3691773, -71.1173333 42.3691959, -71.1173685 42.3692193, -71.1173932 42.3692355, -71.1174406 42.3692664, -71.1174928 42.3693011, -71.117548 42.3693353, -71.1176018 42.3693666, -71.1176582 42.3693976, -71.1177172 42.3694273, -71.1177761 42.369457, -71.1178356 42.3694843, -71.1178982 42.3695117, -71.1179561 42.3695348, -71.118014 42.3695565, -71.1180748 42.3695786, -71.1181455 42.3696011)",US 3;MA 2,
"[138788996, 947089814]",False,4,Memorial Drive,primary,,30.2,False,359.161,,"LINESTRING (-71.1181455 42.3696011, -71.1181945 42.3696164, -71.1182488 42.3696323, -71.1183281 42.3696528, -71.1184083 42.3696722, -71.118486 42.3696893, -71.1185646 42.3697059, -71.1186464 42.3697215, -71.1187304 42.3697366, -71.1188075 42.3697494, -71.1188868 42.3697617, -71.1189652 42.3697727, -71.119045 42.3697832, -71.119126 42.3697927, -71.11921 42.3698023, -71.1192878 42.3698096, -71.1193709 42.3698158, -71.1194583 42.3698217, -71.1195388 42.3698264, -71.1196219 42.3698305, -71.1197058 42.369834, -71.1197833 42.3698354, -71.1198646 42.3698358, -71.1199463 42.3698352, -71.1200304 42.369834, -71.1201115 42.3698316, -71.1201988 42.369828, -71.1202772 42.3698239, -71.1203572 42.3698193, -71.1204367 42.3698131, -71.1205248 42.369805, -71.1212386 42.3697331, -71.1214095 42.3697207, -71.1215663 42.3697148, -71.121644 42.3697134, -71.1217111 42.3697123, -71.121775 42.3697136, -71.1218432 42.3697159, -71.1218854 42.3697184, -71.1219218 42.3697204, -71.1219657 42.3697244, -71.1219996 42.3697271, -71.1220334 42.3697306, -71.1220768 42.3697354, -71.1221143 42.3697399, -71.1221516 42.369745, -71.1221895 42.3697508, -71.1222241 42.3697562, -71.1222501 42.3697608, -71.122279 42.3697666, -71.1223177 42.3697744, -71.1223607 42.3697836, -71.1224058 42.3697935, -71.1224552 42.3698047)",US 3;MA 2,
524658932,False,4,Memorial Drive,primary,,30.2,True,86.835,,"LINESTRING (-71.1181455 42.3696011, -71.1180748 42.3695786, -71.118014 42.3695565, -71.1179561 42.3695348, -71.1178982 42.3695117, -71.1178356 42.3694843, -71.1177761 42.369457, -71.1177172 42.3694273, -71.1176582 42.3693976, -71.1176018 42.3693666, -71.117548 42.3693353, -71.1174928 42.3693011, -71.1174406 42.3692664, -71.1173932 42.3692355, -71.1173685 42.3692193, -71.1173333 42.3691959, -71.1173073 42.3691773, -71.1172831 42.3691584)",US 3;MA 2,
1117857401,True,2,DeWolfe Street,tertiary,20 mph,11.6,False,13.67,,"LINESTRING (-71.1167685 42.3700117, -71.1168359 42.3698993)",,yes
138789002,False,4,Memorial Drive,primary,35 mph,30.2,False,172.143,,"LINESTRING (-71.1163563 42.3677829, -71.1164008 42.367885, -71.1164472 42.3679881, -71.116505 42.3681071, -71.1165601 42.3682141, -71.1166269 42.3683344, -71.1166866 42.3684414, -71.1167567 42.3685543, -71.1168286 42.3686594, -71.1169026 42.3687644, -71.1169335 42.3688068, -71.1169689 42.3688503, -71.1170066 42.3688947, -71.1170451 42.3689373, -71.1170996 42.3689913, -71.1171559 42.3690457, -71.1171847 42.3690693, -71.117223 42.3691045, -71.1172518 42.369131, -71.1172831 42.3691584)",US 3;MA 2,
387051958,True,4,,secondary,,15.2,False,194.377,,"LINESTRING (-71.1181748 42.3636406, -71.118145 42.363315, -71.1181336 42.3632084, -71.1181197 42.3630974, -71.1179366 42.3619017)",,
"[8652506, 8640387]",False,2,"['Rotterdam Street', 'Hague Street']",residential,25 mph,10.4,True,264.55799999999994,,"LINESTRING (-71.1230032 42.3637675, -71.1229951 42.3637019, -71.1229909 42.3636679, -71.122984 42.3636205, -71.1228831 42.3630557, -71.1229807 42.3630681, -71.1230261 42.3630738, -71.1230817 42.3630834, -71.1231562 42.3630971, -71.1232248 42.3631086, -71.1232931 42.363119, -71.1233646 42.3631274, -71.1234344 42.3631323, -71.123498 42.3631322, -71.1235639 42.3631295, -71.1236328 42.3631246, -71.1236994 42.3631161, -71.1237605 42.3631061, -71.1238212 42.3630952, -71.123894 42.3630777, -71.1239546 42.3630601, -71.1240118 42.3630411, -71.1240646 42.3630215, -71.1241348 42.3629925, -71.1241977 42.3629632, -71.1242605 42.3629313, -71.1243119 42.3629038, -71.1243545 42.3628759, -71.1243931 42.3628465, -71.1244311 42.3628152, -71.1244665 42.3627806, -71.124499 42.3627477, -71.1245272 42.3627158, -71.1245529 42.3626837, -71.1245819 42.3626425, -71.1246068 42.362604, -71.1246301 42.3625659, -71.1246879 42.3624432)",,
