osmid,bridge,name,highway,oneway,reversed,length,geometry
"[158762779, 17725867]",yes,South Main Street,unclassified,False,False,212.606,"LINESTRING (-88.4569803 46.755492, -88.4567738 46.755682, -88.4566092 46.7558525, -88.4564849 46.7559812, -88.4562831 46.7562113, -88.4560614 46.7566557, -88.4559292 46.7568279, -88.4557121 46.7569923, -88.4556604 46.7570315, -88.4555535 46.7571125)"
17728410,,Baraga Avenue,unclassified,False,False,120.016,"LINESTRING (-88.4555535 46.7571125, -88.4556539 46.7571848, -88.4562955 46.7576468, -88.4564424 46.7577525, -88.4564828 46.7577801, -88.456477 46.757818, -88.456364 46.757908)"
17728410,,Baraga Avenue,unclassified,False,True,105.03,"LINESTRING (-88.4555535 46.7571125, -88.4554484 46.7570439, -88.4545555 46.7564608)"
158762779,,South Main Street,unclassified,False,False,98.985,"LINESTRING (-88.4555535 46.7571125, -88.4547204 46.7576686, -88.4546228 46.7577337)"
"[158762779, 17725867]",yes,South Main Street,unclassified,False,True,212.606,"LINESTRING (-88.4555535 46.7571125, -88.4556604 46.7570315, -88.4557121 46.7569923, -88.4559292 46.7568279, -88.4560614 46.7566557, -88.4562831 46.7562113, -88.4564849 46.7559812, -88.4566092 46.7558525, -88.4567738 46.755682, -88.4569803 46.755492)"
17727293,,West Broad Street,unclassified,False,False,105.191,"LINESTRING (-88.4546228 46.7577337, -88.4547263 46.7578094, -88.455567 46.758424)"
17730550,,North Main Street,secondary,False,False,83.67,"LINESTRING (-88.4546228 46.7577337, -88.4545129 46.7578094, -88.4538481 46.7582671)"
17732393,,East Broad Street,secondary,False,True,104.364,"LINESTRING (-88.4546228 46.7577337, -88.4545295 46.7576711, -88.453644 46.757077)"
158762779,,South Main Street,unclassified,False,True,98.985,"LINESTRING (-88.4546228 46.7577337, -88.4547204 46.7576686, -88.4555535 46.7571125)"
17730550,,North Main Street,secondary,False,False,202.184,"LINESTRING (-88.4525247 46.7591818, -88.4507566 46.7605379)"
