osmid,oneway,highway,junction,reversed,length,geometry,lanes,ref,name,maxspeed
11714155,True,trunk_link,jughandle,False,161.308,"LINESTRING (-74.123428 40.075156, -74.123262 40.075194, -74.123093 40.075231, -74.122933 40.075246, -74.12282 40.075224, -74.122714 40.075173, -74.122638 40.075119, -74.122601 40.075053, -74.122605 40.074955, -74.122638 40.074885, -74.122685 40.074823, -74.122729 40.074798, -74.122824 40.074765, -74.122909 40.074746, -74.123063 40.074725, -74.123278 40.0747703)",,,,
11714500,True,residential,,False,53.653999999999996,"LINESTRING (-74.131331 40.067496, -74.1310991 40.0673506, -74.1309637 40.0673051, -74.1308468 40.0672838, -74.1307871 40.0672692)",,,,
319169804,True,trunk,,False,55.354,"LINESTRING (-74.131331 40.067496, -74.131244 40.067588, -74.1310817 40.0677986, -74.130989 40.067919)",5,NJ 70,,
11745474,True,primary,,False,144.915,"LINESTRING (-74.1318657 40.0705062, -74.131812 40.070344, -74.1317886 40.0703036, -74.131491 40.069789, -74.131438 40.069699, -74.1314214 40.0696759, -74.1313621 40.0695934, -74.131167 40.069322)",,NJ 88,Ocean Avenue,
24722497,False,tertiary,,True,107.357,"LINESTRING (-74.1318657 40.0705062, -74.1320484 40.070478, -74.1324101 40.0703365, -74.1324742 40.0703187, -74.132583 40.070276, -74.133016 40.07012)",,,Olden Street,
50978224,False,primary,,False,246.903,"LINESTRING (-74.1318657 40.0705062, -74.132067 40.070794, -74.1322147 40.0710381, -74.1323146 40.0712032, -74.1323937 40.071334, -74.1324453 40.0714193, -74.1327205 40.0718546, -74.133131 40.072504)",,NJ 88,Ocean Avenue,
60334191,False,primary,jughandle,False,129.94099999999997,"LINESTRING (-74.1318657 40.0705062, -74.1314758 40.0705916, -74.1312876 40.0706421, -74.1311584 40.0706678, -74.1311141 40.0706788, -74.1309108 40.0707291, -74.1307936 40.0707581, -74.130391 40.070793)",,,Olden Street,
60334191,False,primary,jughandle,False,61.736,"LINESTRING (-74.130391 40.070793, -74.129666 40.070772)",,,Olden Street,
60334191,False,primary,jughandle,True,129.94099999999997,"LINESTRING (-74.130391 40.070793, -74.1307936 40.0707581, -74.1309108 40.0707291, -74.1311141 40.0706788, -74.1311584 40.0706678, -74.1312876 40.0706421, -74.1314758 40.0705916, -74.1318657 40.0705062)",,,Olden Street,
60334191,False,primary,jughandle,True,61.736,"LINESTRING (-74.129666 40.070772, -74.130391 40.070793)",,,Olden Street,
60335338,False,primary,jughandle,False,15.748,"LINESTRING (-74.129666 40.070772, -74.129481 40.070776)",3,,Olden Street,
60335371,True,trunk,,False,168.30599999999998,"LINESTRING (-74.129666 40.070772, -74.1297695 40.0705334, -74.1299101 40.0702094, -74.129981 40.070046, -74.1299911 40.0700227, -74.1300839 40.0698093, -74.1301288 40.0697061, -74.130201 40.06954, -74.130302 40.069339)",3,NJ 70,,
60335338,False,primary,jughandle,True,15.748,"LINESTRING (-74.129481 40.070776, -74.129666 40.070772)",3,,Olden Street,
60335369,True,trunk,,False,29.576,"LINESTRING (-74.129481 40.070776, -74.129366 40.071027)",2,NJ 70,,
"[1050234171, 48113550]",True,trunk_link,jughandle,False,214.719,"LINESTRING (-74.129366 40.071027, -74.129123 40.071225, -74.129002 40.071308, -74.128895 40.071343, -74.128805 40.071343, -74.128732 40.071333, -74.128632 40.071302, -74.128524 40.071236, -74.128476 40.071184, -74.12846 40.071135, -74.128452 40.071108, -74.128448 40.071001, -74.128479 40.070945, -74.128531 40.070886, -74.128614 40.070838, -74.128704 40.070807, -74.128926 40.070786, -74.1291483 40.070782, -74.129481 40.070776)","['1', '2']",,,
