osmid,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,access,bridge,ref
5390393,Southwest Center Street,residential,False,False,72.548,"LINESTRING (-122.7671673 45.4340517, -122.7672348 45.4340231, -122.7673369 45.433972, -122.7678243 45.4337124, -122.7679204 45.4336699)",,,,,
"[5390393, 5391273, 425212855]","['Southwest 87th Avenue', 'Southwest Center Street']",residential,False,"[False, True]",156.36999999999998,"LINESTRING (-122.7671673 45.4340517, -122.7670997 45.4340739, -122.7669765 45.4341193, -122.7668588 45.4341627, -122.7662964 45.43437, -122.7661421 45.4340188, -122.7660257 45.4337537, -122.7659879 45.4336865)",,,,,
"[418730211, 418730212, 305365203]",Southwest Hall Boulevard,secondary,False,False,206.476,"LINESTRING (-122.7660883 45.4282881, -122.7661487 45.4282039, -122.7661802 45.4281327, -122.7661955 45.4280911, -122.7662119 45.4280463, -122.7662245 45.4279626, -122.7662267 45.4278662, -122.7662196 45.4277434, -122.7662096 45.4274497, -122.7662098 45.4273289, -122.7662148 45.4270161, -122.766218 45.4268106, -122.7662221 45.4265535, -122.7662139 45.426499, -122.7661981 45.4264497)",2,30 mph,,,
"[585581824, 5390317]",Southwest Commercial Street,residential,False,False,171.91500000000002,"LINESTRING (-122.7660883 45.4282881, -122.7661754 45.4283548, -122.7663482 45.4284842, -122.7667943 45.4288182, -122.7668406 45.4288528, -122.7669513 45.4289307, -122.7676183 45.4294002)","['3', '2']",,,,
5389190,Southwest 96th Place,residential,False,False,44.195,"LINESTRING (-122.7755793 45.4329864, -122.7753266 45.4333421)",,,permissive,,
425202912,Southwest Commercial Street,residential,False,False,35.234,"LINESTRING (-122.7755793 45.4329864, -122.7751787 45.4328402)",,,,,
425202912,Southwest Commercial Street,residential,False,True,61.818,"LINESTRING (-122.7755793 45.4329864, -122.7759039 45.4331012, -122.77629 45.433232)",,,,,
5389190,Southwest 96th Place,residential,False,True,44.195,"LINESTRING (-122.7753266 45.4333421, -122.7755793 45.4329864)",,,permissive,,
5389507,Southwest 98th Avenue,residential,False,False,23.555,"LINESTRING (-122.7779431 45.4344202, -122.7779325 45.4342085)",,,,,
5389507,Southwest 98th Avenue,residential,False,True,23.555,"LINESTRING (-122.7779325 45.4342085, -122.7779431 45.4344202)",,,,,
