osmid,oneway,lanes,name,highway,reversed,length,geometry,ref,bridge,junction,maxspeed
11590270,True,2,Walt Whitman Bridge Extension,motorway,False,459.067,"LINESTRING (-75.0982732 39.9011781, -75.0980517 39.9011637, -75.096814 39.9010689, -75.0965192 39.9010444, -75.096167 39.9010073, -75.09607 39.9009941, -75.0959863 39.9009809, -75.0957923 39.9009435, -75.095591 39.9008927, -75.095427 39.900842, -75.0952913 39.9007925, -75.0951603 39.900734, -75.094964 39.900641, -75.094829 39.900581, -75.094687 39.900489, -75.0943877 39.9002481, -75.0941838 39.9000177, -75.0939478 39.8997131, -75.0937815 39.8994703)",,,,
28660852,True,,,motorway_link,False,238.882,"LINESTRING (-75.0982732 39.9011781, -75.097979 39.901069, -75.097901 39.901032, -75.097821 39.900971, -75.097747 39.900894, -75.097704 39.900831, -75.097687 39.900736, -75.0977082 39.9006123, -75.097804 39.900475, -75.097976 39.900374, -75.098178 39.900328, -75.098303 39.90033, -75.098428 39.900357, -75.09855 39.900401, -75.098632 39.900445, -75.098682 39.900508, -75.098719 39.900571, -75.098764 39.900693, -75.098747 39.900917)",,,,
11589997,True,,,motorway_link,False,281.543,"LINESTRING (-75.097842 39.902054, -75.098326 39.901757, -75.098599 39.90167, -75.099013 39.901588, -75.099582 39.901504, -75.100953 39.901397)",,,,
"[1107047784, 41899417, 41899418, 1212673404]",True,3,Crescent Boulevard,trunk,False,787.807,"LINESTRING (-75.097842 39.902054, -75.098262 39.901617, -75.098636 39.9012343, -75.099036 39.900688, -75.0991883 39.9004632, -75.099405 39.900073, -75.0998091 39.8993635, -75.0999518 39.8990997, -75.100415 39.898132, -75.100427 39.8981, -75.1004745 39.8980067, -75.1005835 39.8977924, -75.100654 39.897654, -75.100673 39.897631, -75.100745 39.8974876, -75.1009356 39.8971083, -75.100998 39.896984, -75.1012599 39.896455, -75.1014 39.896172, -75.1015988 39.8957539, -75.101642 39.895663, -75.101657 39.89564)",US 130,yes,,
116535867,True,3,Black Horse Pike,primary,False,78.704,"LINESTRING (-75.0909211 39.893372, -75.0912028 39.894046)",NJ 168,,,
11590904,True,,,primary_link,False,31.348,"LINESTRING (-75.0909211 39.893372, -75.0909015 39.8934975, -75.0908846 39.8935554, -75.090859 39.893599, -75.0908294 39.8936417)",,,jughandle,
684179390,True,3,Black Horse Pike,primary,False,33.722,"LINESTRING (-75.0916328 39.8944638, -75.0915002 39.8941781)",NJ 168,,,
11590927,True,,,primary_link,False,41.296,"LINESTRING (-75.0916328 39.8944638, -75.0916702 39.8943534, -75.0917116 39.8943018, -75.091749 39.894268, -75.0918066 39.8942296, -75.0919126 39.8941828)",,,,
116535887,True,4,Black Horse Pike,primary,False,33.597,"LINESTRING (-75.0937815 39.8994703, -75.0936541 39.8991844)",NJ 168,,,
62004772,True,4,Black Horse Pike,primary,False,38.33,"LINESTRING (-75.0925799 39.8966841, -75.0924492 39.8963543)",NJ 168,,,
11590509,True,,,tertiary_link,False,39.048,"LINESTRING (-75.0925799 39.8966841, -75.092596 39.8965895, -75.092637 39.896534, -75.0927193 39.8964869, -75.0928602 39.8964533)",,,jughandle,
11590925,True,,,primary_link,False,42.928000000000004,"LINESTRING (-75.0908294 39.8936417, -75.0907874 39.8937601, -75.0907808 39.893809, -75.0907855 39.8938695, -75.0908158 39.8939415, -75.0908647 39.8940098)",,,jughandle,
684179388,True,3,Black Horse Pike,primary,False,60.938,"LINESTRING (-75.0914352 39.8945489, -75.0916357 39.8950749)",NJ 168,,,
684179387,True,2,,primary_link,False,83.447,"LINESTRING (-75.0914352 39.8945489, -75.0911552 39.8943569, -75.0910456 39.8942806, -75.0908945 39.8941934, -75.0906648 39.8940912)",,,,
116535940,True,3,Black Horse Pike,primary,False,80.045,"LINESTRING (-75.0921239 39.8956099, -75.0920224 39.8953599, -75.0918449 39.8949226)",NJ 168,,,
"[1043675938, 11590926]",True,"['1', '2']",,primary_link,False,132.558,"LINESTRING (-75.0921239 39.8956099, -75.0919093 39.8953301, -75.0918287 39.8951549, -75.0917806 39.8950502, -75.0916143 39.8947498, -75.0915499 39.8946592, -75.0914352 39.8945489)",,,,
11593571,False,,West Nicholson Road,secondary,False,134.868,"LINESTRING (-75.0919126 39.8941828, -75.093489 39.894274)",CR 635,,,
11596450,True,,West Nicholson Road,secondary,False,40.193,"LINESTRING (-75.0919126 39.8941828, -75.0914585 39.8940865)",CR 635,,,
510666949,True,3,Black Horse Pike,primary,False,74.872,"LINESTRING (-75.092154 39.896286, -75.0924307 39.896925)",NJ 168,,,
11591081,True,,,primary_link,False,91.287,"LINESTRING (-75.092154 39.896286, -75.092115 39.896454, -75.092086 39.896515, -75.091972 39.896654, -75.091933 39.896718, -75.091922 39.896832, -75.091953 39.897067)",,,jughandle,
317610540,True,3,Black Horse Pike,primary,False,141.742,"LINESTRING (-75.0916357 39.8950749, -75.091899 39.895694, -75.092154 39.896286)",NJ 168,,,
11591792,False,,Pennsylvania Avenue,residential,False,81.452,"LINESTRING (-75.09341 39.895004, -75.093489 39.894274)",,,,
11593756,False,,Marlborough Avenue,residential,False,73.481,"LINESTRING (-75.09341 39.895004, -75.094268 39.895062)",,,,
11593756,False,,Marlborough Avenue,residential,True,133.827,"LINESTRING (-75.09341 39.895004, -75.0922977 39.8949461, -75.0918449 39.8949226)",,,,
11591792,False,,Pennsylvania Avenue,residential,False,82.567,"LINESTRING (-75.093489 39.894274, -75.093569 39.893534)",,,,
11591792,False,,Pennsylvania Avenue,residential,True,81.452,"LINESTRING (-75.093489 39.894274, -75.09341 39.895004)",,,,
11593571,False,,West Nicholson Road,secondary,True,134.868,"LINESTRING (-75.093489 39.894274, -75.0919126 39.8941828)",CR 635,,,
11593571,False,,West Nicholson Road,secondary,False,195.541,"LINESTRING (-75.093489 39.894274, -75.093787 39.894294, -75.0942077 39.8943321, -75.0945681 39.8943646, -75.094937 39.894398, -75.095769 39.894452)",CR 635,,,
11591792,False,,Pennsylvania Avenue,residential,True,82.567,"LINESTRING (-75.093569 39.893534, -75.093489 39.894274)",,,,
11594202,False,,Wilson Avenue,residential,False,195.66199999999998,"LINESTRING (-75.093569 39.893534, -75.0946452 39.8936051, -75.095854 39.893685)",,,,
11594202,False,,Wilson Avenue,residential,True,205.22899999999998,"LINESTRING (-75.093569 39.893534, -75.0916959 39.8934188, -75.0911711 39.8933865)",,,,
11592189,False,,New York Avenue,residential,False,77.234,"LINESTRING (-75.098 39.89532, -75.098061 39.894627)",,,,
11592189,False,,New York Avenue,residential,True,61.661,"LINESTRING (-75.098 39.89532, -75.097975 39.8958742)",,,,
11593756,False,,Marlborough Avenue,residential,True,197.245,"LINESTRING (-75.098 39.89532, -75.095697 39.895163)",,,,
"[11597360, 11593756]",False,,"['Marlborough Avenue', 'Green Ridge Avenue']",residential,False,344.50100000000003,"LINESTRING (-75.098 39.89532, -75.099539 39.895418, -75.0997532 39.8954333, -75.101094 39.895529, -75.101133 39.895518, -75.101165 39.895464, -75.1011971 39.8948405)",,,,
11592189,False,,New York Avenue,residential,False,86.232,"LINESTRING (-75.098061 39.894627, -75.098157 39.893855)",,,,
11592189,False,,New York Avenue,residential,True,77.234,"LINESTRING (-75.098061 39.894627, -75.098 39.89532)",,,,
