osmid,name,highway,oneway,reversed,length,geometry,bridge,ref,lanes,maxspeed
16486129,North City Street,residential,False,False,167.487,"LINESTRING (-81.345847 35.242547, -81.34588 35.244053)",,,,
16486129,North City Street,residential,False,True,181.842,"LINESTRING (-81.345847 35.242547, -81.345806 35.240912)",,,,
"[16479421, 16477215]","['North Railroad Avenue', 'West Ridge Street']",residential,False,True,198.5,"LINESTRING (-81.345847 35.242547, -81.345638 35.242538, -81.345326 35.242536, -81.345098 35.242541, -81.34485 35.242533, -81.344751 35.242519, -81.344701 35.2425, -81.344634 35.24241, -81.344629 35.242297, -81.344634 35.242081, -81.344667 35.241673)",,,,
"[375464172, 375464173, 16478534]",,residential,False,False,39.908,"LINESTRING (-81.344667 35.241673, -81.3446063 35.2416663, -81.3443172 35.2416055, -81.3442379 35.2415994)",yes,,,
"[16479421, 16477215]","['North Railroad Avenue', 'West Ridge Street']",residential,False,False,198.5,"LINESTRING (-81.344667 35.241673, -81.344634 35.242081, -81.344629 35.242297, -81.344634 35.24241, -81.344701 35.2425, -81.344751 35.242519, -81.34485 35.242533, -81.345098 35.242541, -81.345326 35.242536, -81.345638 35.242538, -81.345847 35.242547)",,,,
16479421,North Railroad Avenue,residential,False,True,87.175,"LINESTRING (-81.344667 35.241673, -81.34467 35.24162, -81.344692 35.241502, -81.344763 35.241229, -81.344837 35.241028, -81.344873 35.240909)",,,,
16482935,North Battleground Avenue,secondary,False,False,114.93299999999999,"LINESTRING (-81.3442379 35.2415994, -81.3440891 35.2419576, -81.3439737 35.2421996, -81.3438638 35.2424231, -81.3437779 35.2425611)",,NC 216,,
16482935,North Battleground Avenue,secondary,False,True,77.944,"LINESTRING (-81.3442379 35.2415994, -81.3442875 35.2414154, -81.344317 35.241208, -81.344357 35.240906)",,NC 216,,
"[375464172, 375464173, 16478534]",,residential,False,True,39.908,"LINESTRING (-81.3442379 35.2415994, -81.3443172 35.2416055, -81.3446063 35.2416663, -81.344667 35.241673)",yes,,,
16478905,Virginia Street,residential,False,False,46.645,"LINESTRING (-81.3381113 35.2464497, -81.3386172 35.2463771)",,,,
16489119,Hill Street,residential,False,False,90.252,"LINESTRING (-81.3381113 35.2464497, -81.3381226 35.2472613)",,,,
"[16489120, 16489119]",Hill Street,residential,False,True,115.352,"LINESTRING (-81.3381113 35.2464497, -81.338116 35.246088, -81.337289 35.246069)",,,,
16478905,Virginia Street,residential,False,True,46.645,"LINESTRING (-81.3386172 35.2463771, -81.3381113 35.2464497)",,,,
16479291,North Carpenter Street,residential,False,False,182.36,"LINESTRING (-81.338338 35.240883, -81.338336 35.242523)",,,,
16485945,East King Street,primary,False,False,182.914,"LINESTRING (-81.338338 35.240883, -81.3391448 35.2408766, -81.3392869 35.2408755, -81.340352 35.240867)",,US 74 BUS,2,35 mph
16485945,East King Street,primary,False,True,179.646,"LINESTRING (-81.338338 35.240883, -81.3374805 35.2408753, -81.337226 35.240873, -81.3368381 35.2408699, -81.33636 35.240866)",,US 74 BUS,2,35 mph
16479291,North Carpenter Street,residential,False,True,182.36,"LINESTRING (-81.338336 35.242523, -81.338338 35.240883)",,,,
16487325,East Ridge Street,residential,False,False,182.357,"LINESTRING (-81.338336 35.242523, -81.340344 35.242528)",,,,
16479291,North Carpenter Street,residential,False,False,178.24599999999998,"LINESTRING (-81.338336 35.242523, -81.3383354 35.2432573, -81.338335 35.243683, -81.338335 35.244126)",,,,
16487325,East Ridge Street,residential,False,True,180.723,"LINESTRING (-81.338336 35.242523, -81.3376044 35.2425209, -81.336919 35.242519, -81.336346 35.242517)",,,,
16479291,North Carpenter Street,residential,False,False,137.473,"LINESTRING (-81.338335 35.244126, -81.3382832 35.2453616)",,,,
16490302,East Parker Street,residential,False,False,181.818,"LINESTRING (-81.338335 35.244126, -81.340337 35.244143)",,,,
16490302,East Parker Street,residential,False,True,182.012,"LINESTRING (-81.338335 35.244126, -81.336331 35.2441)",,,,
16479291,North Carpenter Street,residential,False,True,178.24599999999998,"LINESTRING (-81.338335 35.244126, -81.338335 35.243683, -81.3383354 35.2432573, -81.338336 35.242523)",,,,
16479291,North Carpenter Street,residential,False,True,137.473,"LINESTRING (-81.3382832 35.2453616, -81.338335 35.244126)",,,,
320325717,West King Street,primary,False,True,84.733,"LINESTRING (-81.344873 35.240909, -81.345806 35.240912)",,US 74 BUS,2,35 mph
16479421,North Railroad Avenue,residential,False,False,87.17500000000001,"LINESTRING (-81.344873 35.240909, -81.344837 35.241028, -81.344763 35.241229, -81.344692 35.241502, -81.34467 35.24162, -81.344667 35.241673)",,,,
"[375464170, 375464171, 320325717]",West King Street,primary,False,False,46.870000000000005,"LINESTRING (-81.344873 35.240909, -81.3448083 35.2409112, -81.3444204 35.2409067, -81.344357 35.240906)",yes,US 74 BUS,2,35 mph
16485945,East King Street,primary,False,True,184.372,"LINESTRING (-81.342382 35.240887, -81.3414022 35.2408773, -81.3412496 35.2408758, -81.3409982 35.2408734, -81.3409092 35.2408725, -81.340352 35.240867)",,US 74 BUS,2,35 mph
16492153,North Piedmont Avenue,residential,False,False,183.162,"LINESTRING (-81.342382 35.240887, -81.3423775 35.2411193, -81.34235 35.242534)",,,,
