osmid,ref,highway,maxspeed,oneway,reversed,length,lanes,name,geometry,junction,bridge
477869691,A8,primary_link,40 mph,False,True,18.13,,,"LINESTRING (-4.1150213 55.855287, -4.1151368 55.8551374)",,
4856733,A8,primary,40 mph,True,False,264.057,3,Edinburgh Road,"LINESTRING (-4.1150213 55.855287, -4.1118045 55.8545032, -4.1111469 55.8543332)",,
60310266,A8,primary,40 mph,True,False,215.634,3,Edinburgh Road,"LINESTRING (-4.1119713 55.8543604, -4.1151368 55.8551374)",,
80343103,,residential,30 mph,False,False,113.376,,Greenshields Road,"LINESTRING (-4.1119713 55.8543604, -4.1127084 55.8534285)",,
26304105,,tertiary,30 mph,False,False,51.835,2,Easterhouse Road,"LINESTRING (-4.1073781 55.8573555, -4.107506 55.8570856, -4.1075916 55.856905)",,
1150445671,,tertiary,30 mph,True,False,18.859,,,"LINESTRING (-4.1073781 55.8573555, -4.1074356 55.8573659, -4.1074847 55.8573857, -4.1075207 55.857413, -4.1075401 55.8574451, -4.1075411 55.857479)",roundabout,
477869687,A8,primary_link,40 mph,False,False,18.875,2,,"LINESTRING (-4.1111469 55.8543332, -4.1112764 55.8541798)",,
26304105,,tertiary,30 mph,False,True,199.46200000000002,2,Easterhouse Road,"LINESTRING (-4.1111469 55.8543332, -4.1109388 55.8545526, -4.1104194 55.854948, -4.1097152 55.8553773, -4.1093802 55.8555731, -4.1091346 55.8557166)",,
60310264,A8,primary,40 mph,True,False,173.867,3,Edinburgh Road,"LINESTRING (-4.1111469 55.8543332, -4.1096109 55.8538392, -4.1087298 55.8535559)",,
60310266,A8,primary,40 mph,True,False,47.795,3,Edinburgh Road,"LINESTRING (-4.1112764 55.8541798, -4.1119713 55.8543604)",,
477869687,A8,primary_link,40 mph,False,True,18.875,2,,"LINESTRING (-4.1112764 55.8541798, -4.1111469 55.8543332)",,
60310276,,tertiary,30 mph,False,False,70.723,2,Easterhouse Road,"LINESTRING (-4.107897 55.8611077, -4.1077665 55.8604759)",,
193910680,,tertiary,30 mph,True,False,117.27600000000001,1,Springhill Parkway,"LINESTRING (-4.107897 55.8611077, -4.1081917 55.861089, -4.1091619 55.8613185, -4.109341 55.8613424, -4.1095309 55.861334, -4.1096638 55.8612889)",,
62150247,,tertiary,30 mph,True,False,119.61800000000001,1,Springhill Parkway,"LINESTRING (-4.1098825 55.8612335, -4.1101163 55.8611738, -4.1103251 55.8611121, -4.1106573 55.8609406, -4.1109526 55.8607473, -4.1112542 55.8605103)",,
382231928,,tertiary,30 mph,True,False,20.915,,Springhill Parkway,"LINESTRING (-4.1098825 55.8612335, -4.109964 55.8612446, -4.1100345 55.86127, -4.1100864 55.8613069, -4.1101139 55.8613513)",roundabout,
382231928,,tertiary,30 mph,True,False,31.218999999999998,,Springhill Parkway,"LINESTRING (-4.110114 55.8613984, -4.1100867 55.8614428, -4.110035 55.8614798, -4.1099645 55.8615053, -4.1098831 55.8615165, -4.1098009 55.8615123, -4.1097255 55.8614934)",roundabout,
60297481,,residential,30 mph,False,False,16.196,,Bannercross Drive,"LINESTRING (-4.1217249 55.8558079, -4.1214799 55.8557599)",,
60297481,,residential,30 mph,False,True,66.577,,Bannercross Drive,"LINESTRING (-4.1217249 55.8558079, -4.1221645 55.8558903, -4.1227583 55.8559501)",,
