osmid,lanes,name,highway,width,oneway,reversed,length,geometry,ref,bridge,junction,access
9046369,2,Orchard Street,residential,11.6,False,False,75.09,"LINESTRING (-70.9341637 42.8589392, -70.93423 42.859054, -70.934367 42.859309, -70.934475 42.859574)",,,,
9046454,2,High Street,residential,11.0,False,False,87.965,"LINESTRING (-70.9341637 42.8589392, -70.9341023 42.8589392, -70.9340374 42.8589315, -70.933958 42.8589153, -70.9332361 42.8587502, -70.9331267 42.8587283)",,,,
9046454,2,High Street,residential,11.0,False,True,132.359,"LINESTRING (-70.9341637 42.8589392, -70.934592 42.858872, -70.935211 42.858796, -70.935761 42.858726)",,,,
9046543,2,Dennett Street,residential,11.0,False,True,65.232,"LINESTRING (-70.9341637 42.8589392, -70.934131 42.858785, -70.934026 42.858479, -70.9339704 42.8583714)",,,,
9046689,2,Clark Street,residential,9.1,True,False,110.799,"LINESTRING (-70.929635 42.859111, -70.929324 42.85903, -70.928942 42.858954, -70.928412 42.858831, -70.928338 42.858814)",,,,
301654162,2,Market Street,secondary,12.2,False,False,52.616,"LINESTRING (-70.929635 42.859111, -70.929525 42.85941, -70.929497 42.859506, -70.929488 42.859571)",MA 150,,,
301654162,2,Market Street,secondary,12.2,False,True,59.816,"LINESTRING (-70.929635 42.859111, -70.929643 42.859088, -70.9297327 42.8588474, -70.929828 42.858592)",MA 150,,,
9045719,2,Pond Street,residential,12.2,False,True,52.516999999999996,"LINESTRING (-70.9331267 42.8587283, -70.9331673 42.8585856, -70.9332636 42.8582668)",,,,
9046454,2,High Street,residential,11.0,False,False,66.424,"LINESTRING (-70.9331267 42.8587283, -70.932787 42.858607, -70.932377 42.858496)",,,,
9046454,2,High Street,residential,11.0,False,True,87.965,"LINESTRING (-70.9331267 42.8587283, -70.9332361 42.8587502, -70.933958 42.8589153, -70.9340374 42.8589315, -70.9341023 42.8589392, -70.9341637 42.8589392)",,,,
9046531,2,Winter Street,residential,9.1,False,False,220.383,"LINESTRING (-70.9331267 42.8587283, -70.933107 42.858889, -70.93311 42.859069, -70.933223 42.859265, -70.934179 42.860509)",,,,
9045831,2,School Street,tertiary,15.2,False,True,44.678,"LINESTRING (-70.9339406 42.8558461, -70.9338592 42.8556317, -70.9338092 42.855529, -70.933773 42.855464)",,,,
277202898,,School Street,tertiary,15.2,True,False,28.110000000000003,"LINESTRING (-70.9339406 42.8558461, -70.9339363 42.8559047, -70.9339559 42.8559932, -70.9339559 42.8560473, -70.9339506 42.8560975)",,,,
9046531,2,Winter Street,residential,9.1,False,True,220.383,"LINESTRING (-70.934179 42.860509, -70.933223 42.859265, -70.93311 42.859069, -70.933107 42.858889, -70.9331267 42.8587283)",,,,
9046586,2,Chester Street,residential,8.5,False,False,90.072,"LINESTRING (-70.934179 42.860509, -70.934026 42.860584, -70.9337736 42.8606941, -70.933721 42.860717, -70.933305 42.860874, -70.933217 42.860906)",,,,
9046586,2,Chester Street,residential,8.5,False,True,55.771,"LINESTRING (-70.934179 42.860509, -70.934423 42.860411, -70.934673 42.860317, -70.934788 42.860281)",,,,
9045826,2,Pickard Street,residential,12.2,False,False,88.399,"LINESTRING (-70.935142 42.855085, -70.935248 42.855286, -70.935509 42.855833)",,,,
9046334,2,Pleasant Street,residential,7.9,False,False,119.285,"LINESTRING (-70.935142 42.855085, -70.93479 42.855182, -70.933773 42.855464)",,,,
9046447,2,R Street,residential,12.2,False,False,30.844,"LINESTRING (-70.927661 42.859613, -70.927658 42.859608, -70.9275926 42.8595538, -70.9274886 42.8594925, -70.927377 42.859432)",,,,
9046447,2,R Street,residential,12.2,False,True,69.652,"LINESTRING (-70.927661 42.859613, -70.927718 42.8597, -70.927791 42.859895, -70.927861 42.860104, -70.927882 42.8602154)",,,,
9046601,1,Gales Court,residential,9.1,False,True,149.817,"LINESTRING (-70.927661 42.859613, -70.927813 42.859625, -70.928059 42.859666, -70.928361 42.859744, -70.928536 42.85978, -70.928842 42.859827, -70.929458 42.859866)",,,,
9046454,2,High Street,residential,11.0,False,False,21.683,"LINESTRING (-70.930884 42.858366, -70.930628 42.858313)",,,,
9045753,1,Union Street,residential,6.1,False,False,124.9,"LINESTRING (-70.930884 42.858366, -70.930831 42.859011, -70.930823 42.859305, -70.930786 42.859486)",,,,
9046454,2,High Street,residential,11.0,False,True,54.318999999999996,"LINESTRING (-70.930884 42.858366, -70.931314 42.858398, -70.931548 42.858405)",,,,
9045743,2,Field Street,residential,10.4,False,False,86.009,"LINESTRING (-70.929458 42.853506, -70.928429 42.853677)",,,,
"[9046337, 697453059, 9045743]",2,"['Heritage Vale Street', 'Naysons Court', 'Field Street']",residential,"['10.4', '11.0']",False,True,364.0130000000001,"LINESTRING (-70.929458 42.853506, -70.929467 42.853505, -70.929964 42.853407, -70.93063 42.853276, -70.930826 42.853258, -70.930954 42.853277, -70.931082 42.853325, -70.931196 42.853383, -70.931262 42.853427, -70.931314 42.853479, -70.931411 42.853614, -70.931579 42.853846, -70.931708 42.85401, -70.9318516 42.8542021, -70.931885 42.854229, -70.932126 42.85449, -70.932325 42.854708, -70.932464 42.854857, -70.9326169 42.8550087)",,,,
9046657,2,Horton Street,residential,9.1,False,False,218.309,"LINESTRING (-70.929458 42.853506, -70.929813 42.853768, -70.930406 42.854189, -70.9304368 42.8542133, -70.93069 42.854413, -70.930728 42.854462, -70.930729 42.854498, -70.930679 42.854534, -70.930499 42.854665, -70.930157 42.854914)",,,,
