osmid,lanes,name,highway,width,oneway,reversed,length,geometry,maxspeed,ref,bridge,junction
9135524,2,Merriam Parkway,residential,10.7,False,True,83.92699999999999,"LINESTRING (-71.8043845 42.5869674, -71.804482 42.586932, -71.8048056 42.5868064, -71.804884 42.586776, -71.8050747 42.5867175, -71.8052252 42.5866683, -71.8053039 42.586635)",,,,
9136436,1,Merriam Parkway,residential,7.6,True,False,86.239,"LINESTRING (-71.8043845 42.5869674, -71.8044195 42.5870654, -71.8044855 42.5871054, -71.804753 42.587162, -71.805002 42.58722, -71.805286 42.587266)",,,,
9136206,2,Chestnut Street,residential,8.5,False,True,69.025,"LINESTRING (-71.807968 42.589051, -71.8082173 42.588458)",,,,
432009672,2,Academy Street,secondary,12.2,False,True,11.172,"LINESTRING (-71.8024659 42.5864566, -71.8025893 42.5864137)",,,,
9135198,2,Academy Street,residential,12.2,False,False,73.967,"LINESTRING (-71.8024659 42.5864566, -71.80233 42.586481, -71.8018892 42.5866192, -71.8018542 42.5866278, -71.801813 42.5866297, -71.801767 42.5866244, -71.801714 42.586613, -71.8016159 42.5865864)",,,,
9136936,2,High Street,secondary,12.2,False,False,61.961,"LINESTRING (-71.8024659 42.5864566, -71.8024024 42.5865848, -71.8023524 42.5866727, -71.8021929 42.5868965, -71.8021575 42.5869644)",,,,
9136891,2,Fox Street,residential,12.2,True,False,75.008,"LINESTRING (-71.8004629 42.5833213, -71.8001834 42.5839637)",,,,
9136464,2,Main Street,primary,16.8,False,False,54.536,"LINESTRING (-71.8004629 42.5833213, -71.8005345 42.5833375, -71.8010675 42.5834581, -71.8010996 42.5834654)",20 mph,,,
9136464,2,Main Street,primary,16.8,False,True,54.799,"LINESTRING (-71.8004629 42.5833213, -71.8003578 42.5832935, -71.7999067 42.5831855, -71.7998275 42.5831665)",20 mph,,,
9135520,2,Bond Street,residential,12.2,False,False,52.394,"LINESTRING (-71.809173 42.5886884, -71.808995 42.589141)",,,,
9135520,2,Bond Street,residential,12.2,False,True,72.506,"LINESTRING (-71.809173 42.5886884, -71.8093963 42.5880574)",,,,
