osmid,oneway,lanes,highway,maxspeed,reversed,length,geometry
344883054,True,2,tertiary,50,False,12.405,"LINESTRING (22.5190898 40.7536601, 22.5191885 40.7537429)"
161846601,False,2,tertiary,60,False,26.454,"LINESTRING (22.5190898 40.7536601, 22.5191463 40.7536423, 22.519225 40.7536169, 22.5193753 40.7535612)"
45191858,False,,residential,,True,7.513,"LINESTRING (22.5227457 40.7578065, 22.5228074 40.7577577)"
344883055,True,2,tertiary,50,False,188.298,"LINESTRING (22.5227457 40.7578065, 22.522094 40.757083, 22.5217527 40.7567041, 22.5214796 40.7564109)"
161846586,False,,residential,,True,7.759,"LINESTRING (22.5214796 40.7564109, 22.5215559 40.7563718)"
"[161905707, 344883055]",True,2,tertiary,50,False,368.337,"LINESTRING (22.5214796 40.7564109, 22.5210433 40.7559261, 22.5191007 40.7537754, 22.519074 40.753714, 22.5190898 40.7536601)"
161846586,False,,residential,,False,147.011,"LINESTRING (22.5215396 40.7550543, 22.5215797 40.7558509, 22.5215957 40.7562284, 22.5215877 40.7562914, 22.5215559 40.7563718)"
45191858,False,,residential,,False,7.513,"LINESTRING (22.5228074 40.7577577, 22.5227457 40.7578065)"
161905705,True,2,tertiary,50,False,44.676,"LINESTRING (22.5228074 40.7577577, 22.52302 40.7580025, 22.5231014 40.7580921)"
"[161905705, 344883054]",True,2,tertiary,50,False,353.906,"LINESTRING (22.5191885 40.7537429, 22.5199959 40.7545962, 22.5211169 40.7558764, 22.5215559 40.7563718)"
161846587,True,1,tertiary,50,False,25.919,"LINESTRING (22.5193753 40.7535612, 22.5192616 40.7536586, 22.519206 40.7537038, 22.5191885 40.7537429)"
161846601,False,2,tertiary,60,True,26.454,"LINESTRING (22.5193753 40.7535612, 22.519225 40.7536169, 22.5191463 40.7536423, 22.5190898 40.7536601)"
161846586,False,,residential,,False,7.759,"LINESTRING (22.5215559 40.7563718, 22.5214796 40.7564109)"
161846586,False,,residential,,True,147.011,"LINESTRING (22.5215559 40.7563718, 22.5215877 40.7562914, 22.5215957 40.7562284, 22.5215797 40.7558509, 22.5215396 40.7550543)"
161905705,True,2,tertiary,50,False,96.856,"LINESTRING (22.5215559 40.7563718, 22.5216334 40.7564552, 22.5222071 40.7570897)"
268560398,False,,residential,,False,8.792,"LINESTRING (22.5231014 40.7580921, 22.5230636 40.7581658)"
268560398,False,,residential,,True,8.792,"LINESTRING (22.5230636 40.7581658, 22.5231014 40.7580921)"
344883055,True,2,tertiary,50,False,48.095,"LINESTRING (22.5230636 40.7581658, 22.5227457 40.7578065)"
161905705,True,2,tertiary,50,False,89.854,"LINESTRING (22.5222071 40.7570897, 22.5228074 40.7577577)"
1236401401,False,,residential,,False,43.79,"LINESTRING (22.5222071 40.7570897, 22.5226562 40.7568913)"
1236401401,False,,residential,,True,43.79,"LINESTRING (22.5226562 40.7568913, 22.5222071 40.7570897)"
