osmid,oneway,lanes,highway,reversed,length,geometry,name,maxspeed,ref,bridge
20587310,True,1,secondary_link,False,129.364,"LINESTRING (-76.4291268 36.9806262, -76.4295185 36.9806035, -76.4295559 36.9806084, -76.4296325 36.980627, -76.4297029 36.9806572, -76.4297709 36.9807056, -76.4298167 36.980755, -76.429854 36.980833, -76.4298687 36.9808894, -76.4298699 36.9809554, -76.4298638 36.9809875, -76.4298569 36.9810123, -76.4298528 36.981024, -76.4298286 36.981066, -76.4298058 36.9810953, -76.4297719 36.9811305, -76.429623 36.98123)",,,,
497525499,False,4,secondary,False,61.952,"LINESTRING (-76.4291268 36.9806262, -76.4293265 36.9805428, -76.4294146 36.9804983, -76.4295799 36.9804197, -76.4296657 36.9803858, -76.4297439 36.9803732)",28th Street,30 mph,,
135996311,True,2,secondary,False,152.129,"LINESTRING (-76.429623 36.98123, -76.4293799 36.9813267, -76.4293246 36.9813487, -76.4292821 36.9813656, -76.4286917 36.9816006, -76.4281671 36.9818093, -76.42809 36.98184)",29th Street,25 mph,,
20587984,True,2,primary_link,False,82.18799999999999,"LINESTRING (-76.4280917 36.9776453, -76.4279926 36.9775809, -76.4279701 36.9775416, -76.4279537 36.9775183, -76.427926 36.977492, -76.427897 36.9774709, -76.427844 36.9774472, -76.4278183 36.9774407, -76.4277807 36.977437, -76.4277337 36.9774369, -76.4276905 36.9774431, -76.4276405 36.977455, -76.4275544 36.977484, -76.4273085 36.9775642)",,25 mph,US 60,
51104967,True,1,primary,False,43.602,"LINESTRING (-76.4280917 36.9776453, -76.4280442 36.9775652, -76.4279251 36.9773778, -76.4278898 36.9773223, -76.4278722 36.9772946)",Huntington Avenue,25 mph,,
228397006,True,1,primary_link,False,62.12000000000001,"LINESTRING (-76.4280917 36.9776453, -76.4280813 36.9775795, -76.4280775 36.9775535, -76.4280326 36.9774816, -76.4280091 36.9774441, -76.4279943 36.9774116, -76.4279931 36.97738, -76.4279963 36.97736, -76.427998 36.9773495, -76.4280048 36.9773292, -76.4280084 36.9773186, -76.428038 36.9772871, -76.4282054 36.9771734)",,25 mph,,
"[51104962, 692049499]",True,3,primary,False,179.32799999999997,"LINESTRING (-76.4273085 36.9775642, -76.4271841 36.9776239, -76.4270544 36.9776937, -76.4268898 36.9777915, -76.4267309 36.9778924, -76.4265564 36.9780145, -76.4264001 36.9781381, -76.4262655 36.9782528, -76.4261524 36.9783581, -76.4260251 36.9784798, -76.4258243 36.978645)",25th Street,25 mph,US 60,yes
135996307,False,4,unclassified,True,102.43499999999999,"LINESTRING (-76.425456 36.979514, -76.425497 36.979552, -76.425539 36.979575, -76.425598 36.979593, -76.425661 36.979597, -76.425723 36.979587, -76.426353 36.9793402, -76.4264078 36.9793187, -76.426486 36.979288)",25th Street,25 mph,,
38253706,True,3,primary,False,68.787,"LINESTRING (-76.4258243 36.978645, -76.4256153 36.978808, -76.4255034 36.9788727, -76.4253654 36.9789453, -76.4252124 36.9790194)",25th Street,25 mph,US 60,yes
20593495,True,1,primary,False,58.614,"LINESTRING (-76.4278722 36.9772946, -76.4275216 36.9774343, -76.4273085 36.9775642)",25th Street,25 mph,,
"[51463432, 120375130, 51107823]",True,"['1', '3']",tertiary,False,339.962,"LINESTRING (-76.4278722 36.9772946, -76.4278216 36.9772803, -76.4277495 36.9772869, -76.4276837 36.9773078, -76.427483 36.9773913, -76.4272667 36.9774789, -76.4264335 36.9778, -76.426213 36.977885, -76.426154 36.977913, -76.426064 36.977969, -76.426001 36.978021, -76.425983 36.978049, -76.42596 36.978102, -76.425944 36.978138, -76.425932 36.9782, -76.425931 36.978279, -76.425948 36.978356, -76.4260954 36.978626, -76.4261795 36.9787918, -76.4262514 36.9789083, -76.426486 36.979288)","['23rd Street', 'Warwick Boulevard']","['45 mph', '25 mph']",,
20593502,False,,tertiary,True,176.34699999999998,"LINESTRING (-76.4303573 36.9777464, -76.4304661 36.9777056, -76.4311674 36.9774286, -76.4314913 36.9773014, -76.4319906 36.9771052, -76.432049 36.9770822, -76.432139 36.977047)",25th Street,,,
51104964,False,2,tertiary,False,177.20899999999997,"LINESTRING (-76.4303573 36.9777464, -76.4302529 36.9777877, -76.4299923 36.9778921, -76.428665 36.9784153, -76.428568 36.978451)",25th Street,25 mph,,
