osmid,lanes,name,highway,maxspeed,oneway,reversed,length,bridge,geometry,access
43046013,2,Water Street,secondary,50,False,True,111.889,,"LINESTRING (-81.1434883 43.2592768, -81.1432888 43.2582811)",
685162101,2,Queen Street East,secondary,50,False,False,110.992,,"LINESTRING (-81.1434883 43.2592768, -81.142131 43.2594157)",
"[363440809, 28234955, 28234956]",2,Queen Street West,secondary,50,False,True,159.21,yes,"LINESTRING (-81.1434883 43.2592768, -81.1438915 43.2592337, -81.144063 43.2592153, -81.1441471 43.2592079, -81.1448911 43.2591569, -81.1454386 43.2590993)",
"[28328624, 28328620, 293775685, 28328623]","['1', '2']",Water Street,residential,20,False,False,168.384,trestle,"LINESTRING (-81.1434883 43.2592768, -81.1436876 43.2602397, -81.1436985 43.2602897, -81.1437652 43.2605834, -81.1438189 43.2607716)",
28228249,2,Water Street,secondary,50,False,True,174.283,,"LINESTRING (-81.1438689 43.2551213, -81.1447875 43.2537039)",
28328635,,Park Street,residential,,False,False,97.332,,"LINESTRING (-81.1438689 43.2551213, -81.1427954 43.2547277)",
43046016,2,Park Street,tertiary,,False,False,74.477,,"LINESTRING (-81.1438689 43.2551213, -81.1446878 43.2554261)",
28228249,2,Water Street,secondary,50,False,False,252.35199999999998,,"LINESTRING (-81.1438689 43.2551213, -81.1436616 43.2554463, -81.1430766 43.2563661, -81.1429992 43.2565668, -81.1429845 43.2567913, -81.14307 43.2572513)",
28327684,2,Wellington Street,secondary,50,False,True,39.856,,"LINESTRING (-81.1425177 43.2612982, -81.1424459 43.2609436)",
28327684,2,Wellington Street,secondary,50,False,False,39.856,,"LINESTRING (-81.1424459 43.2609436, -81.1425177 43.2612982)",
"[28327682, 28327683, 28327684]",2,Wellington Street,secondary,50,False,True,171.811,yes,"LINESTRING (-81.1424459 43.2609436, -81.1424255 43.2608573, -81.142352 43.2605435, -81.1423451 43.2605079, -81.1422325 43.2599274, -81.142131 43.2594157)",
28328622,2,Parkview Drive,residential,,False,True,112.863,,"LINESTRING (-81.1424459 43.2609436, -81.1432128 43.2608325, -81.1432601 43.2608278, -81.1438189 43.2607716)",
293785039,2,Church Street,residential,,False,False,115.513,,"LINESTRING (-81.1407721 43.2595587, -81.1405638 43.258531)",
685162101,2,Queen Street East,secondary,50,False,True,111.185,,"LINESTRING (-81.1407721 43.2595587, -81.142131 43.2594157)",
293785043,2,Queen Street East,secondary,50,False,False,112.49,,"LINESTRING (-81.1407721 43.2595587, -81.1404054 43.2595913, -81.1400913 43.2596236, -81.1400193 43.259631, -81.1393957 43.2596951)",
28328635,,Park Street,residential,,False,True,92.385,,"LINESTRING (-81.1417825 43.2543455, -81.1427954 43.2547277)",
199029954,2,Church Street,residential,,False,False,170.053,,"LINESTRING (-81.1417825 43.2543455, -81.1427129 43.2529745)",
199029954,2,Church Street,residential,,False,True,229.247,,"LINESTRING (-81.1417825 43.2543455, -81.140519 43.2561904)",
28328635,,Park Street,residential,,False,False,102.31099999999999,,"LINESTRING (-81.1417825 43.2543455, -81.1413284 43.2541823, -81.1410607 43.2540913, -81.1408851 43.254038, -81.1406235 43.2539857)",
28328636,,George Street,residential,50,False,False,131.006,,"LINESTRING (-81.1406235 43.2539857, -81.1412559 43.2529013)",
28328635,,Park Street,residential,,False,True,102.31099999999999,,"LINESTRING (-81.1406235 43.2539857, -81.1408851 43.254038, -81.1410607 43.2540913, -81.1413284 43.2541823, -81.1417825 43.2543455)",
28328640,,Park Street,residential,,False,True,84.38399999999999,,"LINESTRING (-81.1406235 43.2539857, -81.140116 43.2539827, -81.1395832 43.2540131)",
289488994,2,James Street South,secondary,50,False,False,29.921,,"LINESTRING (-81.1362778 43.2564877, -81.1363237 43.2567547)",
28328638,2,Elizabeth Street,residential,,False,False,95.571,,"LINESTRING (-81.1362778 43.2564877, -81.1368735 43.2564322, -81.1374443 43.256359)",
289488994,2,James Street South,secondary,50,False,True,426.94,,"LINESTRING (-81.1362778 43.2564877, -81.136188 43.2560786, -81.1355121 43.2526889)",
