osmid,oneway,name,highway,maxspeed,reversed,length,geometry,lanes,bridge,width,access,junction
52298118,True,Rue Graumann,residential,30,False,63.88099999999999,"LINESTRING (7.7478666 48.5889099, 7.7477768 48.5888828, 7.7477349 48.5888709, 7.7474601 48.588792, 7.747232 48.5887263, 7.7471631 48.5887065, 7.7470745 48.5886748)",,,,,
"[9896713, 973614522, 973614523, 104687517]",True,"['Rue Finkmatt', 'Rue Saint-Léon']",residential,30,False,138.243,"LINESTRING (7.7478666 48.5889099, 7.7480711 48.5886105, 7.7480876 48.5885861, 7.7481187 48.5885419, 7.7481449 48.5885174, 7.7481773 48.588506, 7.7482221 48.588505, 7.748261 48.5885152, 7.7482937 48.5885305, 7.7483234 48.5885464, 7.7483641 48.5885682, 7.7486892 48.5887402, 7.7487513 48.5887726, 7.7488957 48.5888474, 7.7489529 48.5888761, 7.7490687 48.588933, 7.7491201 48.5889687)",,,,,
"[238562946, 8416086]",True,Quai Finkmatt,tertiary,,False,114.905,"LINESTRING (7.7479436 48.5873792, 7.7466297 48.5870276, 7.7465813 48.5870145, 7.7464944 48.5869934)",2,,,,
21428607,True,Rue du Fossé des Treize,residential,30,False,157.623,"LINESTRING (7.7479436 48.5873792, 7.7479125 48.5874299, 7.7478956 48.5874514, 7.7471241 48.5886064, 7.7470934 48.5886489, 7.7470745 48.5886748)",,,,,
8416086,True,Quai Finkmatt,tertiary,,False,46.537,"LINESTRING (7.7485618 48.5874597, 7.7484003 48.5874515, 7.7481972 48.5874295, 7.7480771 48.5874088, 7.7479436 48.5873792)",2,,,,
"[8416088, 15721001, 238562948, 8416087]",False,Pont de la Fonderie,living_street,20,False,57.335,"LINESTRING (7.7485618 48.5874597, 7.7485426 48.5873666, 7.748552 48.587343, 7.7486953 48.5870414, 7.7487532 48.5869699)",,yes,,,
"[15712944, 973614521, 15720087]",False,Rue du Général de Castelnau,tertiary,"['50', '30']","[False, True]",118.712,"LINESTRING (7.7485618 48.5874597, 7.7485737 48.5875256, 7.7485767 48.5875425, 7.7485853 48.5875676, 7.7486147 48.5877272, 7.7486397 48.5877728, 7.7486921 48.5878118, 7.7494803 48.5882744)",2,,,,
15720085,False,Rue de la Fonderie,living_street,20,False,45.757999999999996,"LINESTRING (7.7487532 48.5869699, 7.7488283 48.5868999, 7.7488821 48.5868483, 7.7491102 48.5866329)",2,,11.8,,
"[8416088, 15721001, 238562948, 8416087]",False,Pont de la Fonderie,living_street,20,True,57.335,"LINESTRING (7.7487532 48.5869699, 7.7486953 48.5870414, 7.748552 48.587343, 7.7485426 48.5873666, 7.7485618 48.5874597)",,yes,,,
1022173044,True,Quai Schoepflin,living_street,20,False,47.971000000000004,"LINESTRING (7.7487532 48.5869699, 7.7489687 48.5869404, 7.7493972 48.5869035)",,,,,
15720085,False,Rue de la Fonderie,living_street,20,False,39.457,"LINESTRING (7.7494219 48.5863607, 7.7497359 48.586073)",2,,11.8,,
15720085,False,Rue de la Fonderie,living_street,20,True,37.97,"LINESTRING (7.7494219 48.5863607, 7.7491102 48.5866329)",2,,11.8,,
"[39600432, 15805363]",False,"['Petite Rue de la Fonderie', ""Rue de l'Écrevisse""]",living_street,20,True,69.405,"LINESTRING (7.7494219 48.5863607, 7.748731 48.586041, 7.7486763 48.5860967)",,,4,,
9896741,False,Rue du Général Frère,residential,30,False,80.211,"LINESTRING (7.7512635 48.587174, 7.7513031 48.5872365, 7.751685 48.5878393)",,,8,,
"[104722194, 104722202]",True,Quai Jacques Sturm,tertiary,,False,201.97100000000003,"LINESTRING (7.7512635 48.587174, 7.7510747 48.5871944, 7.7493789 48.5873773, 7.7491556 48.587427, 7.7488034 48.5874602, 7.7487775 48.5874632, 7.7486869 48.5874735, 7.7485618 48.5874597)",1,,,,
8463402,False,Rue André Malraux,unclassified,50,False,108.838,"LINESTRING (7.7556352 48.5856849, 7.75567 48.5857306, 7.7561354 48.5864413, 7.7562267 48.586582)",2,,,,
39753308,True,Avenue de la Marseillaise,unclassified,,False,132.725,"LINESTRING (7.7556352 48.5856849, 7.7561637 48.5854258, 7.7562306 48.5853929, 7.7570879 48.5849769)",,,,,
"[1069721972, 40114948, 14879078, 8463391]",False,"['Rue Joseph Massol', 'Pont de la Poste']","['residential', 'unclassified']","['50', '30']",False,101.369,"LINESTRING (7.7556352 48.5856849, 7.755599 48.5856495, 7.7555751 48.5856286, 7.7555319 48.5855932, 7.7554948 48.5855687, 7.7549596 48.5853064, 7.7546348 48.5851464, 7.754578 48.5851076)",2,yes,8.2,,
8463393,False,Rue des Récollets,living_street,20,False,48.726,"LINESTRING (7.754578 48.5851076, 7.7544864 48.5850487, 7.7541492 48.5847742)",,,3,,
"[1069721972, 40114948, 14879078, 8463391]",False,"['Rue Joseph Massol', 'Pont de la Poste']","['unclassified', 'residential']","['50', '30']",True,101.36899999999999,"LINESTRING (7.754578 48.5851076, 7.7546348 48.5851464, 7.7549596 48.5853064, 7.7554948 48.5855687, 7.7555319 48.5855932, 7.7555751 48.5856286, 7.755599 48.5856495, 7.7556352 48.5856849)",2,yes,8.2,,
"[161591533, 139716045, 139715983, 264964637, 8463390]",False,Quai Lezay Marnésia,living_street,20,True,206.846,"LINESTRING (7.754578 48.5851076, 7.754523 48.5851569, 7.7539837 48.5856517, 7.7537881 48.5858305, 7.7537562 48.5858497, 7.7537179 48.5858667, 7.7534319 48.5859603, 7.7532556 48.5860187, 7.752689 48.5862091, 7.7526327 48.5862258, 7.752594 48.5862369, 7.7525481 48.5862508, 7.7524859 48.5862695)",,,"['8', '6']",,
15722169,True,Rue des Charpentiers,living_street,20,False,146.222,"LINESTRING (7.7528393 48.583708, 7.7524682 48.5840038, 7.7524139 48.5840284, 7.7520842 48.584119, 7.7517617 48.5842749, 7.751554 48.5844297, 7.7514033 48.5845792)",,,4.1,,
"[15722170, 10273499, 189722428, 359779787]",True,"['Rue des Frères', 'Rue des Juifs', 'Rue du Dôme']",living_street,"['20', '30']",False,318.731,"LINESTRING (7.7528393 48.583708, 7.7525139 48.5834901, 7.7523827 48.5834023, 7.7522203 48.5832941, 7.7521207 48.5832391, 7.7518981 48.5831161, 7.7514608 48.582938, 7.7510824 48.5827611, 7.7510102 48.5827273, 7.751042 48.5826989, 7.751348 48.5824094, 7.7513729 48.5823859, 7.7514177 48.5823834, 7.7525889 48.5827442)",,,8,,
110580692,False,Avenue des Vosges,primary,,False,11.526,"LINESTRING (7.7549291 48.5885812, 7.7548736 48.5885975, 7.7548373 48.5886082, 7.7547859 48.5886233)",5,,,,
"[788401718, 670521591]",False,Avenue des Vosges,primary,50,True,77.572,"LINESTRING (7.7549291 48.5885812, 7.7550184 48.5885549, 7.7555129 48.5884182, 7.7555717 48.5884019, 7.7557271 48.588359, 7.7559013 48.5883108)","['4', '5']",,,,
"[709676961, 121520138, 991428379, 10267182]",False,Rue de Zurich,tertiary,30,False,85.637,"LINESTRING (7.7563636 48.5819103, 7.7563451 48.5818745, 7.7563333 48.5818335, 7.7563297 48.5817567, 7.7563312 48.5817178, 7.7563397 48.5816854, 7.7563654 48.5815744, 7.7563776 48.5813957, 7.7563847 48.5812924, 7.7563978 48.5811453)",2,,,,
15806747,True,Quai des Bateliers,living_street,,False,157.161,"LINESTRING (7.7563636 48.5819103, 7.7562956 48.5819048, 7.756243 48.5818977, 7.7561904 48.5818806, 7.7561346 48.581853, 7.7549636 48.5812603, 7.7546308 48.5811001)",,,,no,
