osmid,oneway,lanes,highway,reversed,length,ref,name,geometry,maxspeed,bridge
867312006,True,1,motorway_link,False,13.068,,,"LINESTRING (-71.5335701 43.2088404, -71.5335418 43.2087247)",,
745713973,True,3,primary,False,47.147,NH 9,Loudon Road,"LINESTRING (-71.5335701 43.2088404, -71.534043 43.2087863, -71.5341448 43.2087747)",,
10344523,True,1,motorway_link,False,405.15599999999995,,,"LINESTRING (-71.5335418 43.2087247, -71.533512 43.2086347, -71.5335058 43.208616, -71.5333684 43.2082031, -71.5330594 43.2074398, -71.5327848 43.2069143, -71.53237 43.2060292, -71.5320076 43.2052598)",,
745713974,True,3,primary,False,66.554,NH 9,Loudon Road,"LINESTRING (-71.5335418 43.2087247, -71.533133 43.208779, -71.5328499 43.2088082, -71.532759 43.208865)",30 mph,
18850781,True,1,motorway_link,False,77.94,,,"LINESTRING (-71.532082 43.2089469, -71.5324047 43.2090265, -71.5325006 43.2090491, -71.5325467 43.2090706, -71.5326168 43.2091033, -71.5326765 43.2091484, -71.532847 43.209325)",,
745713975,False,7,primary,True,19.357,NH 9,Loudon Road,"LINESTRING (-71.532082 43.2089469, -71.5320182 43.2089553, -71.531847 43.208978)",30 mph,
1081596400,False,7,primary,False,55.618,NH 9,Loudon Road,"LINESTRING (-71.532082 43.2089469, -71.5326926 43.208873, -71.532759 43.208865)",30 mph,
18862891,False,2,residential,False,46.653999999999996,,Gordon Court,"LINESTRING (-71.5435024 43.2094984, -71.5432091 43.209809, -71.543176 43.209844)",,
738589997,False,2,unclassified,False,89.241,,North Spring Street,"LINESTRING (-71.5412517 43.2042648, -71.5414495 43.2050037, -71.5414626 43.2050525)",,
738589997,False,2,unclassified,True,69.464,,North Spring Street,"LINESTRING (-71.5412517 43.2042648, -71.5412454 43.2042416, -71.5411007 43.2037041, -71.5410866 43.2036518)",,
745713975,False,7,primary,False,19.357,NH 9,Loudon Road,"LINESTRING (-71.531847 43.208978, -71.5320182 43.2089553, -71.532082 43.2089469)",30 mph,
"[745713977, 18853046]",True,"['1', '4']",motorway_link,False,382.1690000000001,,,"LINESTRING (-71.5318931 43.2055896, -71.532123 43.206428, -71.532198 43.206778, -71.532232 43.207129, -71.532229 43.20741, -71.5321985 43.2076564, -71.532083 43.208115, -71.5320377 43.2082502, -71.5319042 43.2086917, -71.5318719 43.2087953, -71.5318662 43.2088249, -71.531847 43.208978)",,
18861014,False,2,unclassified,False,104.193,,Green Street,"LINESTRING (-71.5388695 43.2028793, -71.5388843 43.2029699, -71.5389237 43.2031065, -71.5389759 43.2032874, -71.5389903 43.2033373, -71.5390367 43.2034983, -71.5390581 43.2035722, -71.5390745 43.2036292, -71.5391231 43.2037976)",,
840624400,False,2,primary,False,43.277,US 202;NH 9,Pleasant Street,"LINESTRING (-71.5388695 43.2028793, -71.5387688 43.2029293, -71.538426 43.203096)",30 mph,
846811409,False,2,residential,True,66.598,,Warren Street,"LINESTRING (-71.5423309 43.2032715, -71.5423979 43.2032502, -71.543084 43.203032)",30 mph,
945885637,False,2,residential,False,109.37799999999999,,Warren Street,"LINESTRING (-71.5423309 43.2032715, -71.5422511 43.203298, -71.542028 43.203372, -71.5411695 43.2036272, -71.5410866 43.2036518)",30 mph,
945885638,False,2,unclassified,False,91.952,,Rumford Street,"LINESTRING (-71.5423309 43.2032715, -71.5423442 43.2033194, -71.5425455 43.2040443, -71.542556 43.204082)",,
423024644,False,2,unclassified,False,73.441,,Rumford Street,"LINESTRING (-71.542556 43.204082, -71.5425642 43.204112, -71.5427119 43.2046537, -71.5427178 43.2046753, -71.5427327 43.2047298)",,
423024646,True,,residential,False,107.65200000000002,,Short Street,"LINESTRING (-71.542556 43.204082, -71.5424665 43.204094, -71.5413689 43.2042484, -71.5413369 43.2042529, -71.5412517 43.2042648)",,
945885638,False,2,unclassified,True,91.952,,Rumford Street,"LINESTRING (-71.542556 43.204082, -71.5425455 43.2040443, -71.5423442 43.2033194, -71.5423309 43.2032715)",,
423024644,False,2,unclassified,True,73.44099999999999,,Rumford Street,"LINESTRING (-71.5427327 43.2047298, -71.5427178 43.2046753, -71.5427119 43.2046537, -71.5425642 43.204112, -71.542556 43.204082)",,
848677153,False,2,unclassified,False,53.073,,Rumford Street,"LINESTRING (-71.5427327 43.2047298, -71.5427481 43.2047889, -71.5427539 43.2048111, -71.5428606 43.2051979)",,
848677154,False,2,unclassified,False,57.105000000000004,,School Street,"LINESTRING (-71.5427327 43.2047298, -71.5426471 43.204751, -71.5421176 43.2048818, -71.542066 43.2048958)",30 mph,
945822329,False,2,unclassified,True,67.012,,School Street,"LINESTRING (-71.5427327 43.2047298, -71.5428012 43.2047129, -71.5434482 43.204553, -71.5435157 43.2045363)",30 mph,
848677153,False,2,unclassified,False,114.345,,Rumford Street,"LINESTRING (-71.5428606 43.2051979, -71.5430965 43.2061013, -71.5431042 43.2061302, -71.543125 43.206208)",,
848677153,False,2,unclassified,True,53.073,,Rumford Street,"LINESTRING (-71.5428606 43.2051979, -71.5427539 43.2048111, -71.5427481 43.2047889, -71.5427327 43.2047298)",,
263354887,False,2,tertiary,True,39.07,,Centre Street,"LINESTRING (-71.543125 43.206208, -71.5432014 43.2061748, -71.543539 43.206028)",30 mph,
848677153,False,2,unclassified,True,114.345,,Rumford Street,"LINESTRING (-71.543125 43.206208, -71.5431042 43.2061302, -71.5430965 43.2061013, -71.5428606 43.2051979)",,
848677155,False,2,tertiary,False,56.252,,Centre Street,"LINESTRING (-71.543125 43.206208, -71.543054 43.2062387, -71.542528 43.206466)",30 mph,
945885639,False,2,unclassified,False,105.686,,Rumford Street,"LINESTRING (-71.543125 43.206208, -71.5431505 43.2062904, -71.5431585 43.206316, -71.543295 43.206756, -71.5434 43.207137)",30 mph,
18860163,False,2,residential,False,48.617000000000004,,Cambridge Street,"LINESTRING (-71.5434 43.207137, -71.5433202 43.2071634, -71.5428531 43.2073166)",,
945885639,False,2,unclassified,True,105.686,,Rumford Street,"LINESTRING (-71.5434 43.207137, -71.543295 43.206756, -71.5431585 43.206316, -71.5431505 43.2062904, -71.543125 43.206208)",30 mph,
848677150,False,2,unclassified,False,78.197,,North Spring Street,"LINESTRING (-71.541738 43.206032, -71.541885 43.206549, -71.541909 43.206613, -71.541918 43.2066372, -71.5419561 43.2067163)",,
848677152,False,2,unclassified,True,111.179,,North Spring Street,"LINESTRING (-71.541738 43.206032, -71.5414796 43.205113, -71.5414626 43.2050525)",,
18854020,True,,residential,False,156.348,,Prince Street,"LINESTRING (-71.539916 43.206479, -71.5399869 43.2064663, -71.5402643 43.2064165, -71.5404517 43.2063697, -71.54063 43.206311, -71.5407085 43.2062849, -71.5409096 43.2062181, -71.540979 43.206195, -71.541113 43.2061531, -71.5411291 43.206149, -71.541247 43.206119, -71.541643 43.2060488, -71.5416623 43.2060454, -71.541738 43.206032)",,
848677148,False,2,unclassified,True,36.777,,Green Street,"LINESTRING (-71.539916 43.206479, -71.5398318 43.2062291, -71.5398101 43.2061574)",,
848677149,False,2,unclassified,False,46.273,,Green Street,"LINESTRING (-71.539916 43.206479, -71.5400161 43.2068213, -71.540035 43.206886)",,
18864523,False,2,tertiary,True,37.553,,Washington Street,"LINESTRING (-71.5433125 43.2087584, -71.5435662 43.2084758)",30 mph,
18864523,False,2,tertiary,False,34.428,,Washington Street,"LINESTRING (-71.5433125 43.2087584, -71.5432039 43.2088759, -71.5430779 43.2090165)",30 mph,
848677145,False,,unclassified,False,62.043,,Low Avenue,"LINESTRING (-71.5356719 43.2062294, -71.5358378 43.2067741)",,
18854065,False,2,unclassified,False,64.512,,Dubois Avenue,"LINESTRING (-71.5356719 43.2062294, -71.535603 43.2062412, -71.535393 43.2062772, -71.5351759 43.2063143, -71.5350416 43.2063373, -71.535009 43.2063428, -71.534897 43.206362)",,
