osmid,lanes,name,highway,width,oneway,reversed,length,geometry,maxspeed,ref,junction,bridge
8642581,2,Grant Street,residential,12.2,False,True,146.687,"LINESTRING (-71.989658 42.574426, -71.9892329 42.5731445)",,,,
8642551,2,Sherman Street,tertiary,13.7,False,True,126.963,"LINESTRING (-71.989658 42.574426, -71.98995 42.574613, -71.9905679 42.5749912, -71.9906822 42.5750812, -71.9907925 42.5751976)",,,,
664932528,2,City Hall Avenue,tertiary,24.4,False,False,43.857,"LINESTRING (-71.995327 42.5748336, -71.9947914 42.5748323)",,,,
"[8641904, 664932527]",2,Pleasant Street,tertiary,"['18.3', '12.2']",False,False,210.419,"LINESTRING (-71.995327 42.5748336, -71.995344 42.574686, -71.9953454 42.5746176, -71.995362 42.573827, -71.995362 42.573778, -71.995362 42.573729, -71.995363 42.57368, -71.995364 42.573646, -71.995366 42.573611, -71.995368 42.573577, -71.995373 42.573533, -71.995378 42.573488, -71.995379 42.573477, -71.99538 42.573472, -71.995383 42.573443, -71.995393 42.573365, -71.995446 42.5729446)",30 mph,,,
8642965,2,City Hall Avenue,tertiary,24.4,False,True,110.773,"LINESTRING (-71.995327 42.5748336, -71.9961842 42.5747849, -71.9963026 42.5747776, -71.9966735 42.5747408)",,,,
8641835,2,Park Street,tertiary,13.7,False,True,68.22,"LINESTRING (-71.996022 42.580368, -71.995932 42.580303, -71.995406 42.579955)",,,,
8642355,2,Crystal Lake Drive,residential,9.1,False,False,58.408,"LINESTRING (-71.996022 42.580368, -71.9958134 42.5804691, -71.9956431 42.5805988, -71.995462 42.580689)",,,,
8642611,2,Graham Street,residential,12.2,False,True,300.016,"LINESTRING (-71.996022 42.580368, -71.996198 42.580225, -71.996548 42.579271, -71.996676 42.578628, -71.996834 42.577792, -71.996834 42.577769)",,,,
8641865,2,Greenwood Street,residential,12.2,False,True,300.33199999999994,"LINESTRING (-72.000717 42.575586, -72.000641 42.575042, -72.000557 42.574154, -72.000498 42.573525, -72.000491 42.573454, -72.000483 42.573382, -72.000475 42.57331, -72.000471 42.573266, -72.000465 42.573223, -72.000459 42.573179, -72.000449 42.573121, -72.000437 42.573063, -72.000425 42.573006, -72.000383 42.572899)",,,,
664932530,2,Parker Street,secondary,15.2,False,False,79.92999999999999,"LINESTRING (-72.000717 42.575586, -72.000572 42.575605, -71.999755 42.575708)",30 mph,MA 101,,
8641759,1,Oak Street,tertiary,13.7,True,False,25.517,"LINESTRING (-71.9984396 42.5761216, -71.9984965 42.5761511, -71.9985271 42.576172, -71.998545 42.576196, -71.998549 42.576206, -71.998552 42.576217, -71.998554 42.576228, -71.998555 42.576239, -71.998555 42.576251, -71.998555 42.576264, -71.998553 42.57628, -71.99855 42.576297, -71.998547 42.576315)",,,,
92201541,1,West Street,secondary,18.3,True,False,15.700999999999999,"LINESTRING (-71.9984396 42.5761216, -71.9984807 42.5761243, -71.998628 42.576147)",,MA 68;MA 101,circular,
8642207,2,Connors Street,residential,13.7,False,False,141.142,"LINESTRING (-71.9966735 42.5747408, -71.9966823 42.5760101)",,,,
8641888,2,City Hall Avenue,tertiary,19.8,False,False,138.724,"LINESTRING (-71.9966735 42.5747408, -71.997068 42.5747166, -71.9972491 42.5747055, -71.997387 42.574697, -71.9983386 42.5745302)",,,,
8642117,2,Connors Street,residential,18.3,False,True,206.985,"LINESTRING (-71.9966735 42.5747408, -71.9966701 42.5743127, -71.9966697 42.5742569, -71.9966681 42.5740589, -71.9966657 42.5737433, -71.9966653 42.5736979, -71.9966821 42.5734077, -71.9967127 42.5728801)",,,,
8642965,2,City Hall Avenue,tertiary,24.4,False,False,110.773,"LINESTRING (-71.9966735 42.5747408, -71.9963026 42.5747776, -71.9961842 42.5747849, -71.995327 42.5748336)",,,,
8641835,2,Park Street,tertiary,13.7,False,False,78.061,"LINESTRING (-71.994687 42.579494, -71.995272 42.579867, -71.995406 42.579955)",,,,
8641835,2,Park Street,tertiary,13.7,False,True,78.39,"LINESTRING (-71.994687 42.579494, -71.99445 42.579344, -71.994396 42.579316, -71.994342 42.57929, -71.994286 42.579266, -71.994216 42.579242, -71.994143 42.579222, -71.994068 42.579205, -71.993973 42.579187, -71.9939222 42.5791785, -71.993877 42.579171, -71.993858 42.579168)",,,,
8642583,2,Richmond Street,residential,9.1,False,False,62.966,"LINESTRING (-71.996193 42.577639, -71.996159 42.577632, -71.99545 42.577493)",,,,
8642583,2,Richmond Street,residential,9.1,False,True,54.446000000000005,"LINESTRING (-71.996193 42.577639, -71.996816 42.577764, -71.996834 42.577769)",,,,
8642414,2,Bancroft Street,residential,15.2,False,False,31.255,"LINESTRING (-72.000057 42.580431, -71.999704 42.580538)",,,,
8642360,1,West Street,secondary,18.3,True,False,29.180000000000003,"LINESTRING (-71.998901 42.576178, -71.998876 42.576169, -71.998851 42.576159, -71.998827 42.576149, -71.99881 42.57614, -71.998794 42.57613, -71.998778 42.576121, -71.998756 42.576109, -71.998735 42.576096, -71.998716 42.576082, -71.998703 42.576069, -71.99869 42.576056, -71.99868 42.576041, -71.998676 42.57603, -71.998672 42.576018, -71.998668 42.576006, -71.998663 42.575997)",20 mph,MA 68,,
8642598,2,West Street,secondary,18.3,False,False,134.362,"LINESTRING (-71.998901 42.576178, -71.998957 42.576184, -71.999005 42.576191, -71.999036 42.576196, -71.999079 42.576201, -71.999153 42.576214, -71.999226 42.576228, -71.999298 42.576243, -71.999365 42.576258, -71.999432 42.576275, -71.999499 42.576291, -71.999998 42.576434, -72.000049 42.57645, -72.0001 42.576464, -72.000149 42.576482, -72.000202 42.576506, -72.000252 42.576532, -72.000302 42.576558, -72.000359 42.576587, -72.000414 42.576617)",30 mph,MA 68,,
