osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,ref,tunnel,access
11226530,True,1,North M Street,residential,25 mph,False,79.155,"LINESTRING (-80.0534041 26.6158035, -80.0534014 26.61588, -80.0533923 26.6161388, -80.0533815 26.6164452, -80.053379 26.616515)",,,
137576470,True,2,Lake Avenue,secondary,25 mph,False,97.553,"LINESTRING (-80.0534041 26.6158035, -80.0533844 26.6158029, -80.0533268 26.6158011, -80.0529085 26.6157881, -80.0528108 26.6157851, -80.0525014 26.6157755, -80.0524234 26.6157731)",FL 802,,
11196202,True,,South M Street,residential,,False,138.115,"LINESTRING (-80.053447 26.614562, -80.0534451 26.6146178, -80.0534201 26.6153394, -80.0534179 26.6154046, -80.0534062 26.6157417, -80.0534041 26.6158035)",,,
11209217,False,,1st Avenue South,residential,,False,97.27199999999999,"LINESTRING (-80.053447 26.614562, -80.0535079 26.6145637, -80.0539427 26.6145757, -80.0543767 26.6145877, -80.054425 26.614589)",,,
11209217,False,,1st Avenue South,residential,,True,97.262,"LINESTRING (-80.053447 26.614562, -80.053427 26.6145616, -80.0533919 26.6145609, -80.0529542 26.6145519, -80.052639 26.6145455, -80.0525153 26.614543, -80.0524689 26.614542)",,,
11196202,True,,South M Street,residential,,False,133.43099999999998,"LINESTRING (-80.0534916 26.6133627, -80.05349 26.6134019, -80.0534659 26.6140029, -80.0534603 26.6141701, -80.0534486 26.6145139, -80.053447 26.614562)",,,
1049241526,True,,2nd Avenue South,residential,,False,97.42699999999999,"LINESTRING (-80.0534916 26.6133627, -80.0534421 26.6133672, -80.0529921 26.6133521, -80.0525698 26.613338, -80.0525125 26.613336)",,,
11196202,True,,South M Street,residential,,False,135.78900000000002,"LINESTRING (-80.05353 26.612142, -80.0535284 26.6121922, -80.0534928 26.6133235, -80.0534916 26.6133627)",,,
11242318,False,,3rd Avenue South,residential,,False,97.37400000000001,"LINESTRING (-80.05353 26.612142, -80.0535882 26.6121436, -80.0544677 26.6121679, -80.054509 26.612169)",,,
11242318,False,,3rd Avenue South,residential,,True,97.52999999999999,"LINESTRING (-80.05353 26.612142, -80.0534834 26.6121409, -80.0530501 26.6121306, -80.0527181 26.6121227, -80.052609 26.6121201, -80.0525493 26.6121187)",,,
1049241525,False,2,Federal Highway,secondary,35 mph,True,136.96699999999998,"LINESTRING (-80.0524234 26.6157731, -80.0524345 26.615473, -80.0524458 26.6151671, -80.0524669 26.6145949, -80.0524689 26.614542)",FL 5,,
1171523516,False,2,Federal Highway,secondary,35 mph,False,78.633,"LINESTRING (-80.0524234 26.6157731, -80.0524206 26.6158626, -80.0524123 26.6161335, -80.0524037 26.6164159, -80.0524017 26.61648)",FL 5,,
11224484,True,,South L Street,residential,,False,137.47699999999998,"LINESTRING (-80.0543831 26.6158248, -80.0543852 26.6157635, -80.0543987 26.6153635, -80.054403 26.6152355, -80.0544071 26.6151155, -80.0544232 26.6146432, -80.054425 26.614589)",,,
137576470,True,2,Lake Avenue,secondary,25 mph,False,97.353,"LINESTRING (-80.0543831 26.6158248, -80.0543077 26.6158232, -80.0534869 26.6158053, -80.0534041 26.6158035)",FL 802,,
137576470,True,2,Lake Avenue,secondary,25 mph,False,97.27199999999999,"LINESTRING (-80.0553611 26.6158521, -80.0553439 26.6158516, -80.055276 26.6158497, -80.0544608 26.615827, -80.0543936 26.6158251, -80.0543831 26.6158248)",FL 802,,
1171523518,True,,North K Street,residential,,False,79.863,"LINESTRING (-80.0553611 26.6158521, -80.0553584 26.6159312, -80.055349 26.6162113, -80.0553393 26.6165006, -80.055337 26.61657)",,,
137576470,True,2,Lake Avenue,secondary,25 mph,False,94.17800000000001,"LINESTRING (-80.056308 26.6158785, -80.0554402 26.6158543, -80.0553611 26.6158521)",FL 802,,
1049241522,True,,South J Street,residential,,False,137.559,"LINESTRING (-80.056308 26.6158785, -80.0563229 26.6154109, -80.0563588 26.6146978, -80.0563768 26.6146447)",,,
137576470,True,2,Lake Avenue,secondary,25 mph,False,94.865,"LINESTRING (-80.0572618 26.6159051, -80.057177 26.6159027, -80.0563326 26.6158792, -80.056308 26.6158785)",FL 802,,
460162651,True,3,Dixie Highway,primary,35 mph,False,79.08,"LINESTRING (-80.0572618 26.6159051, -80.0572578 26.6159712, -80.057247 26.616269, -80.0572355 26.6165523, -80.0572329 26.6166158)",US 1,,
11230413,False,,South H Street,residential,,False,137.723,"LINESTRING (-80.05836 26.615939, -80.0583761 26.615465, -80.0583856 26.6151856, -80.0583909 26.6150303, -80.058401 26.6147297, -80.058402 26.614701)",,,
11252235,False,,North H Street,residential,,False,79.542,"LINESTRING (-80.05836 26.615939, -80.0583573 26.6160153, -80.0583537 26.616119, -80.0583408 26.6164883, -80.058335 26.616654)",,,
460162652,True,4,Lake Avenue,primary,25 mph,False,91.812,"LINESTRING (-80.05836 26.615939, -80.0578084 26.6159219, -80.0575114 26.6159127, -80.057437 26.6159104)",FL 802,,
