osmid,highway,oneway,reversed,length,geometry,name,ref,bridge
20697318,residential,False,False,259.952,"LINESTRING (-94.0803152 33.444165, -94.0800526 33.4441136, -94.0790178 33.4439114, -94.07877 33.443863, -94.078506 33.443837, -94.078419 33.4438488, -94.0781781 33.4439062, -94.077958 33.443911, -94.077568 33.4439112)",,,
909137918,secondary,False,True,236.66199999999998,"LINESTRING (-94.0803152 33.444165, -94.0803324 33.4447435, -94.080338 33.4449309, -94.0803487 33.4452896, -94.0803785 33.4462927)",North Robison Road,,
20709612,residential,False,False,312.303,"LINESTRING (-94.077568 33.4439112, -94.0775671 33.4467198)",Coolidge Avenue,,
20697318,residential,False,True,259.952,"LINESTRING (-94.077568 33.4439112, -94.077958 33.443911, -94.0781781 33.4439062, -94.078419 33.4438488, -94.078506 33.443837, -94.07877 33.443863, -94.0790178 33.4439114, -94.0800526 33.4441136, -94.0803152 33.444165)",,,
"[20709612, 20706332]",residential,False,True,238.817,"LINESTRING (-94.077568 33.4439112, -94.0775682 33.4433865, -94.0775699 33.443237, -94.075804 33.443235)","['Martine Street', 'Coolidge Avenue']",,
20709612,residential,False,True,312.303,"LINESTRING (-94.0775671 33.4467198, -94.077568 33.4439112)",Coolidge Avenue,,
577172887,tertiary,False,False,271.69399999999996,"LINESTRING (-94.0775671 33.4467198, -94.0777013 33.4467095, -94.0791335 33.4466949, -94.0792535 33.4466778, -94.0793628 33.4466385, -94.079723 33.446455, -94.0799564 33.4463379, -94.0801363 33.4463094, -94.0803785 33.4462927)",College Drive,,
577172887,tertiary,False,True,104.493,"LINESTRING (-94.0775671 33.4467198, -94.0774547 33.4467485, -94.0773748 33.4467822, -94.0771709 33.4469064, -94.0770606 33.4469455, -94.0769301 33.4469558, -94.0765144 33.4469489)",College Drive,,
20708173,residential,False,False,75.841,"LINESTRING (-94.0775523 33.4475311, -94.0775694 33.448213)",Briarwood,,
20714609,residential,False,False,171.514,"LINESTRING (-94.0775523 33.4475311, -94.0794008 33.4475145)",Stillwell Drive,,
20714609,residential,False,True,96.949,"LINESTRING (-94.0775523 33.4475311, -94.0765076 33.4475494)",Stillwell Drive,,
20708215,residential,False,True,106.08500000000001,"LINESTRING (-94.0728301 33.4507724, -94.0729372 33.4501354, -94.0729889 33.4498276)",Nichols Drive,,
20714566,residential,False,True,95.777,"LINESTRING (-94.0729242 33.4432321, -94.0729345 33.4423708)",Carroll Avenue,,
20716359,residential,False,False,96.698,"LINESTRING (-94.0729242 33.4432321, -94.0729168 33.4441017)",Carroll Avenue,,
20706332,residential,False,False,267.202,"LINESTRING (-94.0729242 33.4432321, -94.074525 33.443233, -94.075804 33.443235)",Martine Street,,
"[20706332, 20709612]",residential,False,False,238.81699999999998,"LINESTRING (-94.075804 33.443235, -94.0775699 33.443237, -94.0775682 33.4433865, -94.077568 33.4439112)","['Martine Street', 'Coolidge Avenue']",,
