osmid,oneway,lanes,highway,maxspeed,reversed,length,geometry,ref,name,junction,bridge,tunnel
100667624,True,1,primary_link,20 mph,False,14.420000000000002,"LINESTRING (-1.5816805 52.2833105, -1.5816695 52.2832571, -1.5816593 52.2832207, -1.5816489 52.2831823)",,,,,
"[926254322, 1019487643, 131393037]",True,2,primary,"['20 mph', '30 mph']",False,38.152,"LINESTRING (-1.5816805 52.2833105, -1.5815009 52.2833578, -1.5812588 52.2834067, -1.5811544 52.2834286)",A429,St John's,,,
8003830,False,2,primary,30 mph,False,65.929,"LINESTRING (-1.5805068 52.2837432, -1.5805432 52.2837823, -1.5805602 52.2838174, -1.5805738 52.2838771, -1.5805753 52.2839159, -1.5805826 52.2843281)",A429,Coventry Road,,,
55280742,False,2,residential,30 mph,False,93.48699999999998,"LINESTRING (-1.5805068 52.2837432, -1.5803966 52.2836494, -1.5803625 52.2836179, -1.5801146 52.2834184, -1.5799584 52.2832912, -1.5799031 52.2832543, -1.5798499 52.2832234, -1.5798028 52.2832031, -1.5797563 52.2831894, -1.5797283 52.2831855, -1.5796886 52.2831799, -1.5796254 52.2831778, -1.5795685 52.2831777)",,Weston Close,,,
"[693954183, 1225005579, 903354366, 903354367]",False,2,primary,30 mph,True,82.51899999999999,"LINESTRING (-1.5805068 52.2837432, -1.5803572 52.283825, -1.5803169 52.2838443, -1.5802548 52.2838731, -1.5799113 52.2840149, -1.5798361 52.2840449, -1.5795873 52.2841369, -1.5795116 52.2841649)",A445,Coten End,,,
"[917695261, 1147170662]",False,3,primary,30 mph,True,52.8,"LINESTRING (-1.5805068 52.2837432, -1.5805777 52.2836831, -1.5806299 52.2836402, -1.5806414 52.2836308, -1.5807474 52.2835668, -1.580903 52.2835072, -1.5810479 52.2834594, -1.5810945 52.2834463)",A429,St John's,,,
56896414,False,,residential,30 mph,False,311.12699999999995,"LINESTRING (-1.578837 52.2787654, -1.5788762 52.2787503, -1.5789784 52.2787196, -1.5790575 52.2787011, -1.579141 52.2786901, -1.5792201 52.2786841, -1.5793118 52.278686, -1.5793937 52.2786991, -1.5794634 52.2787225, -1.5797092 52.2788184, -1.5797946 52.2788486, -1.5798724 52.2788662, -1.5799803 52.2788775, -1.5800949 52.2788794, -1.5801997 52.2788706, -1.5803591 52.2788522, -1.5805362 52.2788291, -1.5807376 52.2787976, -1.5808271 52.2787824, -1.5820391 52.2785548, -1.5821457 52.2785353, -1.5822388 52.2785105, -1.5822923 52.2784943, -1.5823548 52.2784651, -1.5823957 52.2784335, -1.5824204 52.2784038, -1.5824357 52.2783784, -1.5824416 52.2783561, -1.582438 52.2783151, -1.5824217 52.2782708, -1.5824019 52.2782356, -1.5823704 52.2781963, -1.5823349 52.2781674, -1.5822715 52.2781391, -1.582202 52.2781161, -1.582122 52.2780996, -1.5820592 52.278089)",,Bridge End,,,
"[917695018, 917695015]",True,2,primary,30 mph,False,11.628,"LINESTRING (-1.578837 52.2787654, -1.5788537 52.2787822, -1.5788615 52.2788012, -1.5788599 52.2788208, -1.5788489 52.2788393, -1.5788382 52.2788502, -1.5788222 52.2788592)",,,roundabout,,
56895342,False,,residential,30 mph,True,21.002,"LINESTRING (-1.5798664 52.277452, -1.5798577 52.2772632)",,The Templars,,,
56896414,False,,residential,30 mph,False,20.58,"LINESTRING (-1.5798664 52.277452, -1.5795887 52.2773786)",,Bridge End,,,
56896414,False,,residential,30 mph,True,18.825,"LINESTRING (-1.5798664 52.277452, -1.5801221 52.2775167)",,Bridge End,,,
56895339,False,,residential,30 mph,False,22.351,"LINESTRING (-1.5795887 52.2773786, -1.5798577 52.2772632)",,The Templars,,,
56896414,False,,residential,30 mph,True,20.58,"LINESTRING (-1.5795887 52.2773786, -1.5798664 52.277452)",,Bridge End,,,
56896414,False,,residential,30 mph,False,203.77500000000003,"LINESTRING (-1.5795887 52.2773786, -1.5793212 52.2773293, -1.5792123 52.2773007, -1.5791175 52.2772661, -1.5789431 52.2772079, -1.5787096 52.2771273, -1.5783693 52.2770068, -1.5781652 52.2769416, -1.5781223 52.276934, -1.5780779 52.2769311, -1.578038 52.2769369, -1.5780024 52.2769474, -1.5779724 52.2769641, -1.5779515 52.2769836, -1.5775902 52.277448, -1.5775645 52.277475, -1.5775331 52.277499, -1.5774904 52.277528, -1.5774566 52.2775501, -1.5774418 52.2775594, -1.5773931 52.2775917)",,Bridge End,,,
56896414,False,,residential,30 mph,True,203.77499999999998,"LINESTRING (-1.5773931 52.2775917, -1.5774418 52.2775594, -1.5774566 52.2775501, -1.5774904 52.277528, -1.5775331 52.277499, -1.5775645 52.277475, -1.5775902 52.277448, -1.5779515 52.2769836, -1.5779724 52.2769641, -1.5780024 52.2769474, -1.578038 52.2769369, -1.5780779 52.2769311, -1.5781223 52.276934, -1.5781652 52.2769416, -1.5783693 52.2770068, -1.5787096 52.2771273, -1.5789431 52.2772079, -1.5791175 52.2772661, -1.5792123 52.2773007, -1.5793212 52.2773293, -1.5795887 52.2773786)",,Bridge End,,,
183412070,False,,primary,30 mph,False,137.30200000000002,"LINESTRING (-1.5773931 52.2775917, -1.5778167 52.2779753, -1.5780235 52.2781633, -1.5782171 52.2783333, -1.5784138 52.2785132, -1.578522 52.2786152)",A425,Banbury Road,,,
15230840,False,3,primary,30 mph,False,4.525,"LINESTRING (-1.5811544 52.2834286, -1.5810945 52.2834463)",A429,St John's,,,
"[1019487640, 13863362]",True,1,primary,"['20 mph', '30 mph']",False,43.449000000000005,"LINESTRING (-1.5811544 52.2834286, -1.5812385 52.2833842, -1.5814116 52.283302, -1.5815069 52.2832621, -1.5815935 52.2832169, -1.5816489 52.2831823)",A429,St John's,,,
104582893,True,2,primary,20 mph,False,26.548,"LINESTRING (-1.5841513 52.2818425, -1.5845106 52.2819357)",A425,Castle Hill,,,
24020650,False,3,primary,20 mph,False,70.887,"LINESTRING (-1.5841513 52.2818425, -1.5839026 52.2817689, -1.5837393 52.2817231, -1.5836049 52.2816854, -1.5832004 52.2815822)",A425,Castle Hill,,,
140264223,True,1,primary,20 mph,False,28.692,"LINESTRING (-1.585274 52.2822331, -1.5850538 52.2822032, -1.5848578 52.2821976)",A425,Castle Hill,,,
"[140264224, 1086003781, 1086003860, 1086003861, 1263324188]",False,2,primary,20 mph,False,258.456,"LINESTRING (-1.585274 52.2822331, -1.58532 52.2822509, -1.5853463 52.2822653, -1.5853849 52.282287, -1.5858816 52.2825228, -1.5860836 52.2826186, -1.5861213 52.2826365, -1.5862006 52.2826682, -1.5862927 52.2827051, -1.5863679 52.2827355, -1.587236 52.2830761, -1.5874255 52.283154, -1.5874882 52.2831797, -1.5877512 52.2832753, -1.5879953 52.2833646, -1.5881658 52.2834338, -1.5883238 52.2834964, -1.5884117 52.2835389)",A425,The Butts,,,
