osmid,highway,oneway,reversed,length,name,geometry,lanes,maxspeed,bridge
8667496,residential,False,False,12.521,,"LINESTRING (-82.8862457 42.4929808, -82.8862313 42.4928687)",,,
8668046,residential,True,False,252.06400000000002,Alexander Street,"LINESTRING (-82.8862457 42.4929808, -82.8880987 42.4928898, -82.888938 42.492838, -82.889014 42.492824, -82.8890935 42.4928119, -82.8893025 42.4927734)",,,
8667496,residential,False,True,12.521,,"LINESTRING (-82.8862313 42.4928687, -82.8862457 42.4929808)",,,
8668044,residential,True,False,231.836,Alexander Street,"LINESTRING (-82.8862313 42.4928687, -82.884822 42.49292, -82.883409 42.492994)",,,
8668041,residential,False,False,260.617,Alexander Street,"LINESTRING (-82.8924863 42.4925246, -82.8893136 42.4926673)",,,
8672240,residential,False,False,102.781,Greater Mack Avenue,"LINESTRING (-82.8924863 42.4925246, -82.8925073 42.4934488)",,,
8668041,residential,False,True,260.617,Alexander Street,"LINESTRING (-82.8893136 42.4926673, -82.8924863 42.4925246)",,,
219847066,secondary,False,False,11.833,Jefferson Avenue,"LINESTRING (-82.8893136 42.4926673, -82.8893025 42.4927734)",4,35 mph,
219847066,secondary,False,True,11.833,Jefferson Avenue,"LINESTRING (-82.8893025 42.4927734, -82.8893136 42.4926673)",4,35 mph,
503327516,secondary,False,False,95.154,Jefferson Avenue,"LINESTRING (-82.8893025 42.4927734, -82.8892132 42.4936266)",4,35 mph,
8668044,residential,True,False,253.088,Alexander Street,"LINESTRING (-82.8893025 42.4927734, -82.889044 42.492726, -82.888965 42.4927209, -82.8875649 42.4928035, -82.8862313 42.4928687)",,,
8675638,residential,False,False,13.582,Lane Street,"LINESTRING (-82.883409 42.492994, -82.883417 42.493116)",,,
8675638,residential,False,True,33.199,Lane Street,"LINESTRING (-82.883409 42.492994, -82.883384 42.492696)",,,
8668046,residential,True,False,232.414,Alexander Street,"LINESTRING (-82.883417 42.493116, -82.8862457 42.4929808)",,,
8675638,residential,False,False,111.695,Lane Street,"LINESTRING (-82.883417 42.493116, -82.883513 42.494118)",,,
8675638,residential,False,True,13.582,Lane Street,"LINESTRING (-82.883417 42.493116, -82.883409 42.492994)",,,
8682808,residential,False,False,122.851,Grove Pointe Street,"LINESTRING (-82.890046 42.497397, -82.8885543 42.4975018)",,,
