osmid,name,highway,maxspeed,oneway,reversed,length,geometry,ref,lanes,access,bridge,width,junction
6060243,Coal Orchard,residential,30 mph,False,False,69.934,"LINESTRING (-3.101878 51.01739, -3.101998 51.017622, -3.1020695 51.017764, -3.1020907 51.0178482, -3.1021021 51.0178937, -3.1021256 51.0179425, -3.1021666 51.0179896)",,,,,,
6060246,St James Street,residential,30 mph,False,False,140.094,"LINESTRING (-3.101878 51.01739, -3.1018499 51.0173795, -3.1017957 51.017378, -3.1016019 51.0174201, -3.1014644 51.0174531, -3.1011878 51.0175186, -3.1007928 51.0176126, -3.1004819 51.0176859, -3.1003451 51.0177182, -3.1001042 51.0177698, -3.0999953 51.0177891)",,,,,,
273711552,Foundry Road,residential,,False,True,5.033,"LINESTRING (-3.1030748 51.0175548, -3.1030035 51.0175609)",,,,,,
30183170,Castle Street,primary,30 mph,False,False,66.164,"LINESTRING (-3.1088695 51.0156215, -3.108745 51.0156385, -3.1086033 51.0156287, -3.1083494 51.0155874, -3.1082183 51.0155615, -3.1080807 51.0155473, -3.1079464 51.015531)",A3807,,,,,
6060922,Wood Street,primary,30 mph,False,False,59.724999999999994,"LINESTRING (-3.1045789 51.0181475, -3.1047144 51.01808, -3.1052477 51.0178136)",A3807,3,,,,
"[27402784, 1105496510, 1105725992, 1105496511, 120084309, 6060920, 30705597, 172289342, 27402783]","['Fore Street', 'The Bridge', 'North Street', 'Bridge Street']",primary,30 mph,False,"[False, True]",371.21099999999996,"LINESTRING (-3.1045789 51.0181475, -3.1044195 51.0179971, -3.1043258 51.0178702, -3.1041906 51.0176873, -3.104178 51.0176734, -3.1038612 51.0173245, -3.1038385 51.0173058, -3.1037386 51.0172234, -3.103586 51.0170956, -3.1034964 51.0169984, -3.1034441 51.0169137, -3.1034248 51.0167729, -3.1034042 51.0165688, -3.1033985 51.0165129, -3.1033905 51.0164336, -3.1033759 51.0162459, -3.1033702 51.0162152, -3.1033678 51.0162057, -3.1033181 51.0160475, -3.1031924 51.0156585, -3.1031626 51.0155784, -3.1031544 51.0155564, -3.1030808 51.0153611, -3.1030476 51.0152718, -3.1030258 51.0152254, -3.1029888 51.0150325)",A3027,2,yes,yes,,
"[146351217, 405975882]",Bridge Street,primary,30 mph,False,False,147.135,"LINESTRING (-3.1045789 51.0181475, -3.1047578 51.018297, -3.1048408 51.0183631, -3.1048846 51.0183976, -3.1049975 51.0184731, -3.105076 51.0185164, -3.1054369 51.0187838, -3.1057336 51.0190303, -3.1058234 51.0191141, -3.1058767 51.0191838)",A3027,2,yes,,,
11092734,Trull Road,tertiary,30 mph,True,False,38.596999999999994,"LINESTRING (-3.1095204 51.0119796, -3.1094615 51.0120791, -3.1094561 51.0121156, -3.1094566 51.0121612, -3.1094733 51.0121997, -3.1094953 51.0122368, -3.1095153 51.0122685, -3.1095436 51.0123099)",,1,,,,
11092750,Trull Road,tertiary,30 mph,False,False,55.958999999999996,"LINESTRING (-3.1095204 51.0119796, -3.1096547 51.0118715, -3.1100166 51.0115849)",,2,,,,
11093174,Trull Road,tertiary,30 mph,True,False,19.767,"LINESTRING (-3.1088601 51.0122447, -3.1089536 51.0121944, -3.109103 51.0121592)",,1,,,,
27406719,,primary,30 mph,True,False,50.619,"LINESTRING (-3.1088601 51.0122447, -3.1091119 51.0122145, -3.1092511 51.0122204, -3.1094013 51.0122524, -3.1095436 51.0123099)",A38,1,,,,
118932688,Cann Street,primary,30 mph,True,False,13.726,"LINESTRING (-3.1087214 51.0126227, -3.1087844 51.0125058)",A38,1,,,,
27406720,,primary,30 mph,True,False,52.248,"LINESTRING (-3.1087214 51.0126227, -3.1086621 51.0124957, -3.1086112 51.0124113, -3.1085441 51.0123675, -3.108436 51.0123278, -3.1082891 51.0122726)",A38,1,,,,
27406722,,primary,30 mph,True,False,43.725,"LINESTRING (-3.1087214 51.0126227, -3.1087532 51.0123994, -3.1088055 51.0123103, -3.1088601 51.0122447)",A38,1,,,,
27411828,Cann Street,primary,30 mph,True,False,48.771,"LINESTRING (-3.1087163 51.0130613, -3.1087214 51.0126227)",A38,3,,,,
11092758,Park Street,tertiary,30 mph,True,False,62.722,"LINESTRING (-3.1080726 51.0134385, -3.1082969 51.0133426, -3.1084335 51.0132877, -3.1085601 51.0132213, -3.1086592 51.0131202, -3.1087163 51.0130613)",,2,,,,
26955886,Park Street,tertiary,30 mph,False,False,122.096,"LINESTRING (-3.1080726 51.0134385, -3.1079851 51.0134649, -3.107916 51.0134877, -3.1078514 51.013509, -3.1077005 51.0135642, -3.1074259 51.013675, -3.107244 51.0137454, -3.1071109 51.0137944, -3.1067277 51.01392, -3.1066918 51.0139318, -3.106545 51.0139653)",,3,,,,
26955885,Tower Street,tertiary,,False,False,42.022999999999996,"LINESTRING (-3.106545 51.0139653, -3.106479 51.0140318, -3.1063936 51.0141257, -3.1063732 51.0141466, -3.1063579 51.0141622, -3.1063 51.0142196, -3.1062531 51.0142945)",,3,,,,
26955886,Park Street,tertiary,30 mph,False,True,122.096,"LINESTRING (-3.106545 51.0139653, -3.1066918 51.0139318, -3.1067277 51.01392, -3.1071109 51.0137944, -3.107244 51.0137454, -3.1074259 51.013675, -3.1077005 51.0135642, -3.1078514 51.013509, -3.107916 51.0134877, -3.1079851 51.0134649, -3.1080726 51.0134385)",,3,,,,
585960608,The Crescent,tertiary,30 mph,False,True,17.258,"LINESTRING (-3.106545 51.0139653, -3.1064909 51.0139365, -3.1064128 51.0138943, -3.1063581 51.013864)",,2,,,,
