osmid,oneway,name,highway,reversed,length,geometry,bridge,ref,lanes
722216328,True,Washington Street,tertiary,False,72.657,"LINESTRING (-71.3909197 41.8886861, -71.3912516 41.889291)",,,
19356994,False,Phillips Street,residential,False,87.90299999999999,"LINESTRING (-71.3909197 41.8886861, -71.3909804 41.8886677, -71.3919 41.8883822)",,,
19356994,False,Phillips Street,residential,False,64.698,"LINESTRING (-71.3919 41.8883822, -71.392622 41.8881594)",,,
19358059,False,Perry Street,residential,False,73.113,"LINESTRING (-71.3919 41.8883822, -71.3922459 41.8889872)",,,
19358059,False,Perry Street,residential,True,73.377,"LINESTRING (-71.3919 41.8883822, -71.3915698 41.8877698)",,,
19356994,False,Phillips Street,residential,True,87.90299999999999,"LINESTRING (-71.3919 41.8883822, -71.3909804 41.8886677, -71.3909197 41.8886861)",,,
19356994,False,Phillips Street,residential,True,64.698,"LINESTRING (-71.392622 41.8881594, -71.3919 41.8883822)",,,
19363932,False,Illinois Street,tertiary,False,26.301,"LINESTRING (-71.392622 41.8881594, -71.3927582 41.8883731)",,,
19363932,False,Illinois Street,tertiary,True,52.491,"LINESTRING (-71.392622 41.8881594, -71.3924676 41.8879327, -71.3923373 41.8877376)",,,
360953329,True,Clay Street,residential,False,122.871,"LINESTRING (-71.3853634 41.8839912, -71.3844127 41.8839868, -71.3838792 41.8839844)",,,
19358059,False,Perry Street,residential,False,43.123999999999995,"LINESTRING (-71.3913647 41.8874133, -71.3913885 41.8874558, -71.3915698 41.8877698)",,,
19370338,False,Summer Street,residential,False,56.153000000000006,"LINESTRING (-71.3913647 41.8874133, -71.3914241 41.8873911, -71.3919147 41.8871929, -71.391962 41.887174)",,,
19370338,False,Summer Street,residential,True,89.161,"LINESTRING (-71.3913647 41.8874133, -71.3913041 41.8874335, -71.3911459 41.8874641, -71.3903894 41.8876104, -71.3903267 41.8876248)",,,
19358059,False,Perry Street,residential,False,73.377,"LINESTRING (-71.3915698 41.8877698, -71.3919 41.8883822)",,,
19358059,False,Perry Street,residential,True,43.123999999999995,"LINESTRING (-71.3915698 41.8877698, -71.3913885 41.8874558, -71.3913647 41.8874133)",,,
19396744,False,King Street,residential,True,88.452,"LINESTRING (-71.3915698 41.8877698, -71.3911423 41.887898, -71.3905853 41.8880788)",,,
19358059,False,Perry Street,residential,True,73.113,"LINESTRING (-71.3922459 41.8889872, -71.3919 41.8883822)",,,
19358059,False,Perry Street,residential,False,124.91199999999999,"LINESTRING (-71.3922459 41.8889872, -71.3924126 41.8892827, -71.3924611 41.8893675, -71.3925329 41.8894745, -71.3928972 41.8899997)",,,
19396043,False,Beacon Street,residential,False,68.996,"LINESTRING (-71.3922459 41.8889872, -71.3926546 41.8888602, -71.3930151 41.8887482)",,,
19396043,False,Beacon Street,residential,True,88.972,"LINESTRING (-71.3922459 41.8889872, -71.3913134 41.8892739, -71.3912516 41.889291)",,,
19358059,False,Perry Street,residential,False,63.667,"LINESTRING (-71.3928972 41.8899997, -71.3931113 41.8903102, -71.3932484 41.8905091)",,,
19358059,False,Perry Street,residential,True,124.912,"LINESTRING (-71.3928972 41.8899997, -71.3925329 41.8894745, -71.3924611 41.8893675, -71.3924126 41.8892827, -71.3922459 41.8889872)",,,
19365159,False,Cowden Street,tertiary,False,72.884,"LINESTRING (-71.3928972 41.8899997, -71.3932696 41.889832, -71.3936313 41.8896387)",,,
