osmid,lanes,ref,name,highway,oneway,reversed,length,geometry,maxspeed,width,bridge,junction
"[328427379, 328427371, 328427372, 328427359]","['4', '3']",US 34,East Wonderview Avenue,primary,False,True,294.904,"LINESTRING (-105.5173509 40.3784929, -105.5173641 40.3786131, -105.5173632 40.3786772, -105.5173567 40.3788019, -105.5173439 40.3790934, -105.517287 40.379272, -105.51728 40.37939, -105.517282 40.379507, -105.517298 40.379625, -105.517325 40.379741, -105.517363 40.379853, -105.517411 40.37996, -105.517472 40.380061, -105.517546 40.380155, -105.517634 40.380245, -105.517731 40.380331, -105.517836 40.380412, -105.517949 40.380484, -105.518068 40.380546, -105.518191 40.380599, -105.5185202 40.3807165)",,,,
328427375,1,,,primary_link,True,False,85.497,"LINESTRING (-105.5173509 40.3784929, -105.5173109 40.3782466, -105.5172984 40.3781354, -105.5173078 40.3780476, -105.5173225 40.3779965, -105.5173762 40.3778882, -105.5174474 40.3777452)",,,,
328427368,5,US 36;US 34 BUS,East Elkhorn Avenue,primary,False,False,49.992000000000004,"LINESTRING (-105.517936 40.3774955, -105.5176301 40.3776311, -105.5174474 40.3777452)",25 mph,,,
"[328427377, 328427370]","['4', '5']",US 36;US 34 BUS,East Elkhorn Avenue,primary,False,True,271.441,"LINESTRING (-105.517936 40.3774955, -105.5181158 40.3774357, -105.5182264 40.37741, -105.5183816 40.377371, -105.5186028 40.3773172, -105.518883 40.3772507, -105.520546 40.376856, -105.5207873 40.3767974, -105.5209341 40.3767601, -105.520985 40.3767472)",25 mph,,,
6144580,,,,residential,False,False,198.375,"LINESTRING (-105.5281554 40.3800134, -105.5266935 40.3799845, -105.5262264 40.3800105, -105.526003 40.380034, -105.5258181 40.3800472)",,,,
329399349,2,,Big Horn Drive,residential,False,False,73.956,"LINESTRING (-105.5281554 40.3800134, -105.5281311 40.3799731, -105.5280691 40.3799025, -105.5280009 40.3798464, -105.5279026 40.3798007, -105.527657 40.379731, -105.527576 40.379696, -105.52751 40.379655, -105.527477 40.379629)",,,,
329399349,2,,Big Horn Drive,residential,False,True,17.708,"LINESTRING (-105.5281554 40.3800134, -105.5281753 40.380113, -105.5281762 40.3801715)",,,,
6160919,,,,residential,False,False,32.370000000000005,"LINESTRING (-105.5257362 40.3790691, -105.5256816 40.3790772, -105.5256053 40.3790753, -105.5254916 40.3790458, -105.5253733 40.3790046)",,,,
"[6164635, 6164630]",,,Virginia Drive,residential,False,False,71.92699999999999,"LINESTRING (-105.5257362 40.3790691, -105.5257565 40.3790359, -105.5257587 40.378997, -105.52573 40.378927, -105.525662 40.378887, -105.525595 40.378867, -105.5253927 40.3788291, -105.5253526 40.3788357, -105.5253232 40.3788587, -105.5253167 40.3789085, -105.5253385 40.3789548, -105.5253733 40.3790046)",20 mph,,,
6164635,,,Virginia Drive,residential,False,True,53.417,"LINESTRING (-105.5257362 40.3790691, -105.525739 40.3791522, -105.5257199 40.3795492)",,,,
