osmid,name,highway,oneway,reversed,length,geometry,ref,maxspeed,access,bridge
12314264,Washington Avenue,residential,False,True,46.665,"LINESTRING (-75.2758704 40.2077035, -75.275566 40.2080529)",,,,
12350124,Swartley Street,residential,False,True,130.958,"LINESTRING (-75.2758704 40.2077035, -75.2760461 40.2077655, -75.2765627 40.2079452, -75.2772662 40.2082041)",,,,
12372664,South Pennsylvania Avenue,residential,False,False,120.148,"LINESTRING (-75.2792835 40.2096779, -75.2779958 40.2092302)",,,,
12318900,Water Street,residential,False,False,145.089,"LINESTRING (-75.2792835 40.2096779, -75.2797971 40.2099332, -75.2799929 40.2100304, -75.2804338 40.2102493, -75.2807158 40.2103893)",,,,
230913859,West Walnut Street,secondary,False,False,160.784,"LINESTRING (-75.2792835 40.2096779, -75.278985 40.210026, -75.2786654 40.2103986, -75.2782775 40.2109024)",US 202 Alternate Truck,25 mph,,
230913859,West Walnut Street,secondary,False,True,78.144,"LINESTRING (-75.2792835 40.2096779, -75.2795571 40.2093666, -75.2797888 40.2090906)",US 202 Alternate Truck,25 mph,,
12324039,East Walnut Street,secondary,False,False,74.956,"LINESTRING (-75.2782775 40.2109024, -75.2779208 40.211519)",US 202 Alternate Truck,25 mph,,
12341049,South Main Street,primary,False,False,69.559,"LINESTRING (-75.2782775 40.2109024, -75.2775102 40.2106834)",,25 mph,,
12348758,North Main Street,primary,False,False,168.519,"LINESTRING (-75.2782775 40.2109024, -75.2788004 40.2110526, -75.279017 40.2111086, -75.2793093 40.2111842, -75.2795048 40.2112245, -75.2795532 40.2112345, -75.2798531 40.2112963, -75.2801672 40.211361)",,25 mph,,
230913859,West Walnut Street,secondary,False,True,160.784,"LINESTRING (-75.2782775 40.2109024, -75.2786654 40.2103986, -75.278985 40.210026, -75.2792835 40.2096779)",US 202 Alternate Truck,25 mph,,
12324039,East Walnut Street,secondary,False,False,71.136,"LINESTRING (-75.2779208 40.211519, -75.2776366 40.2121208)",US 202 Alternate Truck,25 mph,,
12324039,East Walnut Street,secondary,False,True,74.956,"LINESTRING (-75.2779208 40.211519, -75.2782775 40.2109024)",US 202 Alternate Truck,25 mph,,
12342680,South 2nd Street,residential,False,False,64.63,"LINESTRING (-75.2779208 40.211519, -75.2777714 40.2114789, -75.2776527 40.2114471, -75.2775881 40.2114298, -75.2775152 40.2114103, -75.2774522 40.2113935, -75.2772025 40.2113268)",,,,
12374805,North 2nd Street,residential,True,False,157.30900000000003,"LINESTRING (-75.2779208 40.211519, -75.2781795 40.21159, -75.2785777 40.2116994, -75.2787786 40.2117546, -75.2790912 40.2118404, -75.2792093 40.2118789, -75.2793068 40.2119239, -75.2795943 40.2120974)",,,,
12324039,East Walnut Street,secondary,False,True,71.136,"LINESTRING (-75.2776366 40.2121208, -75.2779208 40.211519)",US 202 Alternate Truck,25 mph,,
