osmid,name,highway,oneway,reversed,length,lanes,maxspeed,geometry,ref,bridge
12209218,Upolo Place,residential,False,True,42.311,,,"LINESTRING (-157.7143942 21.2879959, -157.7147081 21.2882393)",,
685015928,Hawai’i Kai Drive,secondary,False,False,71.455,4,25 mph,"LINESTRING (-157.7143942 21.2879959, -157.7148302 21.287498)",,
158948691,Paauilo Place,residential,False,False,49.574,,,"LINESTRING (-157.7143942 21.2879959, -157.7143 21.2879218, -157.7140286 21.2877083)",,
685015928,Hawai’i Kai Drive,secondary,False,True,73.006,4,25 mph,"LINESTRING (-157.7143942 21.2879959, -157.7140165 21.2884407, -157.713957 21.2885108)",,
158948691,Paauilo Place,residential,False,True,49.574,,,"LINESTRING (-157.7140286 21.2877083, -157.7143 21.2879218, -157.7143942 21.2879959)",,
12206602,Kauhola Place,residential,False,False,45.066,,,"LINESTRING (-157.7155958 21.2872587, -157.7153573 21.2870757, -157.71526 21.2870011)",,
12206602,Kauhola Place,residential,False,True,45.066,,,"LINESTRING (-157.71526 21.2870011, -157.7153573 21.2870757, -157.7155958 21.2872587)",,
158948679,Kaiwiki Place,residential,False,False,49.185,,,"LINESTRING (-157.71526 21.2870011, -157.7151592 21.2869267, -157.7148927 21.2867209)",,
685015928,Hawai’i Kai Drive,secondary,False,False,70.71,4,25 mph,"LINESTRING (-157.71526 21.2870011, -157.7155972 21.2866121, -157.7156918 21.2865087)",,
685015928,Hawai’i Kai Drive,secondary,False,True,70.969,4,25 mph,"LINESTRING (-157.71526 21.2870011, -157.7151192 21.287163, -157.7150483 21.2872473, -157.7149861 21.2873223, -157.7149114 21.2874052, -157.7148302 21.287498)",,
12217172,Bay Street,residential,False,True,78.389,2,,"LINESTRING (-157.7213177 21.286123, -157.7212612 21.28542)",,
"[898445432, 528217483]",Kalaniana’ole Highway,trunk,True,False,189.63700000000003,"['4', '3']",35 mph,"LINESTRING (-157.7213177 21.286123, -157.720677 21.2860687, -157.7201942 21.2859787, -157.7197972 21.2858588, -157.719542 21.2857578)",HI 72,
685015931,Kawaihae Street,tertiary,False,False,15.654,,,"LINESTRING (-157.719542 21.2857578, -157.719496 21.2858919)",,
158948679,Kaiwiki Place,residential,False,True,49.185,,,"LINESTRING (-157.7148927 21.2867209, -157.7151592 21.2869267, -157.71526 21.2870011)",,
12217479,Apua Place,residential,False,True,45.311,,,"LINESTRING (-157.7148302 21.287498, -157.7151726 21.2877515)",,
685015928,Hawai’i Kai Drive,secondary,False,True,71.455,4,25 mph,"LINESTRING (-157.7148302 21.287498, -157.7143942 21.2879959)",,
158948680,Kapalapala Place,residential,False,False,50.332,,,"LINESTRING (-157.7148302 21.287498, -157.7147301 21.2874214, -157.7144549 21.2872106)",,
685015928,Hawai’i Kai Drive,secondary,False,False,70.969,4,25 mph,"LINESTRING (-157.7148302 21.287498, -157.7149114 21.2874052, -157.7149861 21.2873223, -157.7150483 21.2872473, -157.7151192 21.287163, -157.71526 21.2870011)",,
158948680,Kapalapala Place,residential,False,True,50.332,,,"LINESTRING (-157.7144549 21.2872106, -157.7147301 21.2874214, -157.7148302 21.287498)",,
12217172,Bay Street,residential,False,False,78.389,2,,"LINESTRING (-157.7212612 21.28542, -157.7213177 21.286123)",,
12217172,Bay Street,residential,False,True,79.89,2,,"LINESTRING (-157.7212612 21.28542, -157.7211974 21.284704)",,
