osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,ref,width,junction,tunnel,access
40487992,2,West Street,tertiary,20 mph,False,True,81.598,"LINESTRING (-1.4758392 53.3809187, -1.4760042 53.3808794, -1.4769882 53.3806565)",,,,,
964388590,2,West Street,tertiary,20 mph,False,False,52.262,"LINESTRING (-1.4758392 53.3809187, -1.475683 53.3809538, -1.4754302 53.3810059, -1.4751046 53.3810881)",,,,,
1205650358,2,Rockingham Street,tertiary,20 mph,False,False,44.397,"LINESTRING (-1.4758392 53.3809187, -1.4758518 53.3809399, -1.4759184 53.3810758, -1.4759689 53.3811965, -1.4760152 53.3812873, -1.4760229 53.3813025)",,,,,
162890285,2,West Street,tertiary,20 mph,False,True,31.179,"LINESTRING (-1.4769882 53.3806565, -1.4774273 53.3805564)",,,,,
4387771,,Westfield Terrace,unclassified,20 mph,True,False,123.22200000000001,"LINESTRING (-1.4769882 53.3806565, -1.4769788 53.3806394, -1.4767321 53.3801197, -1.4766426 53.379927, -1.4766257 53.3798957, -1.4766079 53.3798611, -1.476461 53.3795941)",,,,,
40487992,2,West Street,tertiary,20 mph,False,False,81.598,"LINESTRING (-1.4769882 53.3806565, -1.4760042 53.3808794, -1.4758392 53.3809187)",,,,,
42777796,3,West Street,tertiary,20 mph,False,True,49.374,"LINESTRING (-1.4744135 53.381253, -1.4745343 53.3812265, -1.4747707 53.3811691, -1.4751046 53.3810881)",,,,,
"[977564928, 977564929]","['1', '2']",Carver Street,tertiary,20 mph,True,False,21.159,"LINESTRING (-1.4744135 53.381253, -1.4743978 53.3812258, -1.4743828 53.3811977, -1.4743546 53.3811473, -1.4743185 53.3810714)",,,,,
4385581,2,Division Street,tertiary,20 mph,True,False,50.762,"LINESTRING (-1.4738209 53.3800594, -1.4739217 53.3800415, -1.4740336 53.3800216, -1.4741111 53.3800078, -1.4745555 53.3799314)",,,,,
"[30110370, 4387830]",1,"['Carver Street', 'Backfields']",unclassified,20 mph,True,False,200.32900000000004,"LINESTRING (-1.4738209 53.3800594, -1.4737842 53.3799908, -1.47368 53.3797777, -1.4736448 53.3797099, -1.4735918 53.3796008, -1.4735382 53.3794837, -1.4734804 53.3793655, -1.4729676 53.3794353, -1.4729379 53.3794401, -1.4729312 53.3794456, -1.4729202 53.3794578, -1.4729124 53.3794724, -1.4729324 53.3795401, -1.472951 53.3795929, -1.4730091 53.3797575, -1.4730399 53.3798237, -1.4732024 53.3801609)",,,,,
962737541,2,Rockingham Street,tertiary,20 mph,True,False,129.625,"LINESTRING (-1.4753145 53.3797958, -1.4753485 53.3798692, -1.4756488 53.3805152, -1.4756858 53.3805947, -1.4757785 53.3807941, -1.4758024 53.3808406, -1.4758282 53.3808991, -1.4758392 53.3809187)",,,,,
