osmid,name,highway,oneway,reversed,length,lanes,ref,maxspeed,geometry,junction,bridge
25165239,,primary,True,False,18.601,2,A4059,,"LINESTRING (-3.4422031 51.7140186, -3.4421338 51.7140394, -3.4420573 51.7140442, -3.4419826 51.7140325, -3.4419485 51.7140207)",roundabout,
248924516,,primary,False,True,348.57099999999997,2,A4059,,"LINESTRING (-3.4422031 51.7140186, -3.4425909 51.7142929, -3.442993 51.7145959, -3.4441732 51.7154326, -3.4447801 51.7158255, -3.4451519 51.7160436, -3.4456079 51.7163346)",,
25165239,,primary,True,False,14.738,2,A4059,,"LINESTRING (-3.4419485 51.7140207, -3.4418934 51.7139874, -3.4418601 51.7139444, -3.4418518 51.7139076)",roundabout,
"[107442576, 107442561, 27001893]",,unclassified,False,False,96.251,2,,20 mph,"LINESTRING (-3.4419485 51.7140207, -3.4418517 51.7140999, -3.441692 51.7142303, -3.4416662 51.7142518, -3.441583 51.7143301, -3.44149 51.7144303, -3.4413624 51.7145677, -3.4412668 51.714767)",,yes
"[791865864, 791865865, 248924519]",,primary,False,True,190.142,2,A4059,,"LINESTRING (-3.4407725 51.7122522, -3.4409848 51.7125989, -3.4414644 51.713257, -3.4416333 51.7134488, -3.4417383 51.7135681, -3.4419531 51.7137946)",,yes
"[1082500109, 1082500110]",,primary,True,False,75.455,"['1', '2']",A4059,,"LINESTRING (-3.4407725 51.7122522, -3.4405427 51.7119226, -3.4403905 51.7116173)",,
"[248924522, 1257775407]",,primary,True,False,68.306,2,A4059,40 mph,"LINESTRING (-3.4403905 51.7116173, -3.4403217 51.7113107, -3.4402782 51.7111694, -3.4402366 51.7110981, -3.4401642 51.7110258)",,
"[1257775408, 1082500108]",,primary,True,False,72.523,1,A4059,40 mph,"LINESTRING (-3.4403905 51.7116173, -3.4402459 51.7113197, -3.4401797 51.711172, -3.4401305 51.7111014, -3.4400237 51.711012)",,
25165239,,primary,True,False,14.828999999999999,2,A4059,,"LINESTRING (-3.4418518 51.7139076, -3.441865 51.7138606, -3.4419531 51.7137946)",roundabout,
"[107442560, 94118225, 762904546, 107442573]",,unclassified,False,False,129.939,,,,"LINESTRING (-3.4418518 51.7139076, -3.4415896 51.7139199, -3.4413573 51.7139325, -3.4412337 51.7139392, -3.4409721 51.7139156, -3.440075 51.7136398)",,yes
97317304,Cardiff Street,secondary,False,True,9.767,2,B4275,20 mph,"LINESTRING (-3.4409507 51.7110043, -3.4410305 51.7110769)",,
26337095,Bute Street,residential,False,False,203.738,,,,"LINESTRING (-3.4409507 51.7110043, -3.4411126 51.7109551, -3.4412382 51.710963, -3.4415463 51.7110853, -3.4416897 51.7111251, -3.4432378 51.7120293)",,
1082500112,Cardiff Street,secondary,True,False,38.257000000000005,,B4275,40 mph,"LINESTRING (-3.4409507 51.7110043, -3.4408562 51.7109505, -3.4407701 51.7109189, -3.4407091 51.7109042, -3.4406398 51.7108958, -3.4405677 51.7108927, -3.4405084 51.7108989, -3.4404563 51.7109152)",,
1082500095,,primary,True,False,45.235,2,A4059,40 mph,"LINESTRING (-3.4394987 51.7103447, -3.4397076 51.7105153, -3.4398242 51.7105876, -3.4398697 51.7106046, -3.4399586 51.7106212)",,
70732405,Cross Street,residential,False,False,42.677,,,,"LINESTRING (-3.4432378 51.7120293, -3.4428215 51.7123135)",,
70732405,Cross Street,residential,False,True,34.522,,,,"LINESTRING (-3.4432378 51.7120293, -3.4435724 51.7117982)",,
26337095,Bute Street,residential,False,False,131.916,,,,"LINESTRING (-3.4432378 51.7120293, -3.4445648 51.7128167, -3.4446207 51.7128498)",,
26337095,Bute Street,residential,False,True,203.73800000000003,,,,"LINESTRING (-3.4432378 51.7120293, -3.4416897 51.7111251, -3.4415463 51.7110853, -3.4412382 51.710963, -3.4411126 51.7109551, -3.4409507 51.7110043)",,
26337095,Bute Street,residential,False,True,131.916,,,,"LINESTRING (-3.4446207 51.7128498, -3.4445648 51.7128167, -3.4432378 51.7120293)",,
138917286,Victoria Square,primary,True,False,39.184,2,,20 mph,"LINESTRING (-3.4446207 51.7128498, -3.4448544 51.7127903, -3.4450121 51.7127579, -3.4451594 51.7127406)",,
27001890,,unclassified,True,False,17.685000000000002,,,,"LINESTRING (-3.4412668 51.714767, -3.4413054 51.7147785, -3.4413367 51.7147965, -3.4413578 51.7148196, -3.4413668 51.7148455, -3.4413628 51.7148719, -3.4413461 51.7148963)",roundabout,
"[107442576, 107442561, 27001893]",,unclassified,False,True,96.25099999999999,2,,20 mph,"LINESTRING (-3.4412668 51.714767, -3.4413624 51.7145677, -3.44149 51.7144303, -3.441583 51.7143301, -3.4416662 51.7142518, -3.441692 51.7142303, -3.4418517 51.7140999, -3.4419485 51.7140207)",,yes
27001890,,unclassified,True,False,14.184999999999999,,,,"LINESTRING (-3.4410962 51.7148169, -3.4411175 51.7147951, -3.4411481 51.714778, -3.4411853 51.7147671, -3.441226 51.7147633, -3.4412668 51.714767)",roundabout,
40931565,Abernant Road,residential,False,False,69.899,,,,"LINESTRING (-3.439256 51.7164324, -3.4385617 51.7168908)",,
40931565,Abernant Road,residential,False,True,62.673,,,,"LINESTRING (-3.439256 51.7164324, -3.439649 51.7161726, -3.4399167 51.7160478)",,
70725142,Weatheral Street,residential,False,False,69.209,,,,"LINESTRING (-3.4474924 51.7155257, -3.4473112 51.7149135)",,
70725151,Hall Street,residential,False,False,47.565,,,,"LINESTRING (-3.4474924 51.7155257, -3.4468151 51.7156087)",,
70725147,Gadlys Gardens,residential,False,False,98.658,,,,"LINESTRING (-3.4474924 51.7155257, -3.4478934 51.7154891, -3.4479512 51.7154673, -3.4484951 51.7149779)",,
70725142,Weatheral Street,residential,False,False,49.765,,,,"LINESTRING (-3.4473112 51.7149135, -3.4471517 51.714477)",,
70725142,Weatheral Street,residential,False,True,69.209,,,,"LINESTRING (-3.4473112 51.7149135, -3.4474924 51.7155257)",,
70725158,Pembroke Street,residential,False,False,47.925,,,,"LINESTRING (-3.4473112 51.7149135, -3.4466309 51.7150035)",,
70725158,Pembroke Street,residential,False,True,96.06899999999999,,,,"LINESTRING (-3.4473112 51.7149135, -3.447645 51.7148784, -3.447906 51.714835, -3.4485002 51.7146921, -3.4486167 51.7146353)",,
70725149,Whitcombe Street,residential,False,False,69.583,,,,"LINESTRING (-3.4461336 51.7156816, -3.4458913 51.7150741)",,
70725149,Whitcombe Street,residential,False,True,10.37,,,,"LINESTRING (-3.4461336 51.7156816, -3.4460271 51.7157475)",,
70725151,Hall Street,residential,False,True,47.645,,,,"LINESTRING (-3.4461336 51.7156816, -3.4468151 51.7156087)",,
70725151,Hall Street,residential,False,False,47.645,,,,"LINESTRING (-3.4468151 51.7156087, -3.4461336 51.7156816)",,
70725151,Hall Street,residential,False,True,47.565,,,,"LINESTRING (-3.4468151 51.7156087, -3.4474924 51.7155257)",,
70725157,Bankes Street,residential,False,False,68.481,,,,"LINESTRING (-3.4468151 51.7156087, -3.4466309 51.7150035)",,
1082571244,Pembroke Street,residential,False,False,3.447,,,,"LINESTRING (-3.4486629 51.7146472, -3.4486167 51.7146353)",,
70725142,Weatheral Street,residential,False,True,49.765,,,,"LINESTRING (-3.4471517 51.714477, -3.4473112 51.7149135)",,
70725145,Seymour Street,residential,True,False,100.569,,,,"LINESTRING (-3.4471517 51.714477, -3.4457118 51.7146257)",,
70725159,Seymour Street,residential,False,True,83.50300000000001,,,,"LINESTRING (-3.4471517 51.714477, -3.4475028 51.7144437, -3.4476322 51.7144248, -3.4477717 51.7143871, -3.4481482 51.7142959, -3.44828 51.7142319)",,
97469521,Weatheral Street,residential,True,False,58.001,,,,"LINESTRING (-3.4469796 51.7139664, -3.4471517 51.714477)",,
97469522,Weatheral Street,residential,True,False,49.728,,,,"LINESTRING (-3.4469796 51.7139664, -3.4469672 51.7139271, -3.4468509 51.7135663, -3.446847 51.7135543, -3.4468386 51.7135278)",,
70725136,Gloucester Street,residential,True,False,79.11500000000001,,,,"LINESTRING (-3.4442333 51.7147659, -3.444122 51.7147605, -3.4434238 51.714404, -3.4433653 51.7143307)",,
70725149,Whitcombe Street,residential,False,False,10.37,,,,"LINESTRING (-3.4460271 51.7157475, -3.4461336 51.7156816)",,
150788037,Gloucester Street,residential,False,False,41.079,,,,"LINESTRING (-3.4460271 51.7157475, -3.4464731 51.7159927)",,
150788037,Gloucester Street,residential,False,True,95.996,,,,"LINESTRING (-3.4460271 51.7157475, -3.4450801 51.7152695, -3.4449696 51.7151879)",,
70725147,Gadlys Gardens,residential,False,True,98.65800000000002,,,,"LINESTRING (-3.4484951 51.7149779, -3.4479512 51.7154673, -3.4478934 51.7154891, -3.4474924 51.7155257)",,
70725149,Whitcombe Street,residential,False,False,52.552,,,,"LINESTRING (-3.4457118 51.7146257, -3.4455354 51.7141659)",,
70725149,Whitcombe Street,residential,False,True,51.371,,,,"LINESTRING (-3.4457118 51.7146257, -3.4458913 51.7150741)",,
70725145,Seymour Street,residential,True,False,103.048,,,,"LINESTRING (-3.4457118 51.7146257, -3.4443622 51.7147555, -3.4442333 51.7147659)",,
70725157,Bankes Street,residential,False,True,68.481,,,,"LINESTRING (-3.4466309 51.7150035, -3.4468151 51.7156087)",,
70725158,Pembroke Street,residential,False,False,51.555,,,,"LINESTRING (-3.4466309 51.7150035, -3.4458913 51.7150741)",,
