osmid,name,highway,maxspeed,oneway,reversed,length,bridge,geometry,lanes
"[306117745, 5364324, 306117717, 5047055]","['The Crescent', 'Falcon Terrace']",tertiary,30 mph,False,"[False, True]",90.313,yes,"LINESTRING (-4.5473539 50.8268802, -4.5472859 50.8269642, -4.5471493 50.8271043, -4.5471396 50.8271154, -4.5469595 50.8272688, -4.5467607 50.8273988, -4.5466682 50.8274492, -4.5465994 50.8274803, -4.5465452 50.8274975)",
1159070573,Breakwater Road,residential,,False,False,24.427,,"LINESTRING (-4.5473539 50.8268802, -4.5474802 50.8269515, -4.5476037 50.8270328)",
"[1159070290, 1226795517]",Bencoolen Road,tertiary,30 mph,False,False,99.565,,"LINESTRING (-4.5411712 50.8243588, -4.5412646 50.8244556, -4.5413424 50.8245593, -4.5413833 50.8246604, -4.5413964 50.8246929, -4.5414061 50.8247169, -4.5414617 50.8250027, -4.5415842 50.8252051)",2
148723889,Bencoolen Road,tertiary,30 mph,False,True,5.419,,"LINESTRING (-4.5416259 50.8252461, -4.5415842 50.8252051)",2
4878274,Bulleid Way,residential,,False,False,41.623,,"LINESTRING (-4.5416259 50.8252461, -4.5418538 50.8251653, -4.5420608 50.8251308, -4.5421651 50.8250971)",
148723889,Bencoolen Road,tertiary,30 mph,False,False,137.706,,"LINESTRING (-4.5416259 50.8252461, -4.5417605 50.8253946, -4.5420652 50.8256528, -4.5422452 50.8257685, -4.5424759 50.8258729, -4.5426431 50.8259448, -4.5428908 50.8260423, -4.5430139 50.8260908)",2
148723889,Bencoolen Road,tertiary,30 mph,False,False,76.704,,"LINESTRING (-4.5430139 50.8260908, -4.5438424 50.8265402)",2
4878554,Swallow Close,residential,,False,False,58.528,,"LINESTRING (-4.5430139 50.8260908, -4.5430737 50.826056, -4.5431956 50.8259541, -4.5432958 50.8258986, -4.5434228 50.825929, -4.5436491 50.8260339)",
148723889,Bencoolen Road,tertiary,30 mph,False,True,137.706,,"LINESTRING (-4.5430139 50.8260908, -4.5428908 50.8260423, -4.5426431 50.8259448, -4.5424759 50.8258729, -4.5422452 50.8257685, -4.5420652 50.8256528, -4.5417605 50.8253946, -4.5416259 50.8252461)",2
4878554,Swallow Close,residential,,False,True,58.528,,"LINESTRING (-4.5436491 50.8260339, -4.5434228 50.825929, -4.5432958 50.8258986, -4.5431956 50.8259541, -4.5430737 50.826056, -4.5430139 50.8260908)",
"[1118646749, 148715430]",,unclassified,,False,True,97.822,,"LINESTRING (-4.5487488 50.8266984, -4.5487278 50.8268286, -4.5487628 50.8269109, -4.5488244 50.8270004, -4.5489432 50.8271725, -4.5491335 50.8273706, -4.5492168 50.8275074)",
"[5364328, 148715426, 1159070295]",Breakwater Road,residential,,False,False,440.9800000000001,,"LINESTRING (-4.5476037 50.8270328, -4.5476449 50.8270986, -4.5477553 50.8271593, -4.5480918 50.8273612, -4.5485025 50.8275918, -4.5490063 50.8278852, -4.5492618 50.8280336, -4.5494178 50.8281242, -4.5499057 50.8284106, -4.5502533 50.8286081, -4.550665 50.8288337, -4.5509271 50.8289366, -4.5516186 50.8291946, -4.5519622 50.8292996, -4.5520692 50.8293066, -4.5525511 50.8292896)",
148715434,Church Lane,unclassified,,False,True,126.063,,"LINESTRING (-4.5476037 50.8270328, -4.547768 50.8270736, -4.5480703 50.8272119, -4.5485624 50.8273803, -4.5489397 50.8274636, -4.5492168 50.8275074)",
1159070573,Breakwater Road,residential,,False,True,24.427,,"LINESTRING (-4.5476037 50.8270328, -4.5474802 50.8269515, -4.5473539 50.8268802)",
