osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,tunnel,width,access
168654642,3,A46,London Road,trunk,30 mph,False,False,24.075,"LINESTRING (-2.0666929 51.8953318, -2.0664413 51.8951809)",,,
168654642,3,A46,London Road,trunk,30 mph,False,True,38.73,"LINESTRING (-2.0666929 51.8953318, -2.0671021 51.8955717)",,,
34312616,,,Priory Parade,residential,,False,True,73.212,"LINESTRING (-2.0666929 51.8953318, -2.0664323 51.8955874, -2.066878 51.8958141)",,,
5492922,,,Saint Luke's Road,residential,20 mph,True,False,66.312,"LINESTRING (-2.0751074 51.8953719, -2.0750425 51.8953543, -2.0742228 51.8951318)",,,
107549047,2,A46,Bath Road,primary,,False,False,76.684,"LINESTRING (-2.0751074 51.8953719, -2.0748785 51.8956928, -2.0747852 51.8958175, -2.0746482 51.8960006)",,,
3819164,2,A46,Berkeley Street,trunk,30 mph,True,False,18.056,"LINESTRING (-2.0682309 51.8985027, -2.0682045 51.8984663, -2.068184 51.8984284, -2.0681691 51.8983882, -2.0681609 51.8983472)",,,
30772602,,,Albion Street,tertiary,,True,False,27.677,"LINESTRING (-2.0682309 51.8985027, -2.0681611 51.8985064, -2.0679028 51.8983764)",,,
29334375,,A46,Albion Street,trunk,30 mph,True,False,46.029,"LINESTRING (-2.0693309 51.8994872, -2.0692181 51.8993727, -2.0691049 51.8991016)",,,
972940725,,A4019,Saint Johns Avenue,trunk,,False,True,8.348,"LINESTRING (-2.0693309 51.8994872, -2.0693379 51.8995279, -2.0693407 51.899562)",,,
972940726,2,A46,Albion Street,primary,,True,False,36.525999999999996,"LINESTRING (-2.0693309 51.8994872, -2.0695188 51.8994991, -2.0696349 51.8995074, -2.0696719 51.8995129, -2.0697071 51.8995217, -2.0697581 51.8995424, -2.069812 51.8995865)",,,
153681178,1,,Saint James Street,tertiary,,True,False,186.08499999999998,"LINESTRING (-2.0708759 51.8976937, -2.0705862 51.8979444, -2.0703183 51.8981894, -2.0699243 51.8985468, -2.0693486 51.8990765)",,,
168654639,2,A46,High Street,primary,30 mph,True,False,45.822,"LINESTRING (-2.0708759 51.8976937, -2.0710903 51.8978464, -2.0713202 51.8980013)",,,
153681182,,A4019,Saint Johns Avenue,trunk,,False,False,180.54999999999998,"LINESTRING (-2.0683322 51.9009915, -2.0683131 51.9009615, -2.0682993 51.9009304, -2.0682912 51.9009, -2.0682881 51.9008692, -2.0682923 51.9008262, -2.0683062 51.9007841, -2.0683269 51.9007475, -2.068355 51.9007129, -2.0685587 51.9005465, -2.0687733 51.9003979, -2.068898 51.9003017, -2.0689645 51.9002446, -2.0690275 51.9001859, -2.0691086 51.9001023, -2.0691474 51.9000599, -2.0691825 51.9000162, -2.0692222 51.8999586, -2.0692556 51.8998994, -2.0692784 51.8998476, -2.0692978 51.8997952, -2.0693151 51.8997366, -2.0693281 51.8996776, -2.0693321 51.8996539, -2.069338 51.8996044, -2.0693407 51.899562)",,,
345332217,,,Fairview Road,residential,,False,True,32.076,"LINESTRING (-2.0683322 51.9009915, -2.0682858 51.901, -2.0681852 51.9009906, -2.0681068 51.9009707, -2.0679122 51.9008921)",,,
746293214,,A4019,Fairview Road,trunk,,False,True,64.631,"LINESTRING (-2.0683322 51.9009915, -2.068397 51.9010581, -2.0684564 51.9011004, -2.0690411 51.9013653)",,,
23640781,2,A435,Portland Street,primary,,False,True,104.795,"LINESTRING (-2.0726763 51.9024458, -2.0734094 51.901619)",,,
154019805,,A435,Portland Street,primary,,True,False,26.886,"LINESTRING (-2.0726763 51.9024458, -2.0724986 51.9026613)",,,
46882944,4,A4019,Fairview Road,trunk,,False,False,101.389,"LINESTRING (-2.0726763 51.9024458, -2.0716407 51.9022738, -2.0714117 51.9022278, -2.0712553 51.9021963)",,,
"[444761192, 1189513476]",4,A4019,Fairview Road,trunk,,False,True,53.214,"LINESTRING (-2.0726763 51.9024458, -2.0727969 51.9024821, -2.0729137 51.9025228, -2.0729614 51.9025419, -2.0730263 51.9025679, -2.0731278 51.9026139, -2.073225 51.9026635, -2.0733167 51.9027122)",,,
"[848631361, 1067164597]",3,A4019,Saint Margaret's Road,trunk,,False,False,51.217000000000006,"LINESTRING (-2.0753926 51.9037963, -2.0751804 51.9036986, -2.075128 51.9036688, -2.0749534 51.9035506, -2.0748567 51.9034788)",,,
3819122,2,,Clarence Street,unclassified,,True,False,30.147000000000002,"LINESTRING (-2.0767169 51.9007399, -2.0764603 51.9007241, -2.0762788 51.9007254)",,,
"[667900784, 168298772]",2,,Clarence Street,unclassified,,False,True,64.152,"LINESTRING (-2.0767169 51.9007399, -2.076846 51.9007611, -2.0771402 51.9008093, -2.0774604 51.9008662, -2.0776142 51.900901)",,,
3819164,2,A46,Berkeley Street,trunk,30 mph,True,False,155.403,"LINESTRING (-2.0681609 51.8983472, -2.0681596 51.8983024, -2.0681661 51.8982578, -2.0681817 51.898211, -2.068206 51.8981657, -2.0682352 51.8981265, -2.0682709 51.8980894, -2.0684186 51.8979395, -2.0687777 51.8976095, -2.0689807 51.8974229, -2.0692764 51.8971497)",,,
107549133,,,Witcombe Place,residential,,True,False,33.791,"LINESTRING (-2.0681609 51.8983472, -2.0685634 51.8983242, -2.0686472 51.8983413)",,,
