osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,junction,width
18319185,2,A98,College Bounds,primary,30 mph,False,False,57.059,"LINESTRING (-2.0110693 57.6943268, -2.0120289 57.6943442)",,
18319210,2,A98,High Street,primary,30 mph,False,False,27.585,"LINESTRING (-2.0110693 57.6943268, -2.0108214 57.6943215, -2.0106055 57.6943168)",,
18319221,,,Charlotte Street,residential,,False,False,117.951,"LINESTRING (-2.0110693 57.6943268, -2.0110285 57.6940484, -2.0109866 57.6937628, -2.0109611 57.6935998, -2.0109142 57.6932693)",,
18319197,2,A90,Cross Street,trunk,30 mph,False,True,36.996,"LINESTRING (-2.0072496 57.693814, -2.0072282 57.6937305, -2.0071783 57.6934835)",,
18319201,,A98,High Street,primary,30 mph,True,False,131.292,"LINESTRING (-2.0072496 57.693814, -2.0071352 57.6938168, -2.0070336 57.6938251, -2.0066511 57.6937735, -2.006386 57.6937376, -2.0052651 57.6935689, -2.005191 57.6935568, -2.005117 57.6935379)",,
18319210,2,A98,High Street,primary,30 mph,False,True,123.096,"LINESTRING (-2.0072496 57.693814, -2.0072895 57.6938383, -2.0073203 57.6938534, -2.0074392 57.693872, -2.0084027 57.6940223, -2.0092105 57.6941483)",,
18319183,,A98,Broad Street,primary,30 mph,True,False,75.33200000000001,"LINESTRING (-2.005117 57.6935379, -2.0050726 57.6935026, -2.0050477 57.693457, -2.0050586 57.6931806, -2.0050766 57.693013, -2.0050593 57.6928702)",,
99316319,,,Kirk Brae,residential,,False,False,58.731,"LINESTRING (-2.005117 57.6935379, -2.0050097 57.6935899, -2.0049577 57.6936384, -2.0049478 57.6936869, -2.0048191 57.6936781, -2.0043026 57.6936586)",,
18319179,2,B9034,Victoria Street,secondary,,False,True,117.501,"LINESTRING (-2.0065535 57.6899896, -2.0063539 57.6899993, -2.0062014 57.6900066, -2.0045847 57.6900858)",,
131820540,2,,Victoria Street,residential,,False,False,71.387,"LINESTRING (-2.0065535 57.6899896, -2.0067375 57.689981, -2.0077501 57.689934)",,
"[1234152833, 467831642]","['2', '3']",A90,Saltoun Place,trunk,30 mph,False,False,139.684,"LINESTRING (-2.0065535 57.6899896, -2.0065686 57.690138, -2.0066648 57.6906054, -2.0067777 57.6912399)",,
18319221,,,Charlotte Street,residential,,False,False,123.536,"LINESTRING (-2.0105982 57.691115, -2.0104512 57.6900068)",,
18319221,,,Charlotte Street,residential,,False,True,123.979,"LINESTRING (-2.0105982 57.691115, -2.0106141 57.6912235, -2.0106315 57.6913373, -2.0107672 57.6922263)",,
131820535,2,,Commerce Street,residential,,False,True,81.52499999999999,"LINESTRING (-2.0105982 57.691115, -2.0094698 57.6911577, -2.0092295 57.6911631)",,
18319197,2,A90,Cross Street,trunk,30 mph,False,True,97.819,"LINESTRING (-2.0070335 57.6927128, -2.0068785 57.691837)",,
18319197,2,A90,Cross Street,trunk,30 mph,False,False,86.13,"LINESTRING (-2.0070335 57.6927128, -2.0071243 57.6932138, -2.0071783 57.6934835)",,
43105012,,,Mid Street,residential,,False,True,80.827,"LINESTRING (-2.0070335 57.6927128, -2.0070949 57.6927052, -2.0076828 57.6926326, -2.0083586 57.6925491)",,
43105037,1,,Mid Street,residential,,True,False,118.654,"LINESTRING (-2.0070335 57.6927128, -2.00677 57.6927377, -2.0065906 57.6927546, -2.0061018 57.692799, -2.0050593 57.6928702)",,
18319193,2,,Seaforth Street,residential,,False,False,94.54,"LINESTRING (-2.0047755 57.6913095, -2.004623 57.6904632)",,
18319202,2,,Commerce Street,primary,30 mph,True,False,61.849,"LINESTRING (-2.0047755 57.6913095, -2.0037361 57.6913371)",,
727448374,,A98,Broad Street,primary,30 mph,False,True,53.716,"LINESTRING (-2.0047755 57.6913095, -2.0048651 57.6917902)",,
131820535,2,,Commerce Street,residential,,False,False,119.246,"LINESTRING (-2.0047755 57.6913095, -2.0056803 57.691277, -2.0067169 57.6912415, -2.0067777 57.6912399)",,
18319197,2,A90,Cross Street,trunk,30 mph,False,False,25.964,"LINESTRING (-2.0067777 57.6912399, -2.0068287 57.6914718)",,
131820535,2,,Commerce Street,residential,,False,False,67.593,"LINESTRING (-2.0067777 57.6912399, -2.0068426 57.6912381, -2.007913 57.6912036)",,
131820535,2,,Commerce Street,residential,,False,True,119.24600000000001,"LINESTRING (-2.0067777 57.6912399, -2.0067169 57.6912415, -2.0056803 57.691277, -2.0047755 57.6913095)",,
"[1234152833, 467831642]","['2', '3']",A90,Saltoun Place,trunk,30 mph,False,True,139.684,"LINESTRING (-2.0067777 57.6912399, -2.0066648 57.6906054, -2.0065686 57.690138, -2.0065535 57.6899896)",,
18319183,,A98,Broad Street,primary,30 mph,True,False,85.16,"LINESTRING (-2.0050593 57.6928702, -2.0047825 57.6921676, -2.0048198 57.6921241)",,
18319191,,,Hanover Street,residential,,False,False,108.429,"LINESTRING (-2.0071783 57.6934835, -2.0086418 57.693447, -2.0089944 57.6934097)",,
18319197,2,A90,Cross Street,trunk,30 mph,False,False,36.996,"LINESTRING (-2.0071783 57.6934835, -2.0072282 57.6937305, -2.0072496 57.693814)",,
18319197,2,A90,Cross Street,trunk,30 mph,False,True,86.13,"LINESTRING (-2.0071783 57.6934835, -2.0071243 57.6932138, -2.0070335 57.6927128)",,
18319191,,,Hanover Street,residential,,False,True,56.972,"LINESTRING (-2.0109142 57.6932693, -2.0099578 57.6933045)",,
18319221,,,Charlotte Street,residential,,False,False,116.305,"LINESTRING (-2.0109142 57.6932693, -2.0107672 57.6922263)",,
18319221,,,Charlotte Street,residential,,False,True,117.951,"LINESTRING (-2.0109142 57.6932693, -2.0109611 57.6935998, -2.0109866 57.6937628, -2.0110285 57.6940484, -2.0110693 57.6943268)",,
43105012,,,Mid Street,residential,,False,False,56.798,"LINESTRING (-2.0126689 57.6921374, -2.0117176 57.6921864)",,
18319212,,,Albert Street,residential,,False,False,167.13400000000001,"LINESTRING (-2.0126689 57.6921374, -2.0126641 57.6920994, -2.012624 57.6918381, -2.0124574 57.6906386)",,
18319212,,,Albert Street,residential,,False,True,247.272,"LINESTRING (-2.0126689 57.6921374, -2.0126745 57.6921739, -2.0127089 57.6924087, -2.0128675 57.6934924, -2.0129932 57.6943544)",,
18319205,,,The Hexagon,residential,,True,False,42.998000000000005,"LINESTRING (-2.0103803 57.6896326, -2.0109286 57.6896062, -2.0110177 57.6896279, -2.0110762 57.689653)",roundabout,
131820537,2,B9034,Seaforth Street,secondary,,False,True,42.027,"LINESTRING (-2.0045847 57.6900858, -2.004623 57.6904632)",,
18319179,2,B9034,Victoria Street,secondary,,False,False,117.501,"LINESTRING (-2.0045847 57.6900858, -2.0062014 57.6900066, -2.0063539 57.6899993, -2.0065535 57.6899896)",,
65011362,,,Seaforth Street,residential,,False,True,92.72200000000001,"LINESTRING (-2.0045847 57.6900858, -2.0044544 57.6893834, -2.0044308 57.689256)",,
18319192,,,Dennyduff Road,residential,,False,True,56.333,"LINESTRING (-2.0123192 57.6897342, -2.0113747 57.6897766)",,
18319212,,,Albert Street,residential,,False,True,100.9,"LINESTRING (-2.0123192 57.6897342, -2.0124574 57.6906386)",,
61984934,,,Queens Road,residential,,False,True,65.197,"LINESTRING (-2.0123192 57.6897342, -2.0122544 57.6892707, -2.0122375 57.6891495)",,
18319185,2,A98,College Bounds,primary,30 mph,False,True,41.233,"LINESTRING (-2.0129932 57.6943544, -2.0122996 57.6943444)",,
18319212,,,Albert Street,residential,,False,False,247.27200000000002,"LINESTRING (-2.0129932 57.6943544, -2.0128675 57.6934924, -2.0127089 57.6924087, -2.0126745 57.6921739, -2.0126689 57.6921374)",,
18319221,,,Charlotte Street,residential,,False,True,116.305,"LINESTRING (-2.0107672 57.6922263, -2.0109142 57.6932693)",,
18319221,,,Charlotte Street,residential,,False,False,123.979,"LINESTRING (-2.0107672 57.6922263, -2.0106315 57.6913373, -2.0106141 57.6912235, -2.0105982 57.691115)",,
43105012,,,Mid Street,residential,,False,False,94.92699999999999,"LINESTRING (-2.0107672 57.6922263, -2.0107186 57.6922284, -2.0099688 57.6922708, -2.0092216 57.6924152)",,
43105012,,,Mid Street,residential,,False,True,56.657000000000004,"LINESTRING (-2.0107672 57.6922263, -2.0108301 57.692223, -2.0117176 57.6921864)",,
18319221,,,Charlotte Street,residential,,False,True,123.536,"LINESTRING (-2.0104512 57.6900068, -2.0105982 57.691115)",,
18319205,,,The Hexagon,residential,,True,False,16.909,"LINESTRING (-2.0104512 57.6900068, -2.0103572 57.6899996, -2.0102596 57.6899818, -2.0101947 57.6899513)",roundabout,
43105046,,,Bath Street,residential,,False,False,113.27,"LINESTRING (-2.0051114 57.6961749, -2.0032064 57.6962103)",,
43105013,,,Castle Street,residential,,False,False,33.134,"LINESTRING (-2.0051114 57.6961749, -2.0051356 57.6962125, -2.0051759 57.696244, -2.0054825 57.6963909)",,
43105013,,,Castle Street,residential,,False,True,145.158,"LINESTRING (-2.0051114 57.6961749, -2.0050927 57.6961086, -2.0050125 57.6949081, -2.0049942 57.6948723)",,
41213257,,,Barrasgate Road,residential,,False,True,31.695,"LINESTRING (-2.0054825 57.6963909, -2.0058458 57.6961822)",,
41213259,,,Quarry Road,residential,,False,False,95.097,"LINESTRING (-2.0054825 57.6963909, -2.0066453 57.6969785)",,
43105013,,,Castle Street,residential,,False,True,33.134,"LINESTRING (-2.0054825 57.6963909, -2.0051759 57.696244, -2.0051356 57.6962125, -2.0051114 57.6961749)",,
43105044,,,Castle Terrace,residential,,False,False,131.077,"LINESTRING (-2.0054825 57.6963909, -2.0043838 57.6970128, -2.0039681 57.697248)",,
41213258,,,Denmark Street,residential,,False,False,41.954,"LINESTRING (-2.0066453 57.6969785, -2.0071273 57.6967028)",,
41213259,,,Quarry Road,residential,,False,False,59.065,"LINESTRING (-2.0066453 57.6969785, -2.0073612 57.697347)",,
41213259,,,Quarry Road,residential,,False,True,95.097,"LINESTRING (-2.0066453 57.6969785, -2.0054825 57.6963909)",,
41213259,,,Quarry Road,residential,,False,True,59.065,"LINESTRING (-2.0073612 57.697347, -2.0066453 57.6969785)",,
41213260,,,Stevenson Road,residential,,False,False,94.407,"LINESTRING (-2.0073612 57.697347, -2.0069705 57.6975109, -2.0064286 57.6977315, -2.0061282 57.6978501, -2.0060982 57.697862)",,
"[461745384, 229784156]",,,"['Braes Road', 'Gladwell Place']",living_street,10 mph,False,False,149.028,"LINESTRING (-2.0073612 57.697347, -2.0076356 57.6972561, -2.0081088 57.6970872, -2.0083873 57.6969291, -2.0075064 57.696486)",,"['7', '4']"
41213260,,,Stevenson Road,residential,,False,True,94.407,"LINESTRING (-2.0060982 57.697862, -2.0061282 57.6978501, -2.0064286 57.6977315, -2.0069705 57.6975109, -2.0073612 57.697347)",,
18319210,2,A98,High Street,primary,30 mph,False,True,8.913,"LINESTRING (-2.0092105 57.6941483, -2.0093562 57.6941673)",,
18319210,2,A98,High Street,primary,30 mph,False,False,123.09599999999999,"LINESTRING (-2.0092105 57.6941483, -2.0084027 57.6940223, -2.0074392 57.693872, -2.0073203 57.6938534, -2.0072895 57.6938383, -2.0072496 57.693814)",,
41213257,,,Barrasgate Road,residential,,False,False,104.96600000000001,"LINESTRING (-2.0092105 57.6941483, -2.0091862 57.6941753, -2.0089967 57.6943861, -2.0089218 57.6944287, -2.0081108 57.6948744)",,
18319210,2,A98,High Street,primary,30 mph,False,False,76.129,"LINESTRING (-2.0106055 57.6943168, -2.0101284 57.6942718, -2.0093562 57.6941673)",,
18319210,2,A98,High Street,primary,30 mph,False,True,27.585,"LINESTRING (-2.0106055 57.6943168, -2.0108214 57.6943215, -2.0110693 57.6943268)",,
41213258,,,Denmark Street,residential,,False,True,164.562,"LINESTRING (-2.0106055 57.6943168, -2.0106029 57.6945737, -2.0104896 57.6947679, -2.0095399 57.6953047, -2.0091958 57.695517)",,
18319212,,,Albert Street,residential,,False,False,100.9,"LINESTRING (-2.0124574 57.6906386, -2.0123192 57.6897342)",,
18319212,,,Albert Street,residential,,False,True,167.13400000000001,"LINESTRING (-2.0124574 57.6906386, -2.012624 57.6918381, -2.0126641 57.6920994, -2.0126689 57.6921374)",,
18319185,2,A98,College Bounds,primary,30 mph,False,False,41.233,"LINESTRING (-2.0122996 57.6943444, -2.0129932 57.6943544)",,
18319185,2,A98,College Bounds,primary,30 mph,False,True,16.087,"LINESTRING (-2.0122996 57.6943444, -2.0120289 57.6943442)",,
43105029,,,Broadsea Road,residential,,False,False,43.654,"LINESTRING (-2.0122996 57.6943444, -2.0122838 57.6947369)",,
