osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,ref,bridge,junction,tunnel,access
34590333,Wellington Street,residential,20 mph,False,False,46.3,"LINESTRING (-2.1605651 53.4077147, -2.1603976 53.4077492, -2.16011 53.4078078, -2.1599048 53.4078505)",,,,,,
239972073,Wellington Road South,trunk,30 mph,False,False,23.375,"LINESTRING (-2.1605651 53.4077147, -2.160632 53.4077626, -2.1606687 53.407788, -2.1607877 53.4078777)",4,A6,,,,
"[267213394, 647742268]",Wellington Road South,trunk,30 mph,False,True,97.48799999999999,"LINESTRING (-2.1605651 53.4077147, -2.1604585 53.4076231, -2.1604428 53.4076103, -2.1604046 53.4075809, -2.1601402 53.4073692, -2.1600375 53.407276, -2.159964 53.4071967, -2.1598937 53.4071232, -2.1598652 53.4070819, -2.1597979 53.4069721)",4,A6,,,,
977167953,Station Road,unclassified,30 mph,False,True,22.22,"LINESTRING (-2.1605651 53.4077147, -2.1607629 53.4076861, -2.1608323 53.4076723, -2.1608906 53.4076754)",,,,,,
117476938,Wellington Road South,trunk,30 mph,True,False,28.175,"LINESTRING (-2.159509 53.4063873, -2.1596473 53.4066269)",2,A6,,,,
976756581,John Street,residential,30 mph,False,True,9.313,"LINESTRING (-2.159509 53.4063873, -2.1593741 53.4064107)",,,,,,
34590336,Railway Road,unclassified,30 mph,False,False,172.56500000000003,"LINESTRING (-2.159509 53.4063873, -2.159666 53.4063585, -2.1597196 53.4063482, -2.1597864 53.4063353, -2.1598533 53.4063224, -2.1600405 53.4062805, -2.1601083 53.4062477, -2.1602387 53.4061774, -2.1603919 53.4060848, -2.160485 53.4060292, -2.1605628 53.4059802, -2.1607117 53.4058864, -2.1607558 53.4058601, -2.1607689 53.4058522, -2.1608103 53.4058293, -2.1608699 53.4057964, -2.1610016 53.4057232, -2.1611087 53.4056639, -2.1612328 53.405597, -2.161436 53.405488, -2.1615184 53.4054413)",,,,,,
940766153,Chatham Street,residential,20 mph,False,False,90.914,"LINESTRING (-2.1649674 53.4044167, -2.1650362 53.4043715, -2.1650849 53.4043503, -2.165209 53.4043201, -2.1652597 53.4043085, -2.1654158 53.4042727, -2.1654742 53.40426, -2.1655253 53.4042492, -2.1658363 53.404183, -2.1659236 53.4041641, -2.1659984 53.4041486, -2.1660496 53.4041374, -2.1662193 53.4041017)",2,,,,,
"[937818084, 976756522, 976756523, 976756524, 976756525]","['King Street West', 'Shaw Heath']",secondary,30 mph,False,False,86.356,"LINESTRING (-2.1649674 53.4044167, -2.1649269 53.4043979, -2.1648727 53.4043728, -2.1648185 53.4043477, -2.1648015 53.4043398, -2.1647252 53.4043086, -2.1646325 53.4042706, -2.1645668 53.4042436, -2.1644837 53.4042096, -2.1639507 53.4039912, -2.1639011 53.4039709)",3,B6184,,,,
"[4441469, 976756525, 976756526]",King Street West,secondary,30 mph,False,True,144.786,"LINESTRING (-2.1649674 53.4044167, -2.1650376 53.404462, -2.1651004 53.4045109, -2.1651429 53.4045534, -2.1651628 53.4045732, -2.1652449 53.4046759, -2.165315 53.4047732, -2.1654541 53.4049663, -2.1654609 53.4049758, -2.1654726 53.4049921, -2.1655266 53.4050669, -2.1655352 53.4050788, -2.1656754 53.4052792, -2.1657186 53.4053467, -2.1657537 53.4054097, -2.1657877 53.4055037, -2.1657933 53.4055232, -2.1658167 53.4056043)","['2', '3']",B6184,,,,
32931918,Great Egerton Street,primary,30 mph,True,False,36.585,"LINESTRING (-2.1666312 53.4102848, -2.166701 53.4101746, -2.1667564 53.4100908, -2.1667999 53.4100404, -2.1668395 53.4099804)",,A560,,,,
380515854,Great Egerton Street,primary,30 mph,False,True,230.889,"LINESTRING (-2.1666312 53.4102848, -2.1664238 53.4104003, -2.1663364 53.4104498, -2.1662108 53.4104986, -2.1659829 53.4105832, -2.1655854 53.4107327, -2.165521 53.410757, -2.164693 53.411093, -2.1642709 53.4112585, -2.1641578 53.4112949, -2.1640138 53.4113343, -2.1637021 53.411379)",,A560,,,,
4441566,King Street West,primary,30 mph,True,False,30.573,"LINESTRING (-2.1669859 53.4095088, -2.1670332 53.4095502, -2.1671076 53.4095964, -2.1671212 53.4096049, -2.1672955 53.4097118)",,A560,,,,
"[33191000, 33191003, 505655150]",King Street West,primary,30 mph,False,False,99.39600000000002,"LINESTRING (-2.1669859 53.4095088, -2.1669743 53.4094398, -2.1669582 53.4093364, -2.1668987 53.4090854, -2.1668685 53.4089609, -2.1668406 53.408872, -2.1667699 53.4086246)",,A560,yes,,,
"[33191000, 33191003, 505655150]",King Street West,primary,30 mph,False,True,99.396,"LINESTRING (-2.1667699 53.4086246, -2.1668406 53.408872, -2.1668685 53.4089609, -2.1668987 53.4090854, -2.1669582 53.4093364, -2.1669743 53.4094398, -2.1669859 53.4095088)",,A560,yes,,,
656456822,King Street West,primary,30 mph,True,False,20.612000000000002,"LINESTRING (-2.1667699 53.4086246, -2.1667061 53.4085038, -2.1666845 53.4084465)",,A560,,,,
4451089,King Street West,primary_link,30 mph,True,False,32.465,"LINESTRING (-2.1664184 53.4075105, -2.1664409 53.4074812, -2.1664406 53.4074498, -2.1664814 53.4073818, -2.1665516 53.4073223, -2.1666583 53.4072684)",1,A560,,,,
