osmid,oneway,lanes,ref,highway,maxspeed,reversed,length,geometry,name,junction,width,access
4260757,True,2,A82,trunk,30 mph,False,73.35799999999999,"LINESTRING (-5.104236 56.8198924, -5.1044037 56.8198314, -5.1045689 56.8197978, -5.1047191 56.8197732, -5.1050066 56.819751, -5.1051985 56.819746, -5.1053871 56.8197471)",,,,
4260759,False,2,A82,trunk,30 mph,False,47.729,"LINESTRING (-5.104236 56.8198924, -5.1041044 56.8199202, -5.1038998 56.819962, -5.1035112 56.820056)",Belford Road,,,
27259905,True,,,tertiary,30 mph,False,30.326999999999998,"LINESTRING (-5.1053871 56.8197471, -5.1055755 56.8196966, -5.1056975 56.8196621, -5.1058275 56.8196198)",,,,
237107504,True,2,A82,trunk,30 mph,False,17.435,"LINESTRING (-5.1053871 56.8197471, -5.1055575 56.8197574, -5.10567 56.8197706)",,,,
4049873,True,2,A82,trunk,40 mph,False,104.289,"LINESTRING (-5.1165526 56.8154318, -5.1163428 56.8156189, -5.1155402 56.8161873)",,,,
23534883,True,,A82,trunk,30 mph,False,19.237000000000002,"LINESTRING (-5.1165526 56.8154318, -5.1164472 56.8154321, -5.1163468 56.8154147, -5.1162609 56.8153813)",West End Roundabout,roundabout,,
4049871,True,2,A82,trunk,30 mph,False,38.714000000000006,"LINESTRING (-5.1081607 56.8205988, -5.1081609 56.8206278, -5.1081539 56.8206566, -5.1081398 56.8206845, -5.1081189 56.8207112, -5.1080915 56.820736, -5.1080583 56.8207586, -5.1080197 56.8207786, -5.1079766 56.8207954, -5.1079297 56.8208089, -5.1078798 56.8208188, -5.107828 56.8208249, -5.1077751 56.820827)",,roundabout,,
4049871,True,2,A82,trunk,30 mph,False,21.719,"LINESTRING (-5.1075724 56.8204315, -5.1076537 56.8204113, -5.1077412 56.8204019, -5.1078304 56.8204035, -5.1079165 56.8204163)",,roundabout,,
4049871,True,2,A82,trunk,30 mph,False,26.478,"LINESTRING (-5.1079165 56.8204163, -5.1079811 56.8204343, -5.1080384 56.8204586, -5.1080865 56.8204883, -5.1081237 56.8205224, -5.1081487 56.8205596, -5.1081607 56.8205988)",,roundabout,,
"[4049872, 375126813, 235423582]",True,2,A82,trunk,40 mph,False,772.8620000000001,"LINESTRING (-5.1079165 56.8204163, -5.1081332 56.8204089, -5.108314 56.8203849, -5.108566 56.8203374, -5.1088196 56.82023, -5.1094578 56.8199228, -5.1103937 56.8193542, -5.1114132 56.8187389, -5.1118468 56.8184578, -5.1121969 56.8181828, -5.1125144 56.8178963, -5.1127369 56.8176751, -5.1130429 56.8174377, -5.113549 56.8171633, -5.1141901 56.8168155, -5.1154466 56.8161439, -5.1162913 56.815545, -5.1162609 56.8153813)",,,,
23534883,True,,A82,trunk,30 mph,False,17.374000000000002,"LINESTRING (-5.1162609 56.8153813, -5.116203 56.81534, -5.1161684 56.8152915, -5.1161598 56.8152396)",West End Roundabout,roundabout,,
