osmid,oneway,ref,highway,maxspeed,reversed,length,geometry,name,junction,lanes,access
4214686,True,B1044,secondary,30 mph,False,133.823,"LINESTRING (-0.1774429 52.3285289, -0.1781655 52.3281458, -0.1782258 52.328101, -0.178274 52.3280344, -0.1783064 52.3279699, -0.1783166 52.3278989, -0.1782996 52.3278078, -0.1782149 52.3276952, -0.178093 52.3275842)",,,,
"[27918963, 4214685]",True,B1514,secondary,30 mph,False,121.53,"LINESTRING (-0.1774429 52.3285289, -0.1785371 52.3280494, -0.178599 52.3280204, -0.1787088 52.3279689, -0.178892 52.3278885)","['Castle Moat Road', 'Riverside Road']",,,
4214685,True,B1514,secondary,30 mph,False,291.816,"LINESTRING (-0.178892 52.3278885, -0.179001 52.3278094, -0.1790965 52.327781, -0.1792421 52.327733, -0.1793506 52.3277248, -0.179429 52.3277194, -0.1795067 52.3277213, -0.1795852 52.3277264, -0.1796837 52.3277426, -0.1798423 52.3277718, -0.1800497 52.3278071, -0.1803556 52.3278391, -0.1804255 52.3278411, -0.180457 52.3278408, -0.1804952 52.3278403, -0.18064 52.3278293, -0.1808698 52.3278198, -0.1813704 52.3277625, -0.1820302 52.3277138, -0.1823531 52.3277164, -0.18262 52.3277442, -0.1828757 52.3277943, -0.1830267 52.327832)",Castle Moat Road,,,
4214687,True,B1044,secondary,30 mph,False,66.452,"LINESTRING (-0.178093 52.3275842, -0.1783496 52.3277217, -0.1785499 52.3278137, -0.1786446 52.3278578, -0.1786727 52.3278706, -0.1787065 52.3278831, -0.1787424 52.3278928, -0.1787868 52.3278983, -0.1788229 52.3279001, -0.1788531 52.3278952, -0.178892 52.3278885)",High Street,,,
"[865441193, 1130766675, 4274941]",True,B1514,secondary,30 mph,False,87.80400000000002,"LINESTRING (-0.1830267 52.327832, -0.1832426 52.3278793, -0.1836011 52.327976, -0.1837608 52.3280328, -0.1838373 52.3280673, -0.1839241 52.3280993, -0.183991 52.3281257, -0.1841603 52.3282016)",Walden Road,,,
1163419197,True,,unclassified,,False,17.19,"LINESTRING (-0.1830267 52.327832, -0.1831142 52.3279378, -0.1831211 52.3279736)",St Mary's Street,approach,,
4214682,True,,unclassified,,False,183.212,"LINESTRING (-0.1831211 52.3279736, -0.183097 52.3280018, -0.1830557 52.3280227, -0.1829473 52.328059, -0.1827273 52.3281309, -0.182589 52.3281689, -0.182393 52.3282229, -0.1820289 52.3283059, -0.1818271 52.3283457, -0.1817575 52.3283642, -0.1814769 52.3284279, -0.1814455 52.328435, -0.1813353 52.3284679, -0.1811373 52.3285269, -0.1808935 52.3286201, -0.1807438 52.3287108)",St Mary's Street,,,
4214681,False,,unclassified,,True,142.26199999999997,"LINESTRING (-0.1807438 52.3287108, -0.1806482 52.3286774, -0.180276 52.3285146, -0.1802139 52.328491, -0.1800931 52.3284416, -0.1799486 52.3283812, -0.1798293 52.3283345, -0.1797269 52.3282914, -0.1790756 52.3280193, -0.1790165 52.327989)",High Street,,,
27918908,True,,unclassified,,False,62.266999999999996,"LINESTRING (-0.1807438 52.3287108, -0.1809834 52.3288402, -0.1810626 52.3288916, -0.181137 52.32894, -0.1812081 52.3289932, -0.1812573 52.3290398, -0.1812967 52.3290878, -0.1813222 52.329135)",High Street,,,
148855959,True,,unclassified,,False,28.018,"LINESTRING (-0.1802814 52.3297955, -0.1799741 52.3299635)",Hartford Road,,,
