osmid,oneway,ref,highway,maxspeed,reversed,length,geometry,lanes,junction,name,bridge
70590768,True,A71,primary,30 mph,False,49.160000000000004,"LINESTRING (-4.38075 55.6034913, -4.3804396 55.6034925, -4.3802432 55.6035147, -4.3799995 55.6035828)",,,,
70590747,False,A71,primary,30 mph,False,101.45,"LINESTRING (-4.3783961 55.6033353, -4.3779452 55.6033032, -4.3775565 55.6032745, -4.3771808 55.6032525, -4.3767913 55.6032343)",2,,,
70590770,True,A71,primary,30 mph,False,51.246,"LINESTRING (-4.3783961 55.6033353, -4.3786023 55.603335, -4.3787234 55.6033285, -4.3788246 55.6033083, -4.3789482 55.6032691, -4.3791456 55.6031931)",,,,
5214196,True,,primary,30 mph,False,12.237,"LINESTRING (-4.3799995 55.6035828, -4.3799381 55.6036255, -4.3798644 55.6036615)",,roundabout,,
5214196,True,,primary,30 mph,False,8.271,"LINESTRING (-4.3799329 55.6031892, -4.380014 55.6032478)",,roundabout,,
5214204,False,B7037,secondary,,False,92.429,"LINESTRING (-4.379801 55.600376, -4.3797533 55.5995452)",,,Wallace Street,
83378515,False,,tertiary,,False,48.677,"LINESTRING (-4.379801 55.600376, -4.3790282 55.6004079)",,,Henrietta Street,
179212929,False,A719,primary,30 mph,True,71.402,"LINESTRING (-4.379801 55.600376, -4.3798554 55.6010174)",,,Polwarth Street,
"[470299348, 470299349, 22987966]",False,A719,primary,30 mph,False,101.154,"LINESTRING (-4.379801 55.600376, -4.3807393 55.6003642, -4.3809646 55.6003672, -4.3814109 55.6003681)",,,Bridge Street,yes
98879698,False,A719,primary,30 mph,False,77.94900000000001,"LINESTRING (-4.3814109 55.6003681, -4.3819366 55.6003681, -4.3822931 55.6003518, -4.3824581 55.6003295, -4.3825582 55.6003049, -4.3826188 55.6002766)",,,Brewland Street,
179212930,False,B7037,secondary,,True,72.239,"LINESTRING (-4.3814109 55.6003681, -4.3814449 55.6006343, -4.3815663 55.6008118, -4.3816488 55.6008943, -4.3817628 55.6009678)",,,Cross Street,
"[470299348, 470299349, 22987966]",False,A719,primary,30 mph,True,101.154,"LINESTRING (-4.3814109 55.6003681, -4.3809646 55.6003672, -4.3807393 55.6003642, -4.379801 55.600376)",,,Bridge Street,yes
5214204,False,B7037,secondary,,True,92.429,"LINESTRING (-4.3797533 55.5995452, -4.379801 55.600376)",,,Wallace Street,
39980088,False,,residential,,False,91.162,"LINESTRING (-4.3797533 55.5995452, -4.3797667 55.5987254)",,,Wallace Street,
39980086,False,B7037,secondary,,False,71.92699999999999,"LINESTRING (-4.3797533 55.5995452, -4.3795432 55.5994828, -4.3791781 55.5992738, -4.3790023 55.5990785)",,,Station Road,
22987964,True,,primary_link,30 mph,False,46.998,"LINESTRING (-4.3798461 55.6027803, -4.379814 55.6029148, -4.3798165 55.6030222, -4.3798766 55.6031023, -4.3799329 55.6031892)",,,,
"[70590757, 22987965, 70590759]",False,A719,primary,30 mph,False,179.116,"LINESTRING (-4.3798461 55.6027803, -4.3798532 55.6027456, -4.3798694 55.6026662, -4.3798934 55.6025385, -4.3799062 55.6024063, -4.3798927 55.6019222, -4.3798755 55.6017825, -4.3798271 55.6013352, -4.3798153 55.6011725)",,,"['Polwarth Street', 'Galston Bridge']",yes
83378437,False,,residential,,False,30.788,"LINESTRING (-4.3826188 55.6002766, -4.3827394 55.600356, -4.3827867 55.6003969, -4.3828091 55.6004378, -4.3828229 55.600518)",,,Chapel Lane,
98879698,False,A719,primary,30 mph,False,31.310000000000002,"LINESTRING (-4.3826188 55.6002766, -4.3827104 55.6002279, -4.3828147 55.6001623, -4.3829374 55.6000615)",,,Brewland Street,
98879698,False,A719,primary,30 mph,True,77.949,"LINESTRING (-4.3826188 55.6002766, -4.3825582 55.6003049, -4.3824581 55.6003295, -4.3822931 55.6003518, -4.3819366 55.6003681, -4.3814109 55.6003681)",,,Brewland Street,
