osmid,name,highway,maxspeed,oneway,reversed,length,ref,geometry,junction,lanes
22634445,Park Lane,residential,30 mph,False,False,29.193,,"LINESTRING (-0.1760995 52.3228953, -0.1757347 52.3227567)",,
"[129520780, 27928965]","['Post Street', 'The Avenue']",secondary,"['20 mph', '30 mph']",False,True,66.668,B1044,"LINESTRING (-0.1760995 52.3228953, -0.1760653 52.3227258, -0.1760337 52.3225838, -0.1760186 52.3224618, -0.1760144 52.3222987)",,
27928970,Post Street,residential,,False,False,28.203,,"LINESTRING (-0.1760144 52.3222987, -0.1758597 52.3224547, -0.1757993 52.3225156)",,
"[129520780, 27928965]","['Post Street', 'The Avenue']",secondary,"['20 mph', '30 mph']",False,False,66.668,B1044,"LINESTRING (-0.1760144 52.3222987, -0.1760186 52.3224618, -0.1760337 52.3225838, -0.1760653 52.3227258, -0.1760995 52.3228953)",,
129520780,Post Street,secondary,20 mph,False,True,187.20999999999998,B1044,"LINESTRING (-0.1760144 52.3222987, -0.17602 52.3222436, -0.1760409 52.3221275, -0.1760702 52.3220133, -0.1760892 52.3219391, -0.176095 52.3218548, -0.1760997 52.3217857, -0.1761001 52.3216456, -0.1760936 52.3215492, -0.1760643 52.3213643, -0.1760241 52.3211529, -0.1759812 52.3210219, -0.1759726 52.3209939, -0.1759564 52.3209407, -0.1759428 52.3209079, -0.175867 52.3207305, -0.1758301 52.3206343)",,
129520786,Post Street,secondary,,False,True,11.802,B1044,"LINESTRING (-0.1758301 52.3206343, -0.175771 52.3205345)",,
104980729,Mill Yard,unclassified,5 mph,False,True,50.756,,"LINESTRING (-0.1758301 52.3206343, -0.176098 52.3205744, -0.1763091 52.3205397, -0.1764693 52.3205056, -0.1765351 52.3204859)",,
129520780,Post Street,secondary,20 mph,False,False,187.20999999999998,B1044,"LINESTRING (-0.1758301 52.3206343, -0.175867 52.3207305, -0.1759428 52.3209079, -0.1759564 52.3209407, -0.1759726 52.3209939, -0.1759812 52.3210219, -0.1760241 52.3211529, -0.1760643 52.3213643, -0.1760936 52.3215492, -0.1761001 52.3216456, -0.1760997 52.3217857, -0.176095 52.3218548, -0.1760892 52.3219391, -0.1760702 52.3220133, -0.1760409 52.3221275, -0.17602 52.3222436, -0.1760144 52.3222987)",,
104980728,Post Street,secondary,30 mph,True,False,13.969,B1044,"LINESTRING (-0.1750894 52.3194913, -0.1749507 52.3193986)",,
129520772,Post Street,secondary,20 mph,False,False,125.026,B1044,"LINESTRING (-0.1750894 52.3194913, -0.1752996 52.3197998, -0.1754699 52.3200239, -0.1756424 52.3202879, -0.175771 52.3205345)",,
30713637,Post Street,secondary,30 mph,True,False,14.921,B1044,"LINESTRING (-0.1750643 52.319358, -0.1750783 52.3194325, -0.1750894 52.3194913)",,
1074496202,,secondary,30 mph,True,False,9.893,,"LINESTRING (-0.1750643 52.319358, -0.1750526 52.3193743, -0.1750331 52.3193877, -0.1750078 52.3193966, -0.1749792 52.3194004, -0.1749507 52.3193986)",roundabout,
30713528,St. Ann's Lane,residential,20 mph,False,True,88.663,,"LINESTRING (-0.1751594 52.3187392, -0.1746475 52.3187761, -0.1743293 52.3187889, -0.1740793 52.3187869, -0.1738612 52.3187689)",,1
313066489,Causeway,secondary,20 mph,False,False,135.342,,"LINESTRING (-0.1751594 52.3187392, -0.1751635 52.3186113, -0.1751857 52.3182396, -0.175187 52.3181801, -0.1751717 52.3180082, -0.1751581 52.3179094, -0.1751557 52.3178724, -0.1751489 52.3178326, -0.1751345 52.3177352, -0.1751211 52.3176316, -0.1751012 52.3175246)",,
313066489,Causeway,secondary,20 mph,False,True,56.446,,"LINESTRING (-0.1751594 52.3187392, -0.1751566 52.3189959, -0.1751568 52.3191425, -0.175114 52.3192435)",,
313066489,Causeway,secondary,20 mph,False,False,15.43,,"LINESTRING (-0.1751012 52.3175246, -0.1750515 52.3173892)",,
4214691,West Street,secondary,20 mph,False,False,49.018,B1043,"LINESTRING (-0.1751012 52.3175246, -0.1751595 52.3175208, -0.175207 52.317504, -0.1753326 52.3174172, -0.1754623 52.3173401, -0.17564 52.3172441)",,
313066489,Causeway,secondary,20 mph,False,True,135.34199999999998,,"LINESTRING (-0.1751012 52.3175246, -0.1751211 52.3176316, -0.1751345 52.3177352, -0.1751489 52.3178326, -0.1751557 52.3178724, -0.1751581 52.3179094, -0.1751717 52.3180082, -0.175187 52.3181801, -0.1751857 52.3182396, -0.1751635 52.3186113, -0.1751594 52.3187392)",,
30713544,Orchard Way,residential,,False,False,79.254,,"LINESTRING (-0.1737585 52.3191986, -0.1735465 52.3195538, -0.1733456 52.3197394, -0.1732392 52.3198307)",,
313065918,Cambridge Street,secondary,20 mph,False,False,239.074,B1044,"LINESTRING (-0.1737585 52.3191986, -0.1734509 52.3191806, -0.1733024 52.3191723, -0.1731442 52.3191619, -0.1729109 52.3191379, -0.1726776 52.3191045, -0.1724243 52.3190686, -0.1723129 52.3190547, -0.171877 52.3189939, -0.1715832 52.3189526, -0.17131 52.3189161, -0.1708144 52.3188499, -0.1706233 52.3188418, -0.1703007 52.3188304)",approach,
313065918,Cambridge Street,secondary,20 mph,False,True,66.614,B1044,"LINESTRING (-0.1737585 52.3191986, -0.1742922 52.3192303, -0.1747307 52.3192723)",approach,
27928983,Cambridge Street,secondary,30 mph,False,True,23.664,,"LINESTRING (-0.1693033 52.3188233, -0.1696513 52.3188296)",,
27928985,Earning Street,residential,20 mph,False,False,151.685,,"LINESTRING (-0.1693033 52.3188233, -0.1693435 52.3185373, -0.1696211 52.3178728, -0.1698234 52.3175016)",,1
342397158,Cambridge Street,secondary,30 mph,False,False,34.194,B1044,"LINESTRING (-0.1693033 52.3188233, -0.1690871 52.3188267, -0.1690107 52.3188279, -0.1688363 52.3188333, -0.1688006 52.3188344)",,
22634445,Park Lane,residential,30 mph,False,True,29.193,,"LINESTRING (-0.1757347 52.3227567, -0.1760995 52.3228953)",,
22634447,Park Lane,residential,20 mph,False,False,10.841,,"LINESTRING (-0.1757347 52.3227567, -0.1755917 52.3227135)",,
27928970,Post Street,residential,,False,True,27.166,,"LINESTRING (-0.1757347 52.3227567, -0.1757993 52.3225156)",,
22634449,East Chadley Lane,residential,20 mph,False,False,109.923,,"LINESTRING (-0.1715501 52.3200161, -0.1709251 52.3197821, -0.1702213 52.3194548)",,
22634449,East Chadley Lane,residential,20 mph,False,False,80.655,,"LINESTRING (-0.1702213 52.3194548, -0.1701018 52.3193713, -0.1699913 52.3192813, -0.1698347 52.3191293, -0.1697207 52.3189874, -0.1696703 52.3189033, -0.1696513 52.3188296)",,
22634449,East Chadley Lane,residential,20 mph,False,True,109.923,,"LINESTRING (-0.1702213 52.3194548, -0.1709251 52.3197821, -0.1715501 52.3200161)",,
27928980,Lancaster Way,residential,20 mph,False,False,134.126,,"LINESTRING (-0.1702213 52.3194548, -0.1697045 52.3197749, -0.1693342 52.3200873, -0.1690793 52.3203254, -0.1690039 52.3203982)",,
27928983,Cambridge Street,secondary,30 mph,False,False,23.664,,"LINESTRING (-0.1696513 52.3188296, -0.1693033 52.3188233)",,
313065918,Cambridge Street,secondary,20 mph,False,True,44.14,B1044,"LINESTRING (-0.1696513 52.3188296, -0.1703007 52.3188304)",approach,
22634449,East Chadley Lane,residential,20 mph,False,True,80.655,,"LINESTRING (-0.1696513 52.3188296, -0.1696703 52.3189033, -0.1697207 52.3189874, -0.1698347 52.3191293, -0.1699913 52.3192813, -0.1701018 52.3193713, -0.1702213 52.3194548)",,
30713599,Old Court Hall,tertiary,20 mph,False,True,25.123,,"LINESTRING (-0.1745024 52.3165728, -0.1746816 52.3167704)",,
