osmid,oneway,ref,name,highway,maxspeed,reversed,length,geometry,lanes,bridge,junction
4721540,True,A576,Broughton Road,trunk,30 mph,False,45.464,"LINESTRING (-2.2847803 53.4918333, -2.2847874 53.4917223, -2.2848088 53.4916424, -2.2848296 53.4915676, -2.2848327 53.4914995, -2.2848153 53.4914273)",,,
246384941,True,A576,Eccles Old Road,primary,30 mph,False,167.731,"LINESTRING (-2.2876767 53.4922174, -2.2869366 53.4920245, -2.2865322 53.4919098, -2.2863592 53.4918556, -2.2861821 53.4917722, -2.2858058 53.4915982, -2.2857103 53.4915647, -2.2856143 53.4915419, -2.2854523 53.4915172)",3,,
1066671516,True,A576,Pendleton Roundabout,trunk,30 mph,False,13.078,"LINESTRING (-2.2854523 53.4915172, -2.285258 53.4915389)",,,
4721535,True,A576,Eccles Old Road,primary,40 mph,False,216.55,"LINESTRING (-2.28612 53.491203, -2.28625 53.491352, -2.2863879 53.491466, -2.2865279 53.4915267, -2.2866669 53.4915809, -2.2874321 53.4917884, -2.288193 53.4919752, -2.288903 53.492122)",,,
"[481018964, 481018965, 246384942]",True,A576,Pendleton Roundabout,trunk,30 mph,False,63.144000000000005,"LINESTRING (-2.28612 53.491203, -2.2861163 53.4912547, -2.286095 53.4913033, -2.286071 53.4913409, -2.286039 53.4913742, -2.2859944 53.4914053, -2.2859458 53.4914294, -2.2858869 53.491451, -2.2858161 53.4914683, -2.2857492 53.4914812, -2.2856769 53.4914901, -2.2854523 53.4915172)",,yes,
"[4721544, 1099763479]",True,A576,Eccles Old Road,primary,"['40 mph', '30 mph']",False,68.381,"LINESTRING (-2.288903 53.492122, -2.2894075 53.4921688, -2.2896014 53.4921784, -2.2897467 53.4921798, -2.2897915 53.4921806, -2.2899298 53.4921831)",,,
4721538,True,,Broad Street,trunk_link,30 mph,False,203.341,"LINESTRING (-2.2846628 53.4913121, -2.2844601 53.4912318, -2.2842749 53.4911224, -2.2839511 53.491003, -2.2833624 53.4908277, -2.282901 53.4906107, -2.2822037 53.4902341)",,,
"[168865689, 67397630, 67397791]",True,A576,Pendleton Roundabout,trunk,30 mph,False,59.34100000000001,"LINESTRING (-2.2846628 53.4913121, -2.2845984 53.491259, -2.2845696 53.4912195, -2.2845535 53.4911717, -2.2845485 53.4911262, -2.2845544 53.4910958, -2.2845705 53.4910571, -2.2845966 53.4910259, -2.2846283 53.4909977, -2.2846638 53.4909768, -2.2847215 53.4909463, -2.2848009 53.4909161, -2.2848941 53.4908936)",2,yes,
956400236,True,A576,Pendleton Roundabout,trunk,30 mph,False,16.305,"LINESTRING (-2.2848153 53.4914273, -2.2846628 53.4913121)",,,
246384938,True,A576,Pendleton Roundabout,trunk,30 mph,False,14.635,"LINESTRING (-2.2860888 53.4910727, -2.28612 53.491203)",,,
