osmid,highway,maxspeed,oneway,reversed,length,geometry,lanes,ref,width,junction,name,bridge
25993156,unclassified,15 mph,False,False,162.104,"LINESTRING (-3.8341381 57.1902648, -3.8338331 57.1902779, -3.8335354 57.1902714, -3.8332447 57.1902293, -3.8325274 57.1900331, -3.8322361 57.1898854, -3.8321004 57.1897605, -3.8320414 57.1896834, -3.8320301 57.189596)",,,,,,
"[1018644584, 556582802, 556582803]",unclassified,"['15 mph', '20 mph']",True,False,242.69400000000002,"LINESTRING (-3.8341381 57.1902648, -3.8341694 57.1907995, -3.8338851 57.191436, -3.8336013 57.1919431, -3.8335433 57.1919938, -3.833398 57.1921208, -3.8332343 57.1921748, -3.8330084 57.1922614)",1,,,,,
25993263,secondary,20 mph,True,False,25.217999999999996,"LINESTRING (-3.8293482 57.1916568, -3.8293498 57.1916648, -3.8293354 57.1916966, -3.8293017 57.1917239, -3.8292529 57.1917433, -3.8291949 57.1917524, -3.8291402 57.1917511, -3.8290921 57.1917411, -3.8290481 57.1917228)",,B9152,6,roundabout,,
"[130287122, 130287114]",unclassified,20 mph,False,True,153.995,"LINESTRING (-3.8293482 57.1916568, -3.8295226 57.1916662, -3.829846 57.1916969, -3.8301027 57.1917378, -3.8302819 57.1917825, -3.8304138 57.1918219, -3.8307153 57.1919292, -3.8310702 57.1919875, -3.8313569 57.1920199, -3.8315945 57.1920208, -3.8317678 57.192008)",2,,,,Santa Claus Drive,yes
120948074,secondary,20 mph,False,False,140.441,"LINESTRING (-3.8290481 57.1917228, -3.8289781 57.1917578, -3.8289127 57.1918059, -3.8288718 57.1918815, -3.8288402 57.1920421, -3.8287652 57.1924633, -3.8287446 57.192567, -3.8287426 57.1926546, -3.8287478 57.1927152, -3.8288076 57.1929486)",2,B9152,,,Grampian Road,
1018927240,secondary,20 mph,True,False,19.887999999999998,"LINESTRING (-3.8290481 57.1917228, -3.8290164 57.1916969, -3.8290021 57.1916683, -3.829005 57.1916387, -3.8290247 57.1916111, -3.829059 57.1915881, -3.8291045 57.1915722)",,B9152,6,roundabout,,
26307477,residential,20 mph,False,True,9.321,"LINESTRING (-3.8302716 57.1969, -3.8304261 57.1969046)",,,,,Milton Park,
26307478,residential,20 mph,False,True,11.28,"LINESTRING (-3.8301888 57.1972733, -3.8303746 57.1972859)",,,,,Milton Park,
26307477,residential,20 mph,False,False,9.321,"LINESTRING (-3.8304261 57.1969046, -3.8302716 57.1969)",,,,,Milton Park,
1212040893,residential,20 mph,False,False,42.512,"LINESTRING (-3.8304261 57.1969046, -3.8303746 57.1972859)",,,,,Milton Park,
1212040893,residential,20 mph,False,True,11.38,"LINESTRING (-3.8304261 57.1969046, -3.8304317 57.1968023)",,,,,Milton Park,
26307478,residential,20 mph,False,False,11.28,"LINESTRING (-3.8303746 57.1972859, -3.8301888 57.1972733)",,,,,Milton Park,
1212040893,residential,20 mph,False,True,42.512,"LINESTRING (-3.8303746 57.1972859, -3.8304261 57.1969046)",,,,,Milton Park,
"[1212040893, 25914207]",residential,20 mph,False,False,143.12699999999998,"LINESTRING (-3.8303746 57.1972859, -3.830353 57.1974677, -3.8303756 57.1975527, -3.830437 57.1976226, -3.8304509 57.1976509, -3.8304641 57.197678, -3.830466 57.1979038, -3.8304761 57.1979654, -3.8304453 57.1980113, -3.8303855 57.1980292, -3.8301178 57.1980291, -3.8297289 57.1980174, -3.8295673 57.1980342, -3.829469 57.1980727)",,,,,Milton Park,
1212040893,residential,20 mph,False,False,11.38,"LINESTRING (-3.8304317 57.1968023, -3.8304261 57.1969046)",,,,,Milton Park,
26307509,unclassified,,True,False,94.391,"LINESTRING (-3.8320301 57.189596, -3.830671 57.1900182)",,,,,,
25993156,unclassified,15 mph,False,True,162.10399999999998,"LINESTRING (-3.8320301 57.189596, -3.8320414 57.1896834, -3.8321004 57.1897605, -3.8322361 57.1898854, -3.8325274 57.1900331, -3.8332447 57.1902293, -3.8335354 57.1902714, -3.8338331 57.1902779, -3.8341381 57.1902648)",,,,,,
"[1212040893, 25914207]",residential,20 mph,False,True,143.127,"LINESTRING (-3.829469 57.1980727, -3.8295673 57.1980342, -3.8297289 57.1980174, -3.8301178 57.1980291, -3.8303855 57.1980292, -3.8304453 57.1980113, -3.8304761 57.1979654, -3.830466 57.1979038, -3.8304641 57.197678, -3.8304509 57.1976509, -3.830437 57.1976226, -3.8303756 57.1975527, -3.830353 57.1974677, -3.8303746 57.1972859)",,,,,Milton Park,
25993045,residential,20 mph,False,False,205.84699999999995,"LINESTRING (-3.829469 57.1980727, -3.8293261 57.198037, -3.8292458 57.198, -3.8292201 57.1979452, -3.8292118 57.1978869, -3.8292424 57.1976, -3.8293147 57.1969225, -3.8293646 57.1968584, -3.8294416 57.1968147, -3.8295403 57.1967734, -3.8295966 57.196731, -3.8296095 57.1966933, -3.8296006 57.196643, -3.8295481 57.1966068, -3.8294832 57.1965679, -3.8294008 57.1965571, -3.8293144 57.196552, -3.8292069 57.1965462, -3.8291346 57.1965466)",,,5,,Milton Park,
