osmid,oneway,name,highway,maxspeed,reversed,length,lanes,geometry,junction,bridge,access
271561209,True,Almondvale Drive,tertiary,30 mph,False,26.684,,"LINESTRING (-3.5075333 55.8863495, -3.5076427 55.8865815)",,,
271561205,False,Almondvale Drive,tertiary,30 mph,False,77.088,3,"LINESTRING (-3.5075333 55.8863495, -3.5075439 55.8862783, -3.5075592 55.8861088, -3.5075342 55.8859657, -3.5074755 55.8858088, -3.5073993 55.8856671)",,,
6178876,True,,tertiary,30 mph,False,13.681999999999999,2,"LINESTRING (-3.5097231 55.8831716, -3.5097324 55.8831413, -3.5097596 55.8831146, -3.5098014 55.8830947, -3.5098529 55.883084)",roundabout,,
6178941,True,Multiplex Roundabout,tertiary,30 mph,False,3.903,,"LINESTRING (-3.516511 55.881541, -3.5164545 55.8815259)",roundabout,,
6178941,True,Multiplex Roundabout,tertiary,30 mph,False,14.004999999999999,,"LINESTRING (-3.5163886 55.8814409, -3.5163962 55.8814217, -3.5164192 55.881397, -3.5164492 55.8813793, -3.5165386 55.8813593)",roundabout,,
6178941,True,Multiplex Roundabout,tertiary,30 mph,False,3.867,,"LINESTRING (-3.5167043 55.8814874, -3.5166698 55.8815163)",roundabout,,
271561219,False,Almondvale Road,tertiary,30 mph,False,197.852,,"LINESTRING (-3.5106423 55.8827839, -3.5135666 55.8820942)",,,
271561220,True,Almondvale Road,tertiary,30 mph,False,57.569,,"LINESTRING (-3.5106423 55.8827839, -3.5103028 55.8828821, -3.510224 55.8829305, -3.5101348 55.8830114, -3.5100545 55.8831031, -3.5100297 55.8831413)",,,
69973863,False,Almondvale South,unclassified,30 mph,False,160.406,2,"LINESTRING (-3.5210404 55.8812917, -3.5209227 55.8812978, -3.5203475 55.881435, -3.5198374 55.8815549, -3.5197522 55.88156, -3.5195797 55.8815631, -3.519543 55.8814721, -3.5191866 55.8810387)",,,
"[374982753, 344523636, 344523637, 22946094]",False,Almondvale East Road,tertiary,30 mph,False,231.396,2,"LINESTRING (-3.5074605 55.8825498, -3.5075537 55.8826671, -3.5075996 55.8827677, -3.5076248 55.882894, -3.5076298 55.8830197, -3.5076362 55.8830817, -3.5075612 55.8832507, -3.507441 55.8833807, -3.507235 55.8836455, -3.5071749 55.8839199, -3.507163 55.8842997, -3.5071914 55.8845672)",,,
374982754,False,Dedridge East Road,tertiary,30 mph,False,42.018,,"LINESTRING (-3.5074605 55.8825498, -3.5076499 55.8824605, -3.5080537 55.8823839)",,,
23264063,False,Beveridge Square,unclassified,30 mph,False,34.909,2,"LINESTRING (-3.5109262 55.8812896, -3.5111988 55.8813664, -3.5114142 55.8814426)",,,
374982754,False,Dedridge East Road,tertiary,30 mph,False,87.414,,"LINESTRING (-3.5109262 55.8812896, -3.5110271 55.8811641, -3.5111003 55.8809745, -3.5111109 55.880832, -3.5110825 55.8806717, -3.5109927 55.8805296)",,,
374982754,False,Dedridge East Road,tertiary,30 mph,True,114.35000000000001,,"LINESTRING (-3.5109262 55.8812896, -3.510598 55.8815944, -3.5102917 55.8818401, -3.5100577 55.8819646, -3.5099002 55.882031, -3.5097744 55.8820709)",,,
22752377,True,Bubbles Roundabout,tertiary,30 mph,False,37.186,,"LINESTRING (-3.5189772 55.8842352, -3.5189665 55.884269, -3.5189426 55.8843006, -3.5189066 55.8843284, -3.5188623 55.8843502, -3.5188108 55.8843661, -3.5187542 55.8843754, -3.5186756 55.8843768, -3.5185996 55.8843655, -3.5185326 55.8843424)",roundabout,,
22752377,True,Bubbles Roundabout,tertiary,30 mph,False,19.019000000000002,,"LINESTRING (-3.5185326 55.8843424, -3.5184682 55.8842983, -3.5184373 55.8842439, -3.5184442 55.8841871)",roundabout,,
"[22752380, 419828702]",True,Almondvale Boulevard,tertiary,30 mph,False,428.97800000000007,2,"LINESTRING (-3.5185326 55.8843424, -3.5182113 55.884396, -3.5168065 55.8847411, -3.5159726 55.8849319, -3.5146074 55.8852331, -3.5142039 55.8853221, -3.5140892 55.8853467, -3.5130834 55.8855674, -3.5125267 55.8856894, -3.5123774 55.8857364, -3.5121748 55.8858051)",,,
915781126,True,Bubbles Roundabout,tertiary,30 mph,False,5.819,,"LINESTRING (-3.5184442 55.8841871, -3.5184599 55.8841624, -3.5184829 55.8841397)",roundabout,,
22752377,True,Bubbles Roundabout,tertiary,30 mph,False,18.109,,"LINESTRING (-3.5188498 55.8840966, -3.5189215 55.884133, -3.5189659 55.8841813, -3.5189772 55.8842352)",roundabout,,
915781123,True,Terrace Roundabout,tertiary,30 mph,False,11.523,,"LINESTRING (-3.5121748 55.8858051, -3.5121564 55.885838, -3.5121229 55.885867, -3.5120765 55.8858898)",roundabout,,
