osmid,oneway,name,highway,maxspeed,reversed,length,geometry,lanes,ref,junction,width,bridge
4430218,True,Six Hills Way,tertiary,40 mph,False,32.798,"LINESTRING (-0.1983479 51.8994392, -0.198166 51.8993529, -0.1979331 51.8992993)",,,,,
1034252657,True,,primary,40 mph,False,26.445,"LINESTRING (-0.1983479 51.8994392, -0.1983172 51.8993604, -0.1983146 51.8992894, -0.1983514 51.8992067)",2,A602,roundabout,,
3213898,False,Cuttys Lane,residential,30 mph,True,132.755,"LINESTRING (-0.1991404 51.9020433, -0.1989564 51.9020284, -0.198689 51.9020271, -0.1984971 51.9020261, -0.1977739 51.9018937, -0.1972603 51.9017997)",,,,,
1034002695,True,St George's Way,primary,30 mph,False,279.50300000000004,"LINESTRING (-0.1991404 51.9020433, -0.1990268 51.901456, -0.1989126 51.9008162, -0.1987911 51.9001227, -0.1987374 51.8998161, -0.1987034 51.899706, -0.1985682 51.8995689)",2,A1155,,,
1034002694,True,,primary,40 mph,False,21.198999999999998,"LINESTRING (-0.1985682 51.8995689, -0.1984889 51.8995375, -0.1984016 51.8994902, -0.1983479 51.8994392)",2,A602,roundabout,,
3213899,True,,primary,40 mph,False,30.746000000000002,"LINESTRING (-0.1989994 51.8995354, -0.1989113 51.8995618, -0.1988008 51.8995796, -0.1986627 51.8995841, -0.1985682 51.8995689)",2,A602,roundabout,,
3215831,True,St George's Way,primary,30 mph,False,86.49199999999999,"LINESTRING (-0.1989994 51.8995354, -0.1988613 51.8996845, -0.1988443 51.8997804, -0.1989163 51.9002881)",2,A1155,,,
183833384,True,,primary,40 mph,False,12.327,"LINESTRING (-0.1988478 51.8990805, -0.1989306 51.8991036, -0.1990072 51.8991313)",2,A602,roundabout,,
3213899,True,,primary,40 mph,False,19.567,"LINESTRING (-0.1991343 51.899384, -0.1991129 51.8994383, -0.1990691 51.8994837, -0.1989994 51.8995354)",2,A602,roundabout,,
1116300233,True,Six Hills Roundabout,primary,40 mph,False,10.36,"LINESTRING (-0.2023691 51.8987234, -0.2024013 51.8986986, -0.2024679 51.898653)",2,A602,roundabout,,
60775667,True,Six Hills Roundabout,primary,40 mph,False,14.613,"LINESTRING (-0.2033622 51.8989592, -0.2033584 51.8990906)",2,A602,roundabout,,
42429228,True,,primary,40 mph,False,33.933,"LINESTRING (-0.2033584 51.8990906, -0.2033242 51.8991322, -0.2032788 51.8991835, -0.2032163 51.8992261, -0.2031418 51.8992657, -0.2030375 51.8993164)",2,A602,roundabout,,
"[1242683012, 1242683013, 1242683014, 1254368393, 1254368394, 1254368398, 147617872, 1068980848, 1068980850, 1068980851, 1068980852, 1068980849, 141253142, 1254368409, 1254368410]",True,Lytton Way,primary,40 mph,False,659.2120000000001,"LINESTRING (-0.2033584 51.8990906, -0.2034189 51.8991904, -0.2034689 51.8992647, -0.2035271 51.8993248, -0.2035958 51.899381, -0.2038937 51.8995501, -0.2044607 51.8998577, -0.2045714 51.899919, -0.2048509 51.9000774, -0.2049644 51.9001424, -0.2051247 51.9002521, -0.2052163 51.900318, -0.2053833 51.9004578, -0.2054519 51.9005287, -0.2055507 51.9006357, -0.2057591 51.9008919, -0.2057875 51.9009422, -0.2058987 51.9011388, -0.2060764 51.9014568, -0.206095 51.9014956, -0.2061459 51.9015928, -0.2061961 51.9016888, -0.2062628 51.901834, -0.2064003 51.9021353, -0.2064579 51.9022757, -0.2065463 51.9025038, -0.2066282 51.9027332, -0.2066505 51.9028207, -0.2067888 51.9032929, -0.2068433 51.9035097, -0.2068645 51.9035941, -0.2068822 51.9036648, -0.2069271 51.9037402, -0.2070104 51.9040749, -0.2070461 51.904139, -0.207082 51.904186, -0.2071479 51.9042353, -0.2072536 51.9043063)","['2', '3', '4']",A602,,"['7', '13', '11']",
1034288020,True,,primary,40 mph,False,9.793,"LINESTRING (-0.2030375 51.8993164, -0.202896 51.8993279)",2,A602,roundabout,,
31354100,True,Danestrete,unclassified,30 mph,False,32.029,"LINESTRING (-0.202896 51.8993279, -0.2024821 51.8994611)",,,,,
60775672,True,,primary,40 mph,False,31.88,"LINESTRING (-0.202896 51.8993279, -0.2027663 51.8993115, -0.2026637 51.8992915, -0.2025755 51.8992606, -0.2024793 51.8992131)",2,A602,roundabout,,
60775673,True,Six Hills Roundabout,primary,40 mph,False,44.704,"LINESTRING (-0.2023585 51.8991058, -0.202304 51.8990138, -0.2022849 51.8989492, -0.2022796 51.898882, -0.2022929 51.8988089, -0.2023691 51.8987234)",2,A602,roundabout,,
